receivable_application_id,cash_receipt_id,applied_customer_trx_id,amount_applied,apply_date,application_type,status,created_date,last_update_date
1700000001,1600000001,1200000001,138419.98,2025-03-13 04:32:00,CASH,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1700000002,1600000002,1200000002,28817.41,2025-01-09 04:32:00,CASH,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1700000003,1600000003,1200000003,4394.08,2025-04-16 04:32:00,CASH,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1700000004,1600000004,1200000004,1829.73,2025-03-12 04:32:00,CASH,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1700000005,1600000005,1200000005,3601.4,2024-10-04 20:33:00,CASH,APPLIED,2024-07-14 20:33:00,2024-07-14 20:33:00
1700000006,1600000006,1200000006,21296.29,2025-11-28 15:49:00,CASH,APPLIED,2025-07-27 15:49:00,2025-07-27 15:49:00
1700000007,1600000007,1200000007,22158.41,2025-11-24 15:49:00,CASH,APPLIED,2025-07-27 15:49:00,2025-07-27 15:49:00
1700000008,1600000008,1200000008,2541.03,2025-08-19 15:49:00,CASH,APPLIED,2025-07-27 15:49:00,2025-07-27 15:49:00
1700000009,1600000009,1200000009,69572.04,2025-01-21 14:00:00,CASH,APPLIED,2024-09-16 14:00:00,2024-09-16 14:00:00
1700000010,1600000010,1200000010,38161.18,2024-12-14 14:00:00,CASH,APPLIED,2024-09-16 14:00:00,2024-09-16 14:00:00
1700000011,1600000011,1200000011,13655.13,2025-01-20 14:00:00,CASH,APPLIED,2024-09-16 14:00:00,2024-09-16 14:00:00
1700000012,1600000012,1200000012,11577.66,2025-02-28 08:26:00,CASH,APPLIED,2025-01-11 08:26:00,2025-01-11 08:26:00
1700000013,1600000013,1200000013,1894.77,2025-04-14 08:26:00,CASH,APPLIED,2025-01-11 08:26:00,2025-01-11 08:26:00
1700000014,1600000014,1200000014,17871.8,2024-07-28 23:17:00,CASH,APPLIED,2024-04-17 23:17:00,2024-04-17 23:17:00
1700000015,1600000015,1200000015,1892.85,2024-08-02 23:17:00,CASH,APPLIED,2024-04-17 23:17:00,2024-04-17 23:17:00
1700000016,1600000016,1200000016,26030.96,2024-06-02 23:17:00,CASH,APPLIED,2024-04-17 23:17:00,2024-04-17 23:17:00
1700000017,1600000017,1200000017,25645.88,2025-05-04 14:11:00,CASH,APPLIED,2025-02-14 14:11:00,2025-02-14 14:11:00
1700000018,1600000018,1200000018,28701.38,2025-04-16 21:39:00,CASH,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1700000019,1600000019,1200000019,80943.75,2025-05-26 21:39:00,CASH,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1700000020,1600000020,1200000020,11053.27,2025-05-30 21:39:00,CASH,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1700000021,1600000021,1200000021,13568.77,2025-03-23 21:39:00,CASH,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1700000022,1600000022,1200000022,10065.88,2025-05-15 21:39:00,CASH,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1700000023,1600000023,1200000023,11321.71,2024-11-07 01:59:00,CASH,APPLIED,2024-09-09 01:59:00,2024-09-09 01:59:00
1700000024,1600000024,1200000024,17283.21,2024-11-13 01:59:00,CASH,APPLIED,2024-09-09 01:59:00,2024-09-09 01:59:00
1700000025,1600000025,1200000025,31306.89,2025-01-01 01:59:00,CASH,APPLIED,2024-09-09 01:59:00,2024-09-09 01:59:00
1700000026,1600000026,1200000026,73038.72,2025-11-09 15:43:00,CASH,APPLIED,2025-08-05 15:43:00,2025-08-05 15:43:00
1700000027,1600000027,1200000027,49757.08,2025-09-16 15:43:00,CASH,APPLIED,2025-08-05 15:43:00,2025-08-05 15:43:00
1700000028,1600000028,1200000028,1057.0,2025-11-01 15:43:00,CASH,APPLIED,2025-08-05 15:43:00,2025-08-05 15:43:00
1700000029,1600000029,1200000029,71768.49,2025-12-05 15:43:00,CASH,APPLIED,2025-08-05 15:43:00,2025-08-05 15:43:00
1700000030,1600000030,1200000030,12941.73,2026-04-19 05:17:00,CASH,APPLIED,2025-12-20 05:17:00,2025-12-20 05:17:00
1700000031,1600000031,1200000031,8275.91,2026-02-07 05:17:00,CASH,APPLIED,2025-12-20 05:17:00,2025-12-20 05:17:00
1700000032,1600000032,1200000032,29285.1,2026-02-13 05:17:00,CASH,APPLIED,2025-12-20 05:17:00,2025-12-20 05:17:00
1700000033,1600000033,1200000033,37058.31,2024-12-05 03:16:00,CASH,APPLIED,2024-08-02 03:16:00,2024-08-02 03:16:00
1700000034,1600000034,1200000034,62083.86,2024-11-09 03:16:00,CASH,APPLIED,2024-08-02 03:16:00,2024-08-02 03:16:00
1700000035,1600000035,1200000035,71518.03,2025-04-28 06:22:00,CASH,APPLIED,2025-02-05 06:22:00,2025-02-05 06:22:00
1700000036,1600000036,1200000036,442.92,2025-11-15 07:48:00,CASH,APPLIED,2025-10-22 07:48:00,2025-10-22 07:48:00
1700000037,1600000037,1200000037,9149.16,2025-12-05 07:48:00,CASH,APPLIED,2025-10-22 07:48:00,2025-10-22 07:48:00
1700000038,1600000038,1200000038,92899.06,2025-06-16 16:41:00,CASH,APPLIED,2025-04-27 16:41:00,2025-04-27 16:41:00
1700000039,1600000039,1200000039,17017.47,2024-10-28 03:15:00,CASH,APPLIED,2024-09-04 03:15:00,2024-09-04 03:15:00
1700000040,1600000040,1200000040,58589.88,2024-10-22 03:15:00,CASH,APPLIED,2024-09-04 03:15:00,2024-09-04 03:15:00
1700000041,1600000041,1200000041,182800.08,2024-10-19 03:15:00,CASH,APPLIED,2024-09-04 03:15:00,2024-09-04 03:15:00
1700000042,1600000042,1200000042,41235.53,2024-10-07 03:15:00,CASH,APPLIED,2024-09-04 03:15:00,2024-09-04 03:15:00
1700000043,1600000043,1200000043,60126.41,2025-02-02 01:52:00,CASH,APPLIED,2024-12-20 01:52:00,2024-12-20 01:52:00
1700000044,1600000044,1200000044,113633.83,2025-03-14 01:52:00,CASH,APPLIED,2024-12-20 01:52:00,2024-12-20 01:52:00
1700000045,1600000045,1200000045,2185.52,2025-02-01 01:52:00,CASH,APPLIED,2024-12-20 01:52:00,2024-12-20 01:52:00
1700000046,1600000046,1200000046,87466.55,2025-06-01 11:22:00,CASH,APPLIED,2025-02-08 11:22:00,2025-02-08 11:22:00
1700000047,1600000047,1200000047,33735.28,2025-04-01 11:22:00,CASH,APPLIED,2025-02-08 11:22:00,2025-02-08 11:22:00
1700000048,1600000048,1200000048,1743.09,2025-06-07 11:22:00,CASH,APPLIED,2025-02-08 11:22:00,2025-02-08 11:22:00
1700000049,1600000049,1200000049,655.75,2025-04-08 11:22:00,CASH,APPLIED,2025-02-08 11:22:00,2025-02-08 11:22:00
1700000050,1600000050,1200000050,58758.78,2024-08-13 20:02:00,CASH,APPLIED,2024-04-13 20:02:00,2024-04-13 20:02:00
1700000051,1600000051,1200000051,68161.37,2024-06-15 20:02:00,CASH,APPLIED,2024-04-13 20:02:00,2024-04-13 20:02:00
1700000052,1600000052,1200000052,7644.02,2025-12-29 11:08:00,CASH,APPLIED,2025-11-09 11:08:00,2025-11-09 11:08:00
1700000053,1600000053,1200000053,49433.95,2025-12-03 11:08:00,CASH,APPLIED,2025-11-09 11:08:00,2025-11-09 11:08:00
1700000054,1600000054,1200000054,22458.0,2026-05-03 11:09:00,CASH,APPLIED,2026-02-27 11:09:00,2026-02-27 11:09:00
1700000055,1600000055,1200000055,5748.12,2026-06-14 11:09:00,CASH,APPLIED,2026-02-27 11:09:00,2026-02-27 11:09:00
1700000056,1600000056,1200000056,67745.71,2026-06-10 11:09:00,CASH,APPLIED,2026-02-27 11:09:00,2026-02-27 11:09:00
1700000057,1600000057,1200000057,14799.7,2025-06-23 08:14:00,CASH,APPLIED,2025-04-11 08:14:00,2025-04-11 08:14:00
1700000058,1600000058,1200000058,11291.76,2025-06-22 08:14:00,CASH,APPLIED,2025-04-11 08:14:00,2025-04-11 08:14:00
1700000059,1600000059,1200000059,9014.1,2025-08-03 08:14:00,CASH,APPLIED,2025-04-11 08:14:00,2025-04-11 08:14:00
1700000060,1600000060,1200000060,44616.2,2025-06-18 08:14:00,CASH,APPLIED,2025-04-11 08:14:00,2025-04-11 08:14:00
1700000061,1600000061,1200000061,110875.29,2024-11-23 01:07:00,CASH,APPLIED,2024-08-26 01:07:00,2024-08-26 01:07:00
1700000062,1600000062,1200000062,23862.12,2024-12-02 01:07:00,CASH,APPLIED,2024-08-26 01:07:00,2024-08-26 01:07:00
1700000063,1600000063,1200000063,98539.62,2025-01-08 01:07:00,CASH,APPLIED,2024-08-26 01:07:00,2024-08-26 01:07:00
1700000064,1600000064,1200000064,82909.14,2024-09-23 01:07:00,CASH,APPLIED,2024-08-26 01:07:00,2024-08-26 01:07:00
1700000065,1600000065,1200000065,68014.8,2025-05-26 10:09:00,CASH,APPLIED,2025-02-25 10:09:00,2025-02-25 10:09:00
1700000066,1600000066,1200000066,5688.61,2025-02-24 13:32:00,CASH,APPLIED,2025-01-22 13:32:00,2025-01-22 13:32:00
1700000067,1600000067,1200000067,16233.28,2026-04-24 19:10:00,CASH,APPLIED,2026-03-24 19:10:00,2026-03-24 19:10:00
1700000068,1600000068,1200000068,111734.64,2025-01-10 05:01:00,CASH,APPLIED,2024-09-28 05:01:00,2024-09-28 05:01:00
1700000069,1600000069,1200000069,198513.32,2025-01-24 05:01:00,CASH,APPLIED,2024-09-28 05:01:00,2024-09-28 05:01:00
1700000070,1600000070,1200000070,48242.62,2024-11-14 05:01:00,CASH,APPLIED,2024-09-28 05:01:00,2024-09-28 05:01:00
1700000071,1600000071,1200000071,12919.16,2025-01-19 05:01:00,CASH,APPLIED,2024-09-28 05:01:00,2024-09-28 05:01:00
1700000072,1600000072,1200000072,138378.83,2024-07-24 18:52:00,CASH,APPLIED,2024-04-18 18:52:00,2024-04-18 18:52:00
1700000073,1600000073,1200000073,14001.76,2025-05-15 01:07:00,CASH,APPLIED,2025-02-17 01:07:00,2025-02-17 01:07:00
1700000074,1600000074,1200000074,29548.08,2026-01-25 15:36:00,CASH,APPLIED,2025-12-27 15:36:00,2025-12-27 15:36:00
1700000075,1600000075,1200000075,72162.04,2026-02-22 15:36:00,CASH,APPLIED,2025-12-27 15:36:00,2025-12-27 15:36:00
1700000076,1600000076,1200000076,27568.59,2026-01-12 15:36:00,CASH,APPLIED,2025-12-27 15:36:00,2025-12-27 15:36:00
1700000077,1600000077,1200000077,11378.92,2024-08-24 05:45:00,CASH,APPLIED,2024-07-29 05:45:00,2024-07-29 05:45:00
1700000078,1600000078,1200000078,105196.18,2025-04-28 18:26:00,CASH,APPLIED,2025-02-20 18:26:00,2025-02-20 18:26:00
1700000079,1600000079,1200000079,73086.08,2025-05-28 18:26:00,CASH,APPLIED,2025-02-20 18:26:00,2025-02-20 18:26:00
1700000080,1600000080,1200000080,17617.55,2025-04-08 18:26:00,CASH,APPLIED,2025-02-20 18:26:00,2025-02-20 18:26:00
1700000081,1600000081,1200000081,100716.67,2024-07-08 02:38:00,CASH,APPLIED,2024-05-19 02:38:00,2024-05-19 02:38:00
1700000082,1600000082,1200000082,34182.6,2024-08-09 02:38:00,CASH,APPLIED,2024-05-19 02:38:00,2024-05-19 02:38:00
1700000083,1600000083,1200000083,68147.79,2025-09-30 20:11:00,CASH,APPLIED,2025-06-06 20:11:00,2025-06-06 20:11:00
1700000084,1600000084,1200000084,15320.47,2025-07-19 20:11:00,CASH,APPLIED,2025-06-06 20:11:00,2025-06-06 20:11:00
1700000085,1600000085,1200000085,29929.85,2024-08-13 14:44:00,CASH,APPLIED,2024-06-07 14:44:00,2024-06-07 14:44:00
1700000086,1600000086,1200000086,45932.61,2025-06-17 16:51:00,CASH,APPLIED,2025-05-14 16:51:00,2025-05-14 16:51:00
1700000087,1600000087,1200000087,141863.62,2024-09-24 17:24:00,CASH,APPLIED,2024-07-21 17:24:00,2024-07-21 17:24:00
1700000088,1600000088,1200000088,1327.65,2024-11-25 17:24:00,CASH,APPLIED,2024-07-21 17:24:00,2024-07-21 17:24:00
1700000089,1600000089,1200000089,38083.11,2026-02-10 00:14:00,CASH,APPLIED,2026-01-09 00:14:00,2026-01-09 00:14:00
1700000090,1600000090,1200000090,176867.49,2025-05-15 12:42:00,CASH,APPLIED,2025-04-06 12:42:00,2025-04-06 12:42:00
1700000091,1600000091,1200000091,150026.6,2025-05-01 09:48:00,CASH,APPLIED,2025-01-29 09:48:00,2025-01-29 09:48:00
1700000092,1600000092,1200000092,126064.89,2024-12-07 16:55:00,CASH,APPLIED,2024-08-23 16:55:00,2024-08-23 16:55:00
1700000093,1600000093,1200000093,1851.17,2025-11-07 17:43:00,CASH,APPLIED,2025-10-04 17:43:00,2025-10-04 17:43:00
1700000094,1600000094,1200000094,18868.47,2026-02-13 17:43:00,CASH,APPLIED,2025-10-04 17:43:00,2025-10-04 17:43:00
1700000095,1600000095,1200000095,28334.77,2026-01-13 17:43:00,CASH,APPLIED,2025-10-04 17:43:00,2025-10-04 17:43:00
1700000096,1600000096,1200000096,90406.22,2026-01-24 11:03:00,CASH,APPLIED,2025-11-21 11:03:00,2025-11-21 11:03:00
1700000097,1600000097,1200000097,3068.98,2026-02-07 23:38:00,CASH,APPLIED,2025-12-04 23:38:00,2025-12-04 23:38:00
1700000098,1600000098,1200000098,90009.78,2025-11-18 15:34:00,CASH,APPLIED,2025-09-01 15:34:00,2025-09-01 15:34:00
1700000099,1600000099,1200000099,98461.37,2026-05-24 20:45:00,CASH,APPLIED,2026-03-28 20:45:00,2026-03-28 20:45:00
1700000100,1600000100,1200000100,14675.0,2026-04-25 20:45:00,CASH,APPLIED,2026-03-28 20:45:00,2026-03-28 20:45:00
1700000101,1600000101,1200000101,1988.22,2026-06-01 20:45:00,CASH,APPLIED,2026-03-28 20:45:00,2026-03-28 20:45:00
1700000102,1600000102,1200000102,12901.79,2026-01-23 09:33:00,CASH,APPLIED,2025-09-21 09:33:00,2025-09-21 09:33:00
1700000103,1600000103,1200000103,11010.6,2025-07-14 22:50:00,CASH,APPLIED,2025-06-10 22:50:00,2025-06-10 22:50:00
1700000104,1600000104,1200000104,2150.3,2025-10-22 22:50:00,CASH,APPLIED,2025-06-10 22:50:00,2025-06-10 22:50:00
1700000105,1600000105,1200000105,40167.18,2024-08-21 20:18:00,CASH,APPLIED,2024-07-30 20:18:00,2024-07-30 20:18:00
1700000106,1600000106,1200000106,1063.07,2024-08-10 20:18:00,CASH,APPLIED,2024-07-30 20:18:00,2024-07-30 20:18:00
1700000107,1600000107,1200000107,7618.43,2024-10-16 20:18:00,CASH,APPLIED,2024-07-30 20:18:00,2024-07-30 20:18:00
1700000108,1600000108,1200000108,79616.06,2024-12-07 20:18:00,CASH,APPLIED,2024-07-30 20:18:00,2024-07-30 20:18:00
1700000109,1600000109,1200000109,133686.65,2026-04-29 05:07:00,CASH,APPLIED,2025-12-30 05:07:00,2025-12-30 05:07:00
1700000110,1600000110,1200000110,113320.15,2026-05-04 05:07:00,CASH,APPLIED,2025-12-30 05:07:00,2025-12-30 05:07:00
1700000111,1600000111,1200000111,35525.75,2026-04-02 05:07:00,CASH,APPLIED,2025-12-30 05:07:00,2025-12-30 05:07:00
1700000112,1600000112,1200000112,14147.27,2026-01-27 05:07:00,CASH,APPLIED,2025-12-30 05:07:00,2025-12-30 05:07:00
1700000113,1600000113,1200000113,34185.84,2025-11-14 11:09:00,CASH,APPLIED,2025-09-19 11:09:00,2025-09-19 11:09:00
1700000114,1600000114,1200000114,17266.0,2026-01-12 11:09:00,CASH,APPLIED,2025-09-19 11:09:00,2025-09-19 11:09:00
1700000115,1600000115,1200000115,92414.84,2025-05-25 07:56:00,CASH,APPLIED,2025-02-13 07:56:00,2025-02-13 07:56:00
1700000116,1600000116,1200000116,44294.8,2025-10-02 22:34:00,CASH,APPLIED,2025-08-07 22:34:00,2025-08-07 22:34:00
1700000117,1600000117,1200000117,67883.72,2025-09-01 22:34:00,CASH,APPLIED,2025-08-07 22:34:00,2025-08-07 22:34:00
