cust_acct_site_id,cust_account_id,location_id,site_code,org_id,status,created_date,last_update_date
400000001,300000001,200000001,SITE400000001,5,ACTIVE,2026-02-26 23:55:00,2026-02-26 23:55:00
400000002,300000002,200000002,SITE400000002,1,ACTIVE,2025-03-28 12:22:00,2025-03-28 12:22:00
400000003,300000003,200000003,SITE400000003,1,ACTIVE,2023-11-27 12:50:00,2023-11-27 12:50:00
400000004,300000004,200000004,SITE400000004,4,ACTIVE,2025-08-26 05:04:00,2025-08-26 05:04:00
400000005,300000005,200000005,SITE400000005,4,ACTIVE,2026-02-10 20:51:00,2026-02-10 20:51:00
400000006,300000006,200000006,SITE400000006,5,ACTIVE,2023-10-16 00:44:00,2023-10-16 00:44:00
400000007,300000007,200000007,SITE400000007,2,ACTIVE,2023-10-13 05:55:00,2023-10-13 05:55:00
400000008,300000008,200000008,SITE400000008,1,ACTIVE,2025-08-12 21:39:00,2025-08-12 21:39:00
400000009,300000009,200000009,SITE400000009,1,ACTIVE,2025-12-21 02:33:00,2025-12-21 02:33:00
400000010,300000010,200000010,SITE400000010,1,ACTIVE,2024-09-13 20:57:00,2024-09-13 20:57:00
400000011,300000011,200000011,SITE400000011,2,ACTIVE,2026-01-31 22:23:00,2026-01-31 22:23:00
400000012,300000012,200000012,SITE400000012,3,ACTIVE,2025-09-02 02:15:00,2025-09-02 02:15:00
400000013,300000013,200000013,SITE400000013,3,ACTIVE,2025-10-20 09:07:00,2025-10-20 09:07:00
400000014,300000014,200000014,SITE400000014,3,ACTIVE,2025-07-16 22:55:00,2025-07-16 22:55:00
400000015,300000015,200000015,SITE400000015,4,ACTIVE,2025-03-22 22:03:00,2025-03-22 22:03:00
400000016,300000016,200000016,SITE400000016,2,ACTIVE,2024-01-14 01:54:00,2024-01-14 01:54:00
400000017,300000017,200000017,SITE400000017,1,ACTIVE,2025-07-02 22:54:00,2025-07-02 22:54:00
400000018,300000018,200000018,SITE400000018,4,ACTIVE,2024-05-17 10:40:00,2024-05-17 10:40:00
400000019,300000019,200000019,SITE400000019,5,ACTIVE,2025-01-02 02:47:00,2025-01-02 02:47:00
400000020,300000020,200000020,SITE400000020,1,ACTIVE,2024-08-18 17:15:00,2024-08-18 17:15:00
400000021,300000021,200000021,SITE400000021,4,ACTIVE,2025-01-01 04:08:00,2025-01-01 04:08:00
