site_use_id,cust_acct_site_id,site_use_code,primary_flag,status,created_date,last_update_date
500000002,400000001,BILL_TO,Y,ACTIVE,2026-02-26 23:55:00,2026-02-26 23:55:00
500000003,400000001,SHIP_TO,Y,ACTIVE,2026-02-26 23:55:00,2026-02-26 23:55:00
500000004,400000002,BILL_TO,Y,ACTIVE,2025-03-28 12:22:00,2025-03-28 12:22:00
500000005,400000002,SHIP_TO,Y,ACTIVE,2025-03-28 12:22:00,2025-03-28 12:22:00
500000006,400000003,BILL_TO,Y,ACTIVE,2023-11-27 12:50:00,2023-11-27 12:50:00
500000007,400000003,SHIP_TO,Y,ACTIVE,2023-11-27 12:50:00,2023-11-27 12:50:00
500000008,400000004,BILL_TO,Y,ACTIVE,2025-08-26 05:04:00,2025-08-26 05:04:00
500000009,400000004,SHIP_TO,Y,ACTIVE,2025-08-26 05:04:00,2025-08-26 05:04:00
500000010,400000005,BILL_TO,Y,ACTIVE,2026-02-10 20:51:00,2026-02-10 20:51:00
500000011,400000005,SHIP_TO,Y,ACTIVE,2026-02-10 20:51:00,2026-02-10 20:51:00
500000012,400000006,BILL_TO,Y,ACTIVE,2023-10-16 00:44:00,2023-10-16 00:44:00
500000013,400000006,SHIP_TO,Y,ACTIVE,2023-10-16 00:44:00,2023-10-16 00:44:00
500000014,400000007,BILL_TO,Y,ACTIVE,2023-10-13 05:55:00,2023-10-13 05:55:00
500000015,400000007,SHIP_TO,Y,ACTIVE,2023-10-13 05:55:00,2023-10-13 05:55:00
500000016,400000008,BILL_TO,Y,ACTIVE,2025-08-12 21:39:00,2025-08-12 21:39:00
500000017,400000008,SHIP_TO,Y,ACTIVE,2025-08-12 21:39:00,2025-08-12 21:39:00
500000018,400000009,BILL_TO,Y,ACTIVE,2025-12-21 02:33:00,2025-12-21 02:33:00
500000019,400000009,SHIP_TO,Y,ACTIVE,2025-12-21 02:33:00,2025-12-21 02:33:00
500000020,400000010,BILL_TO,Y,ACTIVE,2024-09-13 20:57:00,2024-09-13 20:57:00
500000021,400000010,SHIP_TO,Y,ACTIVE,2024-09-13 20:57:00,2024-09-13 20:57:00
500000022,400000011,BILL_TO,Y,ACTIVE,2026-01-31 22:23:00,2026-01-31 22:23:00
500000023,400000011,SHIP_TO,Y,ACTIVE,2026-01-31 22:23:00,2026-01-31 22:23:00
500000024,400000012,BILL_TO,Y,ACTIVE,2025-09-02 02:15:00,2025-09-02 02:15:00
500000025,400000012,SHIP_TO,Y,ACTIVE,2025-09-02 02:15:00,2025-09-02 02:15:00
500000026,400000013,BILL_TO,Y,ACTIVE,2025-10-20 09:07:00,2025-10-20 09:07:00
500000027,400000013,SHIP_TO,Y,ACTIVE,2025-10-20 09:07:00,2025-10-20 09:07:00
500000028,400000014,BILL_TO,Y,ACTIVE,2025-07-16 22:55:00,2025-07-16 22:55:00
500000029,400000014,SHIP_TO,Y,ACTIVE,2025-07-16 22:55:00,2025-07-16 22:55:00
500000030,400000015,BILL_TO,Y,ACTIVE,2025-03-22 22:03:00,2025-03-22 22:03:00
500000031,400000015,SHIP_TO,Y,ACTIVE,2025-03-22 22:03:00,2025-03-22 22:03:00
500000032,400000016,BILL_TO,Y,ACTIVE,2024-01-14 01:54:00,2024-01-14 01:54:00
500000033,400000016,SHIP_TO,Y,ACTIVE,2024-01-14 01:54:00,2024-01-14 01:54:00
500000034,400000017,BILL_TO,Y,ACTIVE,2025-07-02 22:54:00,2025-07-02 22:54:00
500000035,400000017,SHIP_TO,Y,ACTIVE,2025-07-02 22:54:00,2025-07-02 22:54:00
500000036,400000018,BILL_TO,Y,ACTIVE,2024-05-17 10:40:00,2024-05-17 10:40:00
500000037,400000018,SHIP_TO,Y,ACTIVE,2024-05-17 10:40:00,2024-05-17 10:40:00
500000038,400000019,BILL_TO,Y,ACTIVE,2025-01-02 02:47:00,2025-01-02 02:47:00
500000039,400000019,SHIP_TO,Y,ACTIVE,2025-01-02 02:47:00,2025-01-02 02:47:00
500000040,400000020,BILL_TO,Y,ACTIVE,2024-08-18 17:15:00,2024-08-18 17:15:00
500000041,400000020,SHIP_TO,Y,ACTIVE,2024-08-18 17:15:00,2024-08-18 17:15:00
500000042,400000021,BILL_TO,Y,ACTIVE,2025-01-01 04:08:00,2025-01-01 04:08:00
500000043,400000021,SHIP_TO,Y,ACTIVE,2025-01-01 04:08:00,2025-01-01 04:08:00
500000044,400000022,BILL_TO,Y,ACTIVE,2026-01-07 19:51:00,2026-01-07 19:51:00
500000045,400000022,SHIP_TO,Y,ACTIVE,2026-01-07 19:51:00,2026-01-07 19:51:00
500000046,400000023,BILL_TO,Y,ACTIVE,2025-01-25 06:13:00,2025-01-25 06:13:00
500000047,400000023,SHIP_TO,Y,ACTIVE,2025-01-25 06:13:00,2025-01-25 06:13:00
500000048,400000024,BILL_TO,Y,ACTIVE,2025-09-25 22:44:00,2025-09-25 22:44:00
500000049,400000024,SHIP_TO,Y,ACTIVE,2025-09-25 22:44:00,2025-09-25 22:44:00
500000050,400000025,BILL_TO,Y,ACTIVE,2026-03-10 04:51:00,2026-03-10 04:51:00
500000051,400000025,SHIP_TO,Y,ACTIVE,2026-03-10 04:51:00,2026-03-10 04:51:00
500000052,400000026,BILL_TO,Y,ACTIVE,2025-09-08 21:23:00,2025-09-08 21:23:00
500000053,400000026,SHIP_TO,Y,ACTIVE,2025-09-08 21:23:00,2025-09-08 21:23:00
500000054,400000027,BILL_TO,Y,ACTIVE,2024-06-18 09:15:00,2024-06-18 09:15:00
500000055,400000027,SHIP_TO,Y,ACTIVE,2024-06-18 09:15:00,2024-06-18 09:15:00
500000056,400000028,BILL_TO,Y,ACTIVE,2025-05-02 18:29:00,2025-05-02 18:29:00
500000057,400000028,SHIP_TO,Y,ACTIVE,2025-05-02 18:29:00,2025-05-02 18:29:00
500000058,400000029,BILL_TO,Y,ACTIVE,2025-07-24 14:18:00,2025-07-24 14:18:00
500000059,400000029,SHIP_TO,Y,ACTIVE,2025-07-24 14:18:00,2025-07-24 14:18:00
500000060,400000030,BILL_TO,Y,ACTIVE,2025-09-13 14:46:00,2025-09-13 14:46:00
500000061,400000030,SHIP_TO,Y,ACTIVE,2025-09-13 14:46:00,2025-09-13 14:46:00
500000062,400000031,BILL_TO,Y,ACTIVE,2025-07-15 08:53:00,2025-07-15 08:53:00
500000063,400000031,SHIP_TO,Y,ACTIVE,2025-07-15 08:53:00,2025-07-15 08:53:00
500000064,400000032,BILL_TO,Y,ACTIVE,2024-07-03 22:21:00,2024-07-03 22:21:00
500000065,400000032,SHIP_TO,Y,ACTIVE,2024-07-03 22:21:00,2024-07-03 22:21:00
500000066,400000033,BILL_TO,Y,ACTIVE,2025-08-03 15:10:00,2025-08-03 15:10:00
500000067,400000033,SHIP_TO,Y,ACTIVE,2025-08-03 15:10:00,2025-08-03 15:10:00
500000068,400000034,BILL_TO,Y,ACTIVE,2024-11-03 06:29:00,2024-11-03 06:29:00
500000069,400000034,SHIP_TO,Y,ACTIVE,2024-11-03 06:29:00,2024-11-03 06:29:00
500000070,400000035,BILL_TO,Y,ACTIVE,2024-06-18 08:55:00,2024-06-18 08:55:00
500000071,400000035,SHIP_TO,Y,ACTIVE,2024-06-18 08:55:00,2024-06-18 08:55:00
500000072,400000036,BILL_TO,Y,ACTIVE,2024-12-12 10:57:00,2024-12-12 10:57:00
500000073,400000036,SHIP_TO,Y,ACTIVE,2024-12-12 10:57:00,2024-12-12 10:57:00
500000074,400000037,BILL_TO,Y,ACTIVE,2025-12-04 09:53:00,2025-12-04 09:53:00
500000075,400000037,SHIP_TO,Y,ACTIVE,2025-12-04 09:53:00,2025-12-04 09:53:00
500000076,400000038,BILL_TO,Y,ACTIVE,2025-05-29 05:23:00,2025-05-29 05:23:00
