link_id,customer_trx_line_id,order_line_id,delivery_detail_id,link_type,match_status,created_date,last_update_date
1400000001,1300000001,1000000001,1100000001,DELIVERY_TO_INVOICE,FULL,2024-12-24 04:32:00,2024-12-24 04:32:00
1400000002,1300000002,1000000002,1100000002,DELIVERY_TO_INVOICE,FULL,2024-12-24 04:32:00,2024-12-24 04:32:00
1400000003,1300000003,1000000003,1100000003,DELIVERY_TO_INVOICE,FULL,2024-12-24 04:32:00,2024-12-24 04:32:00
1400000004,1300000004,1000000004,1100000004,DELIVERY_TO_INVOICE,FULL,2024-12-24 04:32:00,2024-12-24 04:32:00
1400000005,1300000005,1000000005,1100000005,DELIVERY_TO_INVOICE,FULL,2024-07-14 20:33:00,2024-07-14 20:33:00
1400000006,1300000006,1000000009,1100000006,DELIVERY_TO_INVOICE,FULL,2025-07-27 15:49:00,2025-07-27 15:49:00
1400000007,1300000007,1000000010,1100000007,DELIVERY_TO_INVOICE,FULL,2025-07-27 15:49:00,2025-07-27 15:49:00
1400000008,1300000008,1000000011,1100000008,DELIVERY_TO_INVOICE,FULL,2025-07-27 15:49:00,2025-07-27 15:49:00
1400000009,1300000009,1000000012,1100000009,DELIVERY_TO_INVOICE,FULL,2024-09-16 14:00:00,2024-09-16 14:00:00
1400000010,1300000010,1000000013,1100000010,DELIVERY_TO_INVOICE,FULL,2024-09-16 14:00:00,2024-09-16 14:00:00
1400000011,1300000011,1000000014,1100000011,DELIVERY_TO_INVOICE,FULL,2024-09-16 14:00:00,2024-09-16 14:00:00
1400000012,1300000012,1000000015,1100000012,DELIVERY_TO_INVOICE,FULL,2025-01-11 08:26:00,2025-01-11 08:26:00
1400000013,1300000013,1000000016,1100000013,DELIVERY_TO_INVOICE,FULL,2025-01-11 08:26:00,2025-01-11 08:26:00
1400000014,1300000014,1000000017,1100000014,DELIVERY_TO_INVOICE,FULL,2024-04-17 23:17:00,2024-04-17 23:17:00
1400000015,1300000015,1000000018,1100000015,DELIVERY_TO_INVOICE,FULL,2024-04-17 23:17:00,2024-04-17 23:17:00
1400000016,1300000016,1000000019,1100000016,DELIVERY_TO_INVOICE,FULL,2024-04-17 23:17:00,2024-04-17 23:17:00
1400000017,1300000017,1000000020,1100000017,DELIVERY_TO_INVOICE,FULL,2025-02-14 14:11:00,2025-02-14 14:11:00
1400000018,1300000018,1000000021,1100000018,DELIVERY_TO_INVOICE,FULL,2025-02-09 21:39:00,2025-02-09 21:39:00
1400000019,1300000019,1000000022,1100000019,DELIVERY_TO_INVOICE,FULL,2025-02-09 21:39:00,2025-02-09 21:39:00
1400000020,1300000020,1000000023,1100000020,DELIVERY_TO_INVOICE,FULL,2025-02-09 21:39:00,2025-02-09 21:39:00
1400000021,1300000021,1000000024,1100000021,DELIVERY_TO_INVOICE,FULL,2025-02-09 21:39:00,2025-02-09 21:39:00
1400000022,1300000022,1000000025,1100000022,DELIVERY_TO_INVOICE,FULL,2025-02-09 21:39:00,2025-02-09 21:39:00
1400000023,1300000023,1000000026,1100000023,DELIVERY_TO_INVOICE,FULL,2024-09-09 01:59:00,2024-09-09 01:59:00
1400000024,1300000024,1000000027,1100000024,DELIVERY_TO_INVOICE,FULL,2024-09-09 01:59:00,2024-09-09 01:59:00
1400000025,1300000025,1000000028,1100000025,DELIVERY_TO_INVOICE,FULL,2024-09-09 01:59:00,2024-09-09 01:59:00
1400000026,1300000026,1000000029,1100000026,DELIVERY_TO_INVOICE,FULL,2025-08-05 15:43:00,2025-08-05 15:43:00
1400000027,1300000027,1000000030,1100000027,DELIVERY_TO_INVOICE,FULL,2025-08-05 15:43:00,2025-08-05 15:43:00
1400000028,1300000028,1000000031,1100000028,DELIVERY_TO_INVOICE,FULL,2025-08-05 15:43:00,2025-08-05 15:43:00
1400000029,1300000029,1000000032,1100000029,DELIVERY_TO_INVOICE,FULL,2025-08-05 15:43:00,2025-08-05 15:43:00
1400000030,1300000030,1000000033,1100000030,DELIVERY_TO_INVOICE,FULL,2025-12-20 05:17:00,2025-12-20 05:17:00
1400000031,1300000031,1000000034,1100000031,DELIVERY_TO_INVOICE,FULL,2025-12-20 05:17:00,2025-12-20 05:17:00
1400000032,1300000032,1000000035,1100000032,DELIVERY_TO_INVOICE,FULL,2025-12-20 05:17:00,2025-12-20 05:17:00
1400000033,1300000033,1000000037,1100000034,DELIVERY_TO_INVOICE,FULL,2024-08-02 03:16:00,2024-08-02 03:16:00
1400000034,1300000034,1000000038,1100000035,DELIVERY_TO_INVOICE,FULL,2024-08-02 03:16:00,2024-08-02 03:16:00
1400000035,1300000035,1000000039,1100000036,DELIVERY_TO_INVOICE,FULL,2025-02-05 06:22:00,2025-02-05 06:22:00
1400000036,1300000036,1000000040,1100000037,DELIVERY_TO_INVOICE,FULL,2025-10-22 07:48:00,2025-10-22 07:48:00
1400000037,1300000037,1000000041,1100000038,DELIVERY_TO_INVOICE,FULL,2025-10-22 07:48:00,2025-10-22 07:48:00
1400000038,1300000038,1000000042,1100000039,DELIVERY_TO_INVOICE,FULL,2025-04-27 16:41:00,2025-04-27 16:41:00
1400000039,1300000039,1000000043,1100000040,DELIVERY_TO_INVOICE,FULL,2024-09-04 03:15:00,2024-09-04 03:15:00
1400000040,1300000040,1000000044,1100000041,DELIVERY_TO_INVOICE,FULL,2024-09-04 03:15:00,2024-09-04 03:15:00
1400000041,1300000041,1000000045,1100000042,DELIVERY_TO_INVOICE,FULL,2024-09-04 03:15:00,2024-09-04 03:15:00
1400000042,1300000042,1000000046,1100000043,DELIVERY_TO_INVOICE,FULL,2024-09-04 03:15:00,2024-09-04 03:15:00
1400000043,1300000043,1000000048,1100000045,DELIVERY_TO_INVOICE,FULL,2024-12-20 01:52:00,2024-12-20 01:52:00
1400000044,1300000044,1000000049,1100000046,DELIVERY_TO_INVOICE,FULL,2024-12-20 01:52:00,2024-12-20 01:52:00
1400000045,1300000045,1000000050,1100000047,DELIVERY_TO_INVOICE,FULL,2024-12-20 01:52:00,2024-12-20 01:52:00
1400000046,1300000046,1000000051,1100000048,DELIVERY_TO_INVOICE,FULL,2025-02-08 11:22:00,2025-02-08 11:22:00
1400000047,1300000047,1000000052,1100000049,DELIVERY_TO_INVOICE,FULL,2025-02-08 11:22:00,2025-02-08 11:22:00
