header_id,order_number,sold_to_org_id,ship_to_site_use_id,invoice_to_site_use_id,order_date,booked_date,order_type_code,order_currency_code,transactional_curr_code,order_amount,discount_amount,tax_amount,booked_flag,cancelled_flag,flow_status_code,salesrep_id,org_id,created_date,last_update_date
900000001,SO20241224000001,300000900,500001803,500001802,2024-12-24 04:32:00,2024-12-24 04:32:00,STANDARD,CNY,CNY,323137.02,13518.42,37175.06,Y,N,CLOSED,800000112,2,2024-12-24 04:32:00,2024-12-24 04:32:00
900000002,SO20240714000002,300000955,500001913,500001912,2024-07-14 20:33:00,2024-07-14 20:33:00,STANDARD,CNY,CNY,5372.26,2324.7,618.05,Y,N,CLOSED,800000057,3,2024-07-14 20:33:00,2024-07-14 20:33:00
900000003,SO20241225000003,300000499,500001001,500001000,2024-12-25 14:59:00,2024-12-26 14:59:00,STANDARD,CNY,CNY,139230.08,10751.46,16017.62,Y,Y,CANCELLED,800000076,4,2024-12-25 14:59:00,2024-12-25 14:59:00
900000004,SO20250727000004,300000938,500001879,500001878,2025-07-27 15:49:00,2025-07-27 15:49:00,STANDARD,CNY,CNY,133748.63,13018.13,15387.01,Y,N,CLOSED,800000018,2,2025-07-27 15:49:00,2025-07-27 15:49:00
900000005,SO20240916000005,300000950,500001903,500001902,2024-09-16 14:00:00,2024-09-17 14:00:00,STANDARD,CNY,CNY,223138.61,9117.89,25670.82,Y,N,CLOSED,800000096,2,2024-09-16 14:00:00,2024-09-16 14:00:00
900000006,SO20250111000006,300000235,500000473,500000472,2025-01-11 08:26:00,2025-01-14 08:26:00,STANDARD,CNY,CNY,102349.85,6985.13,11774.76,Y,N,BOOKED,800000022,5,2025-01-11 08:26:00,2025-01-11 08:26:00
900000007,SO20240417000007,300000932,500001867,500001866,2024-04-17 23:17:00,2024-04-19 23:17:00,STANDARD,CNY,CNY,63856.09,200.42,7346.28,N,N,ENTERED,800000118,3,2024-04-17 23:17:00,2024-04-17 23:17:00
900000008,SO20250214000008,300000513,500001029,500001028,2025-02-14 14:11:00,2025-02-16 14:11:00,STANDARD,CNY,CNY,25645.88,2521.7,2950.41,Y,N,CLOSED,800000079,3,2025-02-14 14:11:00,2025-02-14 14:11:00
900000009,SO20250209000009,300000365,500000733,500000732,2025-02-09 21:39:00,2025-02-10 21:39:00,STANDARD,CNY,CNY,373228.31,8160.63,42937.77,Y,N,BOOKED,800000050,4,2025-02-09 21:39:00,2025-02-09 21:39:00
900000010,SO20240909000010,300000494,500000991,500000990,2024-09-09 01:59:00,2024-09-10 01:59:00,STANDARD,CNY,CNY,102848.29,2236.89,11832.1,Y,N,CLOSED,800000050,3,2024-09-09 01:59:00,2024-09-09 01:59:00
900000011,SO20250805000011,300000232,500000467,500000466,2025-08-05 15:43:00,2025-08-06 15:43:00,STANDARD,CNY,CNY,246768.45,4074.67,28389.29,Y,N,CLOSED,800000061,1,2025-08-05 15:43:00,2025-08-05 15:43:00
900000012,SO20251220000012,300000723,500001449,500001448,2025-12-20 05:17:00,2025-12-22 05:17:00,STANDARD,CNY,CNY,73368.4,17017.69,8440.62,Y,N,CLOSED,800000119,5,2025-12-20 05:17:00,2025-12-20 05:17:00
900000013,SO20241107000013,300000672,500001347,500001346,2024-11-07 00:41:00,2024-11-07 00:41:00,STANDARD,CNY,CNY,82544.55,9961.16,9496.28,Y,N,CLOSED,800000001,3,2024-11-07 00:41:00,2024-11-07 00:41:00
900000014,SO20240802000014,300000109,500000221,500000220,2024-08-02 03:16:00,2024-08-04 03:16:00,STANDARD,CNY,CNY,110606.23,9991.1,12724.61,N,N,ENTERED,800000056,4,2024-08-02 03:16:00,2024-08-02 03:16:00
900000015,SO20250205000015,300000422,500000847,500000846,2025-02-05 06:22:00,2025-02-05 06:22:00,STANDARD,CNY,CNY,85610.79,0.0,9849.03,Y,N,CLOSED,800000087,1,2025-02-05 06:22:00,2025-02-05 06:22:00
900000016,SO20251022000016,300000335,500000673,500000672,2025-10-22 07:48:00,2025-10-24 07:48:00,STANDARD,CNY,CNY,10258.89,51.68,1180.23,Y,N,BOOKED,800000078,5,2025-10-22 07:48:00,2025-10-22 07:48:00
900000017,SO20250427000017,300000730,500001463,500001462,2025-04-27 16:41:00,2025-04-27 16:41:00,STANDARD,CNY,CNY,92899.06,0.0,10687.5,Y,N,CLOSED,800000079,3,2025-04-27 16:41:00,2025-04-27 16:41:00
900000018,SO20240904000018,300000510,500001023,500001022,2024-09-04 03:15:00,2024-09-04 03:15:00,STANDARD,CNY,CNY,357908.82,15125.05,41175.35,Y,N,CLOSED,800000087,4,2024-09-04 03:15:00,2024-09-04 03:15:00
900000019,SO20241220000019,300000082,500000167,500000166,2024-12-20 01:52:00,2024-12-22 01:52:00,STANDARD,CNY,CNY,203777.55,291.61,23443.44,Y,N,BOOKED,800000015,3,2024-12-20 01:52:00,2024-12-20 01:52:00
900000020,SO20250208000020,300000922,500001847,500001846,2025-02-08 11:22:00,2025-02-09 11:22:00,STANDARD,CNY,CNY,143322.42,9487.09,16488.41,Y,N,CLOSED,800000061,3,2025-02-08 11:22:00,2025-02-08 11:22:00
900000021,SO20240413000021,300000630,500001263,500001262,2024-04-13 20:02:00,2024-04-13 20:02:00,STANDARD,CNY,CNY,230519.66,11093.01,26519.96,Y,N,CLOSED,800000086,1,2024-04-13 20:02:00,2024-04-13 20:02:00
