line_id,header_id,line_number,inventory_item_id,ordered_quantity,unit_selling_price,list_price,discount_percent,line_amount,request_date,promise_date,actual_shipment_date,line_status_code,ship_from_org_id,created_date,last_update_date
1000000001,900000001,1,48262,19.5,7659.41,8062.54,5,149358.49,2024-12-30 04:32:00,2025-01-02 04:32:00,,INVOICED,3,2024-12-24 04:32:00,2024-12-24 04:32:00
1000000002,900000001,2,66003,19.55,5498.22,5787.6,5,107490.2,2024-12-25 04:32:00,2024-12-26 04:32:00,,SHIPPED,3,2024-12-24 04:32:00,2024-12-24 04:32:00
1000000003,900000001,3,38656,1.41,4376.86,4376.86,0,6171.37,2025-01-03 04:32:00,2025-01-05 04:32:00,,SHIPPED,4,2024-12-24 04:32:00,2024-12-24 04:32:00
1000000004,900000001,4,69376,10.61,2162.29,2162.29,0,22941.9,2024-12-30 04:32:00,2025-01-02 04:32:00,,SHIPPED,2,2024-12-24 04:32:00,2024-12-24 04:32:00
1000000005,900000002,1,82327,4.07,1168.11,1739.29,32.84,4754.21,2024-07-16 20:33:00,2024-07-19 20:33:00,,INVOICED,1,2024-07-14 20:33:00,2024-07-14 20:33:00
1000000006,900000003,1,65673,11.18,2898.14,2957.29,2,32401.21,2024-12-30 14:59:00,2024-12-30 14:59:00,,AWAITING_SHIPPING,3,2024-12-25 14:59:00,2024-12-25 14:59:00
1000000007,900000003,2,34721,15.23,5214.48,5793.87,10,79416.53,2024-12-29 14:59:00,2024-12-29 14:59:00,,INVOICED,4,2024-12-25 14:59:00,2024-12-25 14:59:00
1000000008,900000003,3,20218,9.6,1186.95,1318.83,10,11394.72,2025-01-02 14:59:00,2025-01-05 14:59:00,,SHIPPED,1,2024-12-25 14:59:00,2024-12-25 14:59:00
1000000009,900000004,1,37362,3.54,6879.2,7019.59,2,24352.37,2025-08-01 15:49:00,2025-08-01 15:49:00,,AWAITING_SHIPPING,4,2025-07-27 15:49:00,2025-07-27 15:49:00
1000000010,900000004,2,72174,11.52,7851.29,8921.92,12,90446.86,2025-08-02 15:49:00,2025-08-02 15:49:00,,AWAITING_SHIPPING,4,2025-07-27 15:49:00,2025-07-27 15:49:00
1000000011,900000004,3,45959,2.37,1503.12,1582.23,5,3562.39,2025-08-01 15:49:00,2025-08-04 15:49:00,,AWAITING_SHIPPING,3,2025-07-27 15:49:00,2025-07-27 15:49:00
1000000012,900000005,1,62341,14.84,9300.33,9789.82,5,138016.9,2024-09-22 14:00:00,2024-09-24 14:00:00,,INVOICED,4,2024-09-16 14:00:00,2024-09-16 14:00:00
1000000013,900000005,2,71449,4.43,8932.69,9114.99,2,39571.82,2024-09-27 14:00:00,2024-09-27 14:00:00,,SHIPPED,2,2024-09-16 14:00:00,2024-09-16 14:00:00
1000000014,900000005,3,99998,2.26,8796.05,9259.0,5,19879.07,2024-09-24 14:00:00,2024-09-24 14:00:00,,SHIPPED,4,2024-09-16 14:00:00,2024-09-16 14:00:00
1000000015,900000006,1,15942,1.28,8004.47,8004.47,0,10245.72,2025-01-23 08:26:00,2025-01-26 08:26:00,,AWAITING_SHIPPING,5,2025-01-11 08:26:00,2025-01-11 08:26:00
1000000016,900000006,2,53341,13.76,5837.89,6345.53,8,80329.37,2025-01-21 08:26:00,2025-01-23 08:26:00,,AWAITING_SHIPPING,4,2025-01-11 08:26:00,2025-01-11 08:26:00
1000000017,900000007,1,72966,15.08,1048.79,1048.79,0,15815.75,2024-04-20 23:17:00,2024-04-23 23:17:00,,SHIPPED,1,2024-04-17 23:17:00,2024-04-17 23:17:00
1000000018,900000007,2,22510,2.96,778.63,846.34,8,2304.74,2024-04-29 23:17:00,2024-04-30 23:17:00,,AWAITING_SHIPPING,4,2024-04-17 23:17:00,2024-04-17 23:17:00
1000000019,900000007,3,46421,17.96,2137.49,2137.49,0,38389.32,2024-04-22 23:17:00,2024-04-23 23:17:00,,AWAITING_SHIPPING,1,2024-04-17 23:17:00,2024-04-17 23:17:00
1000000020,900000008,1,32789,4.29,5290.32,5878.13,10,22695.47,2025-02-23 14:11:00,2025-02-24 14:11:00,,SHIPPED,1,2025-02-14 14:11:00,2025-02-14 14:11:00
1000000021,900000009,1,30670,16.47,5670.93,5670.93,0,93400.22,2025-02-15 21:39:00,2025-02-18 21:39:00,,SHIPPED,3,2025-02-09 21:39:00,2025-02-09 21:39:00
1000000022,900000009,2,49340,15.96,8736.14,8736.14,0,139428.79,2025-02-20 21:39:00,2025-02-23 21:39:00,,SHIPPED,1,2025-02-09 21:39:00,2025-02-09 21:39:00
1000000023,900000009,3,86232,6.07,7221.35,7849.29,8,43833.59,2025-02-14 21:39:00,2025-02-15 21:39:00,,SHIPPED,3,2025-02-09 21:39:00,2025-02-09 21:39:00
1000000024,900000009,4,51652,6.48,4247.6,4471.16,5,27524.45,2025-02-17 21:39:00,2025-02-20 21:39:00,,INVOICED,2,2025-02-09 21:39:00,2025-02-09 21:39:00
1000000025,900000009,5,42747,4.96,5262.8,5847.55,10,26103.49,2025-02-13 21:39:00,2025-02-15 21:39:00,,INVOICED,2,2025-02-09 21:39:00,2025-02-09 21:39:00
1000000026,900000010,1,49039,3.24,9304.49,9794.2,5,30146.55,2024-09-17 01:59:00,2024-09-18 01:59:00,,INVOICED,4,2024-09-09 01:59:00,2024-09-09 01:59:00
1000000027,900000010,2,48867,4.49,6460.2,6460.2,0,29006.3,2024-09-20 01:59:00,2024-09-21 01:59:00,,SHIPPED,3,2024-09-09 01:59:00,2024-09-09 01:59:00
1000000028,900000010,3,28178,15.26,2088.03,2130.64,2,31863.34,2024-09-20 01:59:00,2024-09-20 01:59:00,,SHIPPED,5,2024-09-09 01:59:00,2024-09-09 01:59:00
1000000029,900000011,1,15975,10.16,7620.02,8021.07,5,77419.4,2025-08-15 15:43:00,2025-08-15 15:43:00,,SHIPPED,5,2025-08-05 15:43:00,2025-08-05 15:43:00
