adjustment_id,header_id,line_id,adjustment_type,adjustment_reason,list_price,adjusted_price,adjustment_amount,adjustment_percent,approved_flag,approver_id,approval_time,created_by,created_date,last_update_date
1800000001,900000001,1000000001,DISCOUNT,促销折扣,8062.54,7659.41,7861.04,5,Y,800000053,2024-12-24 04:32:00,800000112,2024-12-24 04:32:00,2024-12-24 04:32:00
1800000002,900000001,1000000002,DISCOUNT,促销折扣,5787.6,5498.22,5657.38,5,Y,800000105,2024-12-24 04:32:00,800000112,2024-12-24 04:32:00,2024-12-24 04:32:00
1800000003,900000002,1000000005,DISCOUNT,人工改价,1739.29,1168.11,2324.7,32.84,N,,,800000057,2024-07-14 20:33:00,2024-07-14 20:33:00
1800000004,900000003,1000000006,DISCOUNT,促销折扣,2957.29,2898.14,661.3,2,Y,800000120,2024-12-26 14:59:00,800000076,2024-12-25 14:59:00,2024-12-25 14:59:00
1800000005,900000003,1000000007,DISCOUNT,促销折扣,5793.87,5214.48,8824.11,10,Y,800000049,2024-12-26 14:59:00,800000076,2024-12-25 14:59:00,2024-12-25 14:59:00
1800000006,900000003,1000000008,DISCOUNT,促销折扣,1318.83,1186.95,1266.05,10,Y,800000018,2024-12-26 14:59:00,800000076,2024-12-25 14:59:00,2024-12-25 14:59:00
1800000007,900000004,1000000009,DISCOUNT,促销折扣,7019.59,6879.2,496.98,2,Y,800000055,2025-07-27 15:49:00,800000018,2025-07-27 15:49:00,2025-07-27 15:49:00
1800000008,900000004,1000000010,DISCOUNT,促销折扣,8921.92,7851.29,12333.66,12,Y,800000079,2025-07-27 15:49:00,800000018,2025-07-27 15:49:00,2025-07-27 15:49:00
1800000009,900000004,1000000011,DISCOUNT,促销折扣,1582.23,1503.12,187.49,5,Y,800000004,2025-07-27 15:49:00,800000018,2025-07-27 15:49:00,2025-07-27 15:49:00
1800000010,900000005,1000000012,DISCOUNT,促销折扣,9789.82,9300.33,7264.03,5,Y,800000019,2024-09-17 14:00:00,800000096,2024-09-16 14:00:00,2024-09-16 14:00:00
1800000011,900000005,1000000013,DISCOUNT,促销折扣,9114.99,8932.69,807.59,2,Y,800000030,2024-09-17 14:00:00,800000096,2024-09-16 14:00:00,2024-09-16 14:00:00
