approval_log_id,business_type,business_id,approval_level,approver_id,approval_result,approval_comment,approval_time,workflow_id,created_date,last_update_date
1900000001,ORDER,900000002,1,800000115,APPROVED,自动生成审批,2024-07-14 21:33:00,WF900000002,2024-07-14 20:33:00,2024-07-14 20:33:00
1900000002,ORDER,900000012,1,800000010,APPROVED,自动生成审批,2025-12-22 06:17:00,WF900000012,2025-12-20 05:17:00,2025-12-20 05:17:00
1900000003,ORDER,900000085,1,800000078,APPROVED,自动生成审批,2025-03-31 14:14:00,WF900000085,2025-03-30 13:14:00,2025-03-30 13:14:00
1900000004,ORDER,900000230,1,800000112,APPROVED,自动生成审批,2024-05-01 11:25:00,WF900000230,2024-04-28 10:25:00,2024-04-28 10:25:00
1900000005,ORDER,900000281,1,800000082,APPROVED,自动生成审批,2024-08-31 13:02:00,WF900000281,2024-08-28 12:02:00,2024-08-28 12:02:00
1900000006,ORDER,900000286,1,800000114,APPROVED,自动生成审批,2025-09-28 18:50:00,WF900000286,2025-09-28 17:50:00,2025-09-28 17:50:00
1900000007,ORDER,900000333,1,800000046,APPROVED,自动生成审批,2025-11-28 23:14:00,WF900000333,2025-11-25 22:14:00,2025-11-25 22:14:00
1900000008,ORDER,900000333,2,800000083,APPROVED,自动生成审批,2025-11-29 00:14:00,WF900000333,2025-11-25 22:14:00,2025-11-25 22:14:00
1900000009,ORDER,900000342,1,800000098,APPROVED,自动生成审批,2024-04-23 01:40:00,WF900000342,2024-04-23 00:40:00,2024-04-23 00:40:00
1900000010,ORDER,900000373,1,800000085,APPROVED,自动生成审批,2024-06-26 13:11:00,WF900000373,2024-06-25 12:11:00,2024-06-25 12:11:00
1900000011,ORDER,900000422,1,800000053,APPROVED,自动生成审批,2025-02-05 11:52:00,WF900000422,2025-02-05 10:52:00,2025-02-05 10:52:00
1900000012,ORDER,900000429,1,800000017,APPROVED,自动生成审批,2024-10-26 18:18:00,WF900000429,2024-10-24 17:18:00,2024-10-24 17:18:00
1900000013,ORDER,900000444,1,800000058,APPROVED,自动生成审批,2025-04-25 17:28:00,WF900000444,2025-04-24 16:28:00,2025-04-24 16:28:00
1900000014,ORDER,900000444,2,800000010,APPROVED,自动生成审批,2025-04-25 18:28:00,WF900000444,2025-04-24 16:28:00,2025-04-24 16:28:00
1900000015,ORDER,900000462,1,800000115,APPROVED,自动生成审批,2025-02-02 02:17:00,WF900000462,2025-01-31 01:17:00,2025-01-31 01:17:00
1900000016,ORDER,900000531,1,800000106,APPROVED,自动生成审批,2025-08-20 04:44:00,WF900000531,2025-08-19 03:44:00,2025-08-19 03:44:00
1900000017,ORDER,900000534,1,800000027,APPROVED,自动生成审批,2024-10-29 11:32:00,WF900000534,2024-10-26 10:32:00,2024-10-26 10:32:00
1900000018,ORDER,900000545,1,800000034,APPROVED,自动生成审批,2025-05-02 03:16:00,WF900000545,2025-04-30 02:16:00,2025-04-30 02:16:00
1900000019,ORDER,900000582,1,800000065,APPROVED,自动生成审批,2025-05-16 05:52:00,WF900000582,2025-05-14 04:52:00,2025-05-14 04:52:00
1900000020,ORDER,900000618,1,800000077,APPROVED,自动生成审批,2026-01-16 10:13:00,WF900000618,2026-01-14 09:13:00,2026-01-14 09:13:00
1900000021,ORDER,900000637,1,800000119,APPROVED,自动生成审批,2026-01-17 20:12:00,WF900000637,2026-01-17 19:12:00,2026-01-17 19:12:00
1900000022,ORDER,900000707,1,800000096,APPROVED,自动生成审批,2025-12-24 12:48:00,WF900000707,2025-12-21 11:48:00,2025-12-21 11:48:00
1900000023,ORDER,900000748,1,800000108,APPROVED,自动生成审批,2025-01-06 19:40:00,WF900000748,2025-01-04 18:40:00,2025-01-04 18:40:00
1900000024,ORDER,900000799,1,800000029,APPROVED,自动生成审批,2025-06-01 23:50:00,WF900000799,2025-05-29 22:50:00,2025-05-29 22:50:00
1900000025,ORDER,900000911,1,800000064,APPROVED,自动生成审批,2024-04-19 08:27:00,WF900000911,2024-04-17 07:27:00,2024-04-17 07:27:00
1900000026,ORDER,900000933,1,800000068,APPROVED,自动生成审批,2026-02-16 12:51:00,WF900000933,2026-02-14 11:51:00,2026-02-14 11:51:00
1900000027,ORDER,900000945,1,800000050,APPROVED,自动生成审批,2025-06-22 10:00:00,WF900000945,2025-06-22 09:00:00,2025-06-22 09:00:00
1900000028,ORDER,900000960,1,800000025,APPROVED,自动生成审批,2024-12-16 04:25:00,WF900000960,2024-12-14 03:25:00,2024-12-14 03:25:00
1900000029,ORDER,900001043,1,800000031,APPROVED,自动生成审批,2025-10-23 00:08:00,WF900001043,2025-10-20 23:08:00,2025-10-20 23:08:00
1900000030,ORDER,900001217,1,800000035,APPROVED,自动生成审批,2024-11-22 20:06:00,WF900001217,2024-11-19 19:06:00,2024-11-19 19:06:00
1900000031,ORDER,900001271,1,800000069,APPROVED,自动生成审批,2025-03-29 04:18:00,WF900001271,2025-03-29 03:18:00,2025-03-29 03:18:00
1900000032,ORDER,900001302,1,800000028,APPROVED,自动生成审批,2024-12-08 08:03:00,WF900001302,2024-12-07 07:03:00,2024-12-07 07:03:00
1900000033,ORDER,900001359,1,800000097,APPROVED,自动生成审批,2024-07-15 03:15:00,WF900001359,2024-07-12 02:15:00,2024-07-12 02:15:00
1900000034,ORDER,900001360,1,800000011,APPROVED,自动生成审批,2025-08-27 14:55:00,WF900001360,2025-08-25 13:55:00,2025-08-25 13:55:00
1900000035,ORDER,900001427,1,800000105,APPROVED,自动生成审批,2026-02-09 21:12:00,WF900001427,2026-02-07 20:12:00,2026-02-07 20:12:00
1900000036,ORDER,900001445,1,800000032,APPROVED,自动生成审批,2024-05-28 03:55:00,WF900001445,2024-05-25 02:55:00,2024-05-25 02:55:00
1900000037,ORDER,900001445,2,800000026,APPROVED,自动生成审批,2024-05-28 04:55:00,WF900001445,2024-05-25 02:55:00,2024-05-25 02:55:00
1900000038,ORDER,900001559,1,800000054,APPROVED,自动生成审批,2024-06-15 01:56:00,WF900001559,2024-06-14 00:56:00,2024-06-14 00:56:00
1900000039,ORDER,900001603,1,800000055,APPROVED,自动生成审批,2026-01-15 15:16:00,WF900001603,2026-01-15 14:16:00,2026-01-15 14:16:00
1900000040,ORDER,900001685,1,800000058,APPROVED,自动生成审批,2024-04-25 20:04:00,WF900001685,2024-04-23 19:04:00,2024-04-23 19:04:00
1900000041,ORDER,900001915,1,800000068,APPROVED,自动生成审批,2024-09-16 07:03:00,WF900001915,2024-09-13 06:03:00,2024-09-13 06:03:00
1900000042,ORDER,900001988,1,800000084,APPROVED,自动生成审批,2025-05-03 10:58:00,WF900001988,2025-05-02 09:58:00,2025-05-02 09:58:00
1900000043,ORDER,900002049,1,800000103,APPROVED,自动生成审批,2025-12-12 21:58:00,WF900002049,2025-12-11 20:58:00,2025-12-11 20:58:00
1900000044,ORDER,900002053,1,800000062,APPROVED,自动生成审批,2026-03-29 23:08:00,WF900002053,2026-03-27 22:08:00,2026-03-27 22:08:00
1900000045,ORDER,900002054,1,800000005,APPROVED,自动生成审批,2025-10-05 04:35:00,WF900002054,2025-10-02 03:35:00,2025-10-02 03:35:00
1900000046,ORDER,900002124,1,800000078,APPROVED,自动生成审批,2025-05-03 23:57:00,WF900002124,2025-05-01 22:57:00,2025-05-01 22:57:00
1900000047,ORDER,900002238,1,800000109,APPROVED,自动生成审批,2024-06-01 19:48:00,WF900002238,2024-05-30 18:48:00,2024-05-30 18:48:00
1900000048,ORDER,900002266,1,800000106,APPROVED,自动生成审批,2024-04-24 03:18:00,WF900002266,2024-04-24 02:18:00,2024-04-24 02:18:00
1900000049,ORDER,900002369,1,800000047,APPROVED,自动生成审批,2026-01-05 10:22:00,WF900002369,2026-01-03 09:22:00,2026-01-03 09:22:00
1900000050,ORDER,900002411,1,800000051,APPROVED,自动生成审批,2025-04-12 23:44:00,WF900002411,2025-04-11 22:44:00,2025-04-11 22:44:00
1900000051,ORDER,900002475,1,800000072,APPROVED,自动生成审批,2024-06-19 00:25:00,WF900002475,2024-06-16 23:25:00,2024-06-16 23:25:00
1900000052,ORDER,900002489,1,800000080,APPROVED,自动生成审批,2026-03-02 12:18:00,WF900002489,2026-02-28 11:18:00,2026-02-28 11:18:00
1900000053,ORDER,900002515,1,800000084,APPROVED,自动生成审批,2024-05-29 04:30:00,WF900002515,2024-05-28 03:30:00,2024-05-28 03:30:00
