customer_trx_id,trx_number,trx_date,sold_to_customer_id,bill_to_site_use_id,cust_trx_type,currency_code,trx_amount,tax_amount,freight_amount,complete_flag,status,related_order_header_id,created_date,last_update_date
1200000001,INV20241231000001,2024-12-31 04:32:00,300000900,500001802,INVOICE,CNY,168775.09,19416.6,0,Y,OPEN,900000001,2024-12-24 04:32:00,2024-12-24 04:32:00
1200000002,INV20241231000002,2024-12-31 04:32:00,300000900,500001802,INVOICE,CNY,121463.93,13973.73,0,Y,CLOSED,900000001,2024-12-24 04:32:00,2024-12-24 04:32:00
1200000003,INV20250104000003,2025-01-04 04:32:00,300000900,500001802,INVOICE,CNY,6973.65,802.28,0,Y,CLOSED,900000001,2024-12-24 04:32:00,2024-12-24 04:32:00
1200000004,INV20250108000004,2025-01-08 04:32:00,300000900,500001802,INVOICE,CNY,25924.35,2982.45,0,Y,CLOSED,900000001,2024-12-24 04:32:00,2024-12-24 04:32:00
1200000005,INV20240724000005,2024-07-24 20:33:00,300000955,500001912,INVOICE,CNY,5372.26,618.05,0,Y,OPEN,900000002,2024-07-14 20:33:00,2024-07-14 20:33:00
1200000006,INV20250816000006,2025-08-16 15:49:00,300000938,500001878,INVOICE,CNY,27518.18,3165.81,0,Y,CLOSED,900000004,2025-07-27 15:49:00,2025-07-27 15:49:00
1200000007,INV20250801000007,2025-08-01 15:49:00,300000938,500001878,INVOICE,CNY,68935.11,7930.59,0,Y,CLOSED,900000004,2025-07-27 15:49:00,2025-07-27 15:49:00
1200000008,INV20250813000008,2025-08-13 15:49:00,300000938,500001878,INVOICE,CNY,4025.5,463.11,0,Y,CLOSED,900000004,2025-07-27 15:49:00,2025-07-27 15:49:00
1200000009,INV20241001000009,2024-10-01 14:00:00,300000950,500001902,INVOICE,CNY,69572.04,8003.86,0,Y,OPEN,900000005,2024-09-16 14:00:00,2024-09-16 14:00:00
1200000010,INV20241007000010,2024-10-07 14:00:00,300000950,500001902,INVOICE,CNY,44716.16,5144.34,0,Y,OPEN,900000005,2024-09-16 14:00:00,2024-09-16 14:00:00
1200000011,INV20240921000011,2024-09-21 14:00:00,300000950,500001902,INVOICE,CNY,22463.35,2584.28,0,Y,OPEN,900000005,2024-09-16 14:00:00,2024-09-16 14:00:00
1200000012,INV20250125000012,2025-01-25 08:26:00,300000235,500000472,INVOICE,CNY,11577.66,1331.94,0,Y,OPEN,900000006,2025-01-11 08:26:00,2025-01-11 08:26:00
1200000013,INV20250115000013,2025-01-15 08:26:00,300000235,500000472,INVOICE,CNY,90772.19,10442.82,0,Y,CLOSED,900000006,2025-01-11 08:26:00,2025-01-11 08:26:00
1200000014,INV20240504000014,2024-05-04 23:17:00,300000932,500001866,INVOICE,CNY,17871.8,2056.05,0,Y,OPEN,900000007,2024-04-17 23:17:00,2024-04-17 23:17:00
1200000015,INV20240511000015,2024-05-11 23:17:00,300000932,500001866,INVOICE,CNY,2604.36,299.62,0,Y,OPEN,900000007,2024-04-17 23:17:00,2024-04-17 23:17:00
1200000016,INV20240505000016,2024-05-05 23:17:00,300000932,500001866,INVOICE,CNY,43379.93,4990.61,0,Y,CLOSED,900000007,2024-04-17 23:17:00,2024-04-17 23:17:00
