delivery_detail_id,source_header_id,source_line_id,inventory_item_id,requested_quantity,shipped_quantity,released_status,actual_shipment_date,delivery_date,ship_from_org_id,ship_to_location_id,created_date,last_update_date
1100000001,900000001,1000000001,48262,19.5,19.5,SHIPPED,2024-12-28 04:32:00,2024-12-29 04:32:00,3,200000900,2024-12-24 04:32:00,2024-12-24 04:32:00
1100000002,900000001,1000000002,66003,19.55,19.55,SHIPPED,2024-12-29 04:32:00,2024-12-31 04:32:00,3,200000900,2024-12-24 04:32:00,2024-12-24 04:32:00
1100000003,900000001,1000000003,38656,1.41,1.41,SHIPPED,2024-12-29 04:32:00,2025-01-03 04:32:00,4,200000900,2024-12-24 04:32:00,2024-12-24 04:32:00
1100000004,900000001,1000000004,69376,10.61,10.61,SHIPPED,2024-12-29 04:32:00,2025-01-02 04:32:00,2,200000900,2024-12-24 04:32:00,2024-12-24 04:32:00
1100000005,900000002,1000000005,82327,4.07,4.07,SHIPPED,2024-07-18 20:33:00,2024-07-21 20:33:00,1,200000955,2024-07-14 20:33:00,2024-07-14 20:33:00
1100000006,900000004,1000000009,37362,3.54,3.54,SHIPPED,2025-08-10 15:49:00,2025-08-13 15:49:00,4,200000938,2025-07-27 15:49:00,2025-07-27 15:49:00
1100000007,900000004,1000000010,72174,11.52,7.77,SHIPPED,2025-07-31 15:49:00,2025-08-04 15:49:00,4,200000938,2025-07-27 15:49:00,2025-07-27 15:49:00
1100000008,900000004,1000000011,45959,2.37,2.37,SHIPPED,2025-08-06 15:49:00,2025-08-08 15:49:00,3,200000938,2025-07-27 15:49:00,2025-07-27 15:49:00
1100000009,900000005,1000000012,62341,14.84,6.62,SHIPPED,2024-09-22 14:00:00,2024-09-27 14:00:00,4,200000950,2024-09-16 14:00:00,2024-09-16 14:00:00
1100000010,900000005,1000000013,71449,4.43,4.43,SHIPPED,2024-09-27 14:00:00,2024-09-30 14:00:00,2,200000950,2024-09-16 14:00:00,2024-09-16 14:00:00
1100000011,900000005,1000000014,99998,2.26,2.26,SHIPPED,2024-09-18 14:00:00,2024-09-19 14:00:00,4,200000950,2024-09-16 14:00:00,2024-09-16 14:00:00
1100000012,900000006,1000000015,15942,1.28,1.28,SHIPPED,2025-01-15 08:26:00,2025-01-17 08:26:00,5,200000235,2025-01-11 08:26:00,2025-01-11 08:26:00
1100000013,900000006,1000000016,53341,13.76,13.76,SHIPPED,2025-01-15 08:26:00,2025-01-19 08:26:00,4,200000235,2025-01-11 08:26:00,2025-01-11 08:26:00
1100000014,900000007,1000000017,72966,15.08,15.08,SHIPPED,2024-04-29 23:17:00,2024-05-01 23:17:00,1,200000932,2024-04-17 23:17:00,2024-04-17 23:17:00
1100000015,900000007,1000000018,22510,2.96,2.96,SHIPPED,2024-05-03 23:17:00,2024-05-04 23:17:00,4,200000932,2024-04-17 23:17:00,2024-04-17 23:17:00
1100000016,900000007,1000000019,46421,17.96,17.96,SHIPPED,2024-04-26 23:17:00,2024-04-27 23:17:00,1,200000932,2024-04-17 23:17:00,2024-04-17 23:17:00
1100000017,900000008,1000000020,32789,4.29,4.29,SHIPPED,2025-03-01 14:11:00,2025-03-05 14:11:00,1,200000513,2025-02-14 14:11:00,2025-02-14 14:11:00
1100000018,900000009,1000000021,30670,16.47,16.47,SHIPPED,2025-02-20 21:39:00,2025-02-22 21:39:00,3,200000365,2025-02-09 21:39:00,2025-02-09 21:39:00
1100000019,900000009,1000000022,49340,15.96,15.96,SHIPPED,2025-02-19 21:39:00,2025-02-21 21:39:00,1,200000365,2025-02-09 21:39:00,2025-02-09 21:39:00
1100000020,900000009,1000000023,86232,6.07,6.07,SHIPPED,2025-02-12 21:39:00,2025-02-16 21:39:00,3,200000365,2025-02-09 21:39:00,2025-02-09 21:39:00
1100000021,900000009,1000000024,51652,6.48,6.48,SHIPPED,2025-02-17 21:39:00,2025-02-18 21:39:00,2,200000365,2025-02-09 21:39:00,2025-02-09 21:39:00
1100000022,900000009,1000000025,42747,4.96,2.59,SHIPPED,2025-02-18 21:39:00,2025-02-20 21:39:00,2,200000365,2025-02-09 21:39:00,2025-02-09 21:39:00
1100000023,900000010,1000000026,49039,3.24,1.94,SHIPPED,2024-09-20 01:59:00,2024-09-23 01:59:00,4,200000494,2024-09-09 01:59:00,2024-09-09 01:59:00
1100000024,900000010,1000000027,48867,4.49,2.72,SHIPPED,2024-09-21 01:59:00,2024-09-22 01:59:00,3,200000494,2024-09-09 01:59:00,2024-09-09 01:59:00
1100000025,900000010,1000000028,28178,15.26,15.26,SHIPPED,2024-09-23 01:59:00,2024-09-28 01:59:00,5,200000494,2024-09-09 01:59:00,2024-09-09 01:59:00
1100000026,900000011,1000000029,15975,10.16,10.16,SHIPPED,2025-08-15 15:43:00,2025-08-19 15:43:00,5,200000232,2025-08-05 15:43:00,2025-08-05 15:43:00
1100000027,900000011,1000000030,88708,16.15,16.15,SHIPPED,2025-08-09 15:43:00,2025-08-10 15:43:00,2,200000232,2025-08-05 15:43:00,2025-08-05 15:43:00
1100000028,900000011,1000000031,47083,1.72,1.72,SHIPPED,2025-08-10 15:43:00,2025-08-13 15:43:00,5,200000232,2025-08-05 15:43:00,2025-08-05 15:43:00
1100000029,900000011,1000000032,96003,13.43,13.43,SHIPPED,2025-08-13 15:43:00,2025-08-14 15:43:00,2,200000232,2025-08-05 15:43:00,2025-08-05 15:43:00
1100000030,900000012,1000000033,82829,3.57,3.57,SHIPPED,2026-01-04 05:17:00,2026-01-05 05:17:00,1,200000723,2025-12-20 05:17:00,2025-12-20 05:17:00
1100000031,900000012,1000000034,73514,6.5,6.5,SHIPPED,2025-12-26 05:17:00,2025-12-28 05:17:00,1,200000723,2025-12-20 05:17:00,2025-12-20 05:17:00
1100000032,900000012,1000000035,59881,18.66,13.03,SHIPPED,2025-12-29 05:17:00,2025-12-31 05:17:00,3,200000723,2025-12-20 05:17:00,2025-12-20 05:17:00
1100000033,900000013,1000000036,78906,10.24,10.24,SHIPPED,2024-11-17 00:41:00,2024-11-19 00:41:00,3,200000672,2024-11-07 00:41:00,2024-11-07 00:41:00
1100000034,900000014,1000000037,34147,18.42,18.42,SHIPPED,2024-08-12 03:16:00,2024-08-13 03:16:00,4,200000109,2024-08-02 03:16:00,2024-08-02 03:16:00
1100000035,900000014,1000000038,57398,14.76,14.76,SHIPPED,2024-08-11 03:16:00,2024-08-13 03:16:00,4,200000109,2024-08-02 03:16:00,2024-08-02 03:16:00
1100000036,900000015,1000000039,32085,15.43,12.89,SHIPPED,2025-02-16 06:22:00,2025-02-18 06:22:00,2,200000422,2025-02-05 06:22:00,2025-02-05 06:22:00
1100000037,900000016,1000000040,58893,1.02,1.02,SHIPPED,2025-11-08 07:48:00,2025-11-09 07:48:00,1,200000335,2025-10-22 07:48:00,2025-10-22 07:48:00
1100000038,900000016,1000000041,68064,3.19,3.19,SHIPPED,2025-10-28 07:48:00,2025-10-29 07:48:00,2,200000335,2025-10-22 07:48:00,2025-10-22 07:48:00
1100000039,900000017,1000000042,82832,15.95,15.95,SHIPPED,2025-05-08 16:41:00,2025-05-10 16:41:00,4,200000730,2025-04-27 16:41:00,2025-04-27 16:41:00
1100000040,900000018,1000000043,91338,12.12,12.12,SHIPPED,2024-09-12 03:15:00,2024-09-14 03:15:00,4,200000510,2024-09-04 03:15:00,2024-09-04 03:15:00
