payment_schedule_id,customer_trx_id,due_date,amount_due_original,amount_due_remaining,amount_applied,status,overdue_days
1,1,2026-01-14,28637.33,28637.33,0,OPEN,45
2,2,2026-01-14,936.7,0,936.7,CLOSED,0
3,3,2025-11-15,571.4,571.4,0,OPEN,90
4,4,2025-11-15,336.51,336.51,0,OPEN,45
5,5,2025-11-14,19183.06,19183.06,0,OPEN,120
6,6,2025-12-09,25229.84,25229.84,0,OPEN,45
7,7,2025-06-05,11053.420000000002,11053.420000000002,0,OPEN,120
8,8,2025-06-05,2043.8000000000002,2043.8000000000002,0,OPEN,45
9,9,2025-10-24,8651.88,0,8651.88,CLOSED,0
10,10,2025-09-05,1538.07,0,1538.07,CLOSED,0
11,11,2025-09-05,2088.76,2088.76,0,OPEN,15
12,12,2025-08-15,1110.44,1110.44,0,OPEN,90
13,13,2025-05-04,4311.8,0,4311.8,CLOSED,0
14,14,2025-05-04,6788.75,0,6788.75,CLOSED,0
15,15,2025-05-04,6054.17,0,6054.17,CLOSED,0
16,16,2026-01-08,4233.43,4233.43,0,OPEN,120
17,17,2026-01-08,12334.789999999999,12334.789999999999,0,OPEN,15
18,18,2025-02-19,18699.17,0,18699.17,CLOSED,0
19,19,2025-02-19,5453.150000000001,5453.150000000001,0,OPEN,90
20,20,2025-07-01,20583.8,0,20583.8,CLOSED,0
21,21,2025-05-07,1407.3100000000002,1407.3100000000002,0,OPEN,45
22,22,2025-05-24,23786.95,23786.95,0,OPEN,120
23,23,2025-05-24,3107.88,3107.88,0,OPEN,15
24,24,2025-10-07,15094.609999999999,15094.609999999999,0,OPEN,120
25,25,2025-10-07,7040.610000000001,7040.610000000001,0,OPEN,90
26,26,2025-10-07,23741.3,23741.3,0,OPEN,15
27,27,2026-01-01,1238.17,1238.17,0,OPEN,15
28,28,2026-01-01,9894.05,0,9894.05,CLOSED,0
29,29,2026-01-01,1325.81,1325.81,0,OPEN,45
30,30,2025-03-10,1109.46,1109.46,0,OPEN,45
31,31,2025-03-10,9041.34,0,9041.34,CLOSED,0
32,32,2025-08-13,7063.68,7063.68,0,OPEN,120
33,33,2025-08-13,4633.95,4633.95,0,OPEN,90
34,34,2026-01-05,2163.7,0,2163.7,CLOSED,0
35,35,2026-01-05,7854.97,0,7854.97,CLOSED,0
36,36,2026-01-05,1171.72,1171.72,0,OPEN,15
37,37,2025-06-22,5384.57,5384.57,0,OPEN,120
38,38,2025-06-22,3222.06,0,3222.06,CLOSED,0
39,39,2025-11-01,4360.65,4360.65,0,OPEN,90
40,40,2025-06-05,25432.199999999997,25432.199999999997,0,OPEN,90
41,41,2025-06-05,17241.52,0,17241.52,CLOSED,0
42,42,2025-08-15,29918.7,0,29918.7,CLOSED,0
43,43,2025-08-15,5049.04,5049.04,0,OPEN,15
44,44,2025-08-15,14838.31,0,14838.31,CLOSED,0
45,45,2025-07-06,3347.56,3347.56,0,OPEN,90
46,46,2025-08-13,1674.8400000000001,0,1674.8400000000001,CLOSED,0
47,47,2025-08-13,17453.97,0,17453.97,CLOSED,0
48,48,2025-08-13,22364.87,0,22364.87,CLOSED,0
49,49,2025-04-07,5421.67,0,5421.67,CLOSED,0
50,50,2025-04-07,13586.85,13586.85,0,OPEN,90
51,51,2025-05-14,3145.13,3145.13,0,OPEN,45
52,52,2025-05-14,14839.35,14839.35,0,OPEN,15
53,53,2025-05-14,3442.24,3442.24,0,OPEN,90
54,54,2025-04-06,3703.83,3703.83,0,OPEN,45
55,55,2025-04-06,4728.51,4728.51,0,OPEN,15
56,56,2025-06-20,4032.99,4032.99,0,OPEN,120
57,57,2025-11-20,9460.95,9460.95,0,OPEN,45
58,58,2025-11-20,19900.53,19900.53,0,OPEN,15
59,59,2025-11-08,8523.91,0,8523.91,CLOSED,0
60,60,2025-03-16,6683.54,6683.54,0,OPEN,45
61,61,2025-03-16,6782.2,6782.2,0,OPEN,90
62,62,2025-07-15,13843.34,0,13843.34,CLOSED,0
63,63,2025-07-15,1002.0699999999999,1002.0699999999999,0,OPEN,45
64,64,2025-05-14,1999.76,1999.76,0,OPEN,90
65,65,2025-05-14,8601.89,8601.89,0,OPEN,45
66,66,2025-10-16,6979.42,6979.42,0,OPEN,120
67,67,2025-10-16,3170.29,3170.29,0,OPEN,120
68,68,2025-10-16,7739.88,7739.88,0,OPEN,90
69,69,2025-06-18,10189.75,0,10189.75,CLOSED,0
70,70,2025-06-18,12502.849999999999,12502.849999999999,0,OPEN,45
71,71,2026-01-09,3259.45,3259.45,0,OPEN,15
72,72,2026-01-09,22401.63,22401.63,0,OPEN,120
73,73,2025-10-05,15167.009999999998,0,15167.009999999998,CLOSED,0
74,74,2025-10-05,19789.33,19789.33,0,OPEN,120
75,75,2025-10-05,5098.150000000001,0,5098.150000000001,CLOSED,0
76,76,2025-09-11,2670.02,2670.02,0,OPEN,15
77,77,2025-09-11,10639.13,10639.13,0,OPEN,120
78,78,2025-09-11,3209.8,3209.8,0,OPEN,15
79,79,2025-09-09,1067.03,0,1067.03,CLOSED,0
80,80,2025-09-09,8313.18,0,8313.18,CLOSED,0
81,81,2025-09-09,8903.61,8903.61,0,OPEN,120
82,82,2026-01-17,12444.289999999999,0,12444.289999999999,CLOSED,0
83,83,2025-10-13,15555.38,0,15555.38,CLOSED,0
84,84,2025-10-13,411.13,0,411.13,CLOSED,0
85,85,2025-02-14,26171.93,0,26171.93,CLOSED,0
86,86,2025-02-14,16599.07,0,16599.07,CLOSED,0
87,87,2025-03-14,5220.8099999999995,0,5220.8099999999995,CLOSED,0
88,88,2025-03-14,10826.09,10826.09,0,OPEN,45
89,89,2025-03-10,5303.65,5303.65,0,OPEN,120
90,90,2025-03-10,1370.71,0,1370.71,CLOSED,0
91,91,2025-03-10,30328.359999999997,30328.359999999997,0,OPEN,15
92,92,2025-07-25,12614.6,12614.6,0,OPEN,120
93,93,2025-07-25,23914.69,23914.69,0,OPEN,45
94,94,2025-07-25,15140.369999999999,0,15140.369999999999,CLOSED,0
95,95,2025-04-03,3323.65,3323.65,0,OPEN,90
96,96,2025-04-03,37963.8,37963.8,0,OPEN,90
97,97,2025-04-03,3747.94,3747.94,0,OPEN,90
98,98,2025-10-02,3937.0099999999998,3937.0099999999998,0,OPEN,90
99,99,2025-10-02,616.7,616.7,0,OPEN,120
100,100,2025-06-16,8328.76,0,8328.76,CLOSED,0
101,101,2025-06-16,2712.88,2712.88,0,OPEN,15
102,102,2025-10-02,1295.13,1295.13,0,OPEN,45
103,103,2025-10-02,7942.780000000001,0,7942.780000000001,CLOSED,0
104,104,2025-10-02,27569.57,0,27569.57,CLOSED,0
105,105,2025-06-17,497.18,0,497.18,CLOSED,0
106,106,2025-10-05,11907.25,0,11907.25,CLOSED,0
107,107,2025-04-16,6056.16,6056.16,0,OPEN,15
108,108,2025-04-16,3918.41,3918.41,0,OPEN,90
109,109,2025-04-16,11277.21,11277.21,0,OPEN,45
110,110,2025-07-06,4010.62,4010.62,0,OPEN,120
