je_line_id,je_header_id,line_num,code_combination_id,entered_dr,entered_cr,accounted_dr,accounted_cr,description
2,2,2,2,28637.33,0,28637.33,0,应收账款
3,2,3,3,0,25342.77,0,25342.77,主营业务收入
4,2,4,4,0,3294.56,0,3294.56,销项税额
5,3,5,2,936.7,0,936.7,0,应收账款
6,3,6,3,0,828.94,0,828.94,主营业务收入
7,3,7,4,0,107.76,0,107.76,销项税额
8,4,8,2,571.4,0,571.4,0,应收账款
9,4,9,3,0,505.66,0,505.66,主营业务收入
10,4,10,4,0,65.74,0,65.74,销项税额
11,5,11,2,336.51,0,336.51,0,应收账款
12,5,12,3,0,297.8,0,297.8,主营业务收入
13,5,13,4,0,38.71,0,38.71,销项税额
14,6,14,2,19183.06,0,19183.06,0,应收账款
15,6,15,3,0,16976.16,0,16976.16,主营业务收入
16,6,16,4,0,2206.9,0,2206.9,销项税额
17,7,17,2,25229.84,0,25229.84,0,应收账款
18,7,18,3,0,22327.29,0,22327.29,主营业务收入
19,7,19,4,0,2902.55,0,2902.55,销项税额
20,8,20,2,11053.420000000002,0,11053.420000000002,0,应收账款
21,8,21,3,0,9781.79,0,9781.79,主营业务收入
22,8,22,4,0,1271.63,0,1271.63,销项税额
23,9,23,2,2043.8000000000002,0,2043.8000000000002,0,应收账款
24,9,24,3,0,1808.67,0,1808.67,主营业务收入
25,9,25,4,0,235.13,0,235.13,销项税额
26,10,26,2,8651.88,0,8651.88,0,应收账款
27,10,27,3,0,7656.53,0,7656.53,主营业务收入
28,10,28,4,0,995.35,0,995.35,销项税额
29,11,29,2,1538.07,0,1538.07,0,应收账款
30,11,30,3,0,1361.12,0,1361.12,主营业务收入
31,11,31,4,0,176.95,0,176.95,销项税额
32,12,32,2,2088.76,0,2088.76,0,应收账款
33,12,33,3,0,1848.46,0,1848.46,主营业务收入
34,12,34,4,0,240.3,0,240.3,销项税额
35,13,35,2,1110.44,0,1110.44,0,应收账款
36,13,36,3,0,982.69,0,982.69,主营业务收入
37,13,37,4,0,127.75,0,127.75,销项税额
38,14,38,2,4311.8,0,4311.8,0,应收账款
39,14,39,3,0,3815.75,0,3815.75,主营业务收入
40,14,40,4,0,496.05,0,496.05,销项税额
41,15,41,2,6788.75,0,6788.75,0,应收账款
42,15,42,3,0,6007.74,0,6007.74,主营业务收入
43,15,43,4,0,781.01,0,781.01,销项税额
44,16,44,2,6054.17,0,6054.17,0,应收账款
45,16,45,3,0,5357.67,0,5357.67,主营业务收入
46,16,46,4,0,696.5,0,696.5,销项税额
47,17,47,2,4233.43,0,4233.43,0,应收账款
48,17,48,3,0,3746.4,0,3746.4,主营业务收入
49,17,49,4,0,487.03,0,487.03,销项税额
50,18,50,2,12334.789999999999,0,12334.789999999999,0,应收账款
51,18,51,3,0,10915.74,0,10915.74,主营业务收入
52,18,52,4,0,1419.05,0,1419.05,销项税额
53,19,53,2,18699.17,0,18699.17,0,应收账款
54,19,54,3,0,16547.94,0,16547.94,主营业务收入
55,19,55,4,0,2151.23,0,2151.23,销项税额
56,20,56,2,5453.150000000001,0,5453.150000000001,0,应收账款
57,20,57,3,0,4825.8,0,4825.8,主营业务收入
58,20,58,4,0,627.35,0,627.35,销项税额
59,21,59,2,20583.8,0,20583.8,0,应收账款
60,21,60,3,0,18215.75,0,18215.75,主营业务收入
61,21,61,4,0,2368.05,0,2368.05,销项税额
62,22,62,2,1407.3100000000002,0,1407.3100000000002,0,应收账款
63,22,63,3,0,1245.41,0,1245.41,主营业务收入
64,22,64,4,0,161.9,0,161.9,销项税额
