site_use_id,cust_acct_site_id,site_use_code,primary_flag,status
6000011,600001,BILL_TO,Y,ACTIVE
6000012,600001,SHIP_TO,Y,ACTIVE
6000021,600002,BILL_TO,Y,ACTIVE
6000022,600002,SHIP_TO,Y,ACTIVE
6000031,600003,BILL_TO,Y,ACTIVE
6000032,600003,SHIP_TO,Y,ACTIVE
6000041,600004,BILL_TO,Y,ACTIVE
6000042,600004,SHIP_TO,Y,ACTIVE
6000051,600005,BILL_TO,Y,ACTIVE
6000052,600005,SHIP_TO,Y,ACTIVE
6000061,600006,BILL_TO,Y,ACTIVE
6000062,600006,SHIP_TO,Y,ACTIVE
6000071,600007,BILL_TO,Y,ACTIVE
6000072,600007,SHIP_TO,Y,ACTIVE
6000081,600008,BILL_TO,Y,ACTIVE
6000082,600008,SHIP_TO,Y,ACTIVE
6000091,600009,BILL_TO,Y,ACTIVE
6000092,600009,SHIP_TO,Y,ACTIVE
6000101,600010,BILL_TO,Y,ACTIVE
6000102,600010,SHIP_TO,Y,ACTIVE
6000111,600011,BILL_TO,Y,ACTIVE
6000112,600011,SHIP_TO,Y,ACTIVE
6000121,600012,BILL_TO,Y,ACTIVE
6000122,600012,SHIP_TO,Y,ACTIVE
6000131,600013,BILL_TO,Y,ACTIVE
6000132,600013,SHIP_TO,Y,ACTIVE
6000141,600014,BILL_TO,Y,ACTIVE
6000142,600014,SHIP_TO,Y,ACTIVE
6000151,600015,BILL_TO,Y,ACTIVE
6000152,600015,SHIP_TO,Y,ACTIVE
6000161,600016,BILL_TO,Y,ACTIVE
6000162,600016,SHIP_TO,Y,ACTIVE
6000171,600017,BILL_TO,Y,ACTIVE
6000172,600017,SHIP_TO,Y,ACTIVE
6000181,600018,BILL_TO,Y,ACTIVE
6000182,600018,SHIP_TO,Y,ACTIVE
6000191,600019,BILL_TO,Y,ACTIVE
6000192,600019,SHIP_TO,Y,ACTIVE
6000201,600020,BILL_TO,Y,ACTIVE
6000202,600020,SHIP_TO,Y,ACTIVE
6000211,600021,BILL_TO,Y,ACTIVE
6000212,600021,SHIP_TO,Y,ACTIVE
6000221,600022,BILL_TO,Y,ACTIVE
6000222,600022,SHIP_TO,Y,ACTIVE
6000231,600023,BILL_TO,Y,ACTIVE
6000232,600023,SHIP_TO,Y,ACTIVE
6000241,600024,BILL_TO,Y,ACTIVE
6000242,600024,SHIP_TO,Y,ACTIVE
6000251,600025,BILL_TO,Y,ACTIVE
6000252,600025,SHIP_TO,Y,ACTIVE
6000261,600026,BILL_TO,Y,ACTIVE
6000262,600026,SHIP_TO,Y,ACTIVE
6000271,600027,BILL_TO,Y,ACTIVE
6000272,600027,SHIP_TO,Y,ACTIVE
6000281,600028,BILL_TO,Y,ACTIVE
6000282,600028,SHIP_TO,Y,ACTIVE
6000291,600029,BILL_TO,Y,ACTIVE
6000292,600029,SHIP_TO,Y,ACTIVE
6000301,600030,BILL_TO,Y,ACTIVE
6000302,600030,SHIP_TO,Y,ACTIVE
6000311,600031,BILL_TO,Y,ACTIVE
6000312,600031,SHIP_TO,Y,ACTIVE
6000321,600032,BILL_TO,Y,ACTIVE
6000322,600032,SHIP_TO,Y,ACTIVE
6000331,600033,BILL_TO,Y,ACTIVE
6000332,600033,SHIP_TO,Y,ACTIVE
6000341,600034,BILL_TO,Y,ACTIVE
6000342,600034,SHIP_TO,Y,ACTIVE
6000351,600035,BILL_TO,Y,ACTIVE
6000352,600035,SHIP_TO,Y,ACTIVE
6000361,600036,BILL_TO,Y,ACTIVE
6000362,600036,SHIP_TO,Y,ACTIVE
6000371,600037,BILL_TO,Y,ACTIVE
6000372,600037,SHIP_TO,Y,ACTIVE
6000381,600038,BILL_TO,Y,ACTIVE
6000382,600038,SHIP_TO,Y,ACTIVE
6000391,600039,BILL_TO,Y,ACTIVE
6000392,600039,SHIP_TO,Y,ACTIVE
6000401,600040,BILL_TO,Y,ACTIVE
6000402,600040,SHIP_TO,Y,ACTIVE
6000411,600041,BILL_TO,Y,ACTIVE
6000412,600041,SHIP_TO,Y,ACTIVE
6000421,600042,BILL_TO,Y,ACTIVE
6000422,600042,SHIP_TO,Y,ACTIVE
6000431,600043,BILL_TO,Y,ACTIVE
6000432,600043,SHIP_TO,Y,ACTIVE
6000441,600044,BILL_TO,Y,ACTIVE
6000442,600044,SHIP_TO,Y,ACTIVE
6000451,600045,BILL_TO,Y,ACTIVE
6000452,600045,SHIP_TO,Y,ACTIVE
6000461,600046,BILL_TO,Y,ACTIVE
6000462,600046,SHIP_TO,Y,ACTIVE
6000471,600047,BILL_TO,Y,ACTIVE
6000472,600047,SHIP_TO,Y,ACTIVE
6000481,600048,BILL_TO,Y,ACTIVE
6000482,600048,SHIP_TO,Y,ACTIVE
6000491,600049,BILL_TO,Y,ACTIVE
6000492,600049,SHIP_TO,Y,ACTIVE
6000501,600050,BILL_TO,Y,ACTIVE
6000502,600050,SHIP_TO,Y,ACTIVE
6000511,600051,BILL_TO,Y,ACTIVE
6000512,600051,SHIP_TO,Y,ACTIVE
6000521,600052,BILL_TO,Y,ACTIVE
6000522,600052,SHIP_TO,Y,ACTIVE
6000531,600053,BILL_TO,Y,ACTIVE
6000532,600053,SHIP_TO,Y,ACTIVE
6000541,600054,BILL_TO,Y,ACTIVE
6000542,600054,SHIP_TO,Y,ACTIVE
6000551,600055,BILL_TO,Y,ACTIVE
6000552,600055,SHIP_TO,Y,ACTIVE
6000561,600056,BILL_TO,Y,ACTIVE
6000562,600056,SHIP_TO,Y,ACTIVE
6000571,600057,BILL_TO,Y,ACTIVE
6000572,600057,SHIP_TO,Y,ACTIVE
6000581,600058,BILL_TO,Y,ACTIVE
6000582,600058,SHIP_TO,Y,ACTIVE
6000591,600059,BILL_TO,Y,ACTIVE
6000592,600059,SHIP_TO,Y,ACTIVE
6000601,600060,BILL_TO,Y,ACTIVE
6000602,600060,SHIP_TO,Y,ACTIVE
6000611,600061,BILL_TO,Y,ACTIVE
6000612,600061,SHIP_TO,Y,ACTIVE
6000621,600062,BILL_TO,Y,ACTIVE
6000622,600062,SHIP_TO,Y,ACTIVE
6000631,600063,BILL_TO,Y,ACTIVE
6000632,600063,SHIP_TO,Y,ACTIVE
6000641,600064,BILL_TO,Y,ACTIVE
6000642,600064,SHIP_TO,Y,ACTIVE
6000651,600065,BILL_TO,Y,ACTIVE
6000652,600065,SHIP_TO,Y,ACTIVE
6000661,600066,BILL_TO,Y,ACTIVE
6000662,600066,SHIP_TO,Y,ACTIVE
6000671,600067,BILL_TO,Y,ACTIVE
6000672,600067,SHIP_TO,Y,ACTIVE
6000681,600068,BILL_TO,Y,ACTIVE
6000682,600068,SHIP_TO,Y,ACTIVE
6000691,600069,BILL_TO,Y,ACTIVE
6000692,600069,SHIP_TO,Y,ACTIVE
6000701,600070,BILL_TO,Y,ACTIVE
6000702,600070,SHIP_TO,Y,ACTIVE
6000711,600071,BILL_TO,Y,ACTIVE
6000712,600071,SHIP_TO,Y,ACTIVE
6000721,600072,BILL_TO,Y,ACTIVE
6000722,600072,SHIP_TO,Y,ACTIVE
6000731,600073,BILL_TO,Y,ACTIVE
6000732,600073,SHIP_TO,Y,ACTIVE
6000741,600074,BILL_TO,Y,ACTIVE
6000742,600074,SHIP_TO,Y,ACTIVE
6000751,600075,BILL_TO,Y,ACTIVE
6000752,600075,SHIP_TO,Y,ACTIVE
6000761,600076,BILL_TO,Y,ACTIVE
6000762,600076,SHIP_TO,Y,ACTIVE
6000771,600077,BILL_TO,Y,ACTIVE
6000772,600077,SHIP_TO,Y,ACTIVE
6000781,600078,BILL_TO,Y,ACTIVE
6000782,600078,SHIP_TO,Y,ACTIVE
6000791,600079,BILL_TO,Y,ACTIVE
6000792,600079,SHIP_TO,Y,ACTIVE
6000801,600080,BILL_TO,Y,ACTIVE
6000802,600080,SHIP_TO,Y,ACTIVE
6000811,600081,BILL_TO,Y,ACTIVE
6000812,600081,SHIP_TO,Y,ACTIVE
6000821,600082,BILL_TO,Y,ACTIVE
6000822,600082,SHIP_TO,Y,ACTIVE
6000831,600083,BILL_TO,Y,ACTIVE
6000832,600083,SHIP_TO,Y,ACTIVE
6000841,600084,BILL_TO,Y,ACTIVE
6000842,600084,SHIP_TO,Y,ACTIVE
6000851,600085,BILL_TO,Y,ACTIVE
6000852,600085,SHIP_TO,Y,ACTIVE
6000861,600086,BILL_TO,Y,ACTIVE
6000862,600086,SHIP_TO,Y,ACTIVE
6000871,600087,BILL_TO,Y,ACTIVE
6000872,600087,SHIP_TO,Y,ACTIVE
6000881,600088,BILL_TO,Y,ACTIVE
6000882,600088,SHIP_TO,Y,ACTIVE
6000891,600089,BILL_TO,Y,ACTIVE
6000892,600089,SHIP_TO,Y,ACTIVE
6000901,600090,BILL_TO,Y,ACTIVE
6000902,600090,SHIP_TO,Y,ACTIVE
6000911,600091,BILL_TO,Y,ACTIVE
6000912,600091,SHIP_TO,Y,ACTIVE
6000921,600092,BILL_TO,Y,ACTIVE
6000922,600092,SHIP_TO,Y,ACTIVE
6000931,600093,BILL_TO,Y,ACTIVE
6000932,600093,SHIP_TO,Y,ACTIVE
6000941,600094,BILL_TO,Y,ACTIVE
6000942,600094,SHIP_TO,Y,ACTIVE
6000951,600095,BILL_TO,Y,ACTIVE
6000952,600095,SHIP_TO,Y,ACTIVE
6000961,600096,BILL_TO,Y,ACTIVE
6000962,600096,SHIP_TO,Y,ACTIVE
6000971,600097,BILL_TO,Y,ACTIVE
6000972,600097,SHIP_TO,Y,ACTIVE
6000981,600098,BILL_TO,Y,ACTIVE
6000982,600098,SHIP_TO,Y,ACTIVE
6000991,600099,BILL_TO,Y,ACTIVE
6000992,600099,SHIP_TO,Y,ACTIVE
6001001,600100,BILL_TO,Y,ACTIVE
6001002,600100,SHIP_TO,Y,ACTIVE
