party_id,party_name,party_type,tax_reference,industry_code,risk_level,province,city,created_at
100001,上海示例客户001有限公司,ORGANIZATION,TAX00000001,TECH,HIGH,江苏,杭州,2025-01-01 00:00:00
100002,上海示例客户002有限公司,ORGANIZATION,TAX00000002,MED,LOW,北京,杭州,2025-01-01 00:00:00
100003,苏州示例客户003有限公司,ORGANIZATION,TAX00000003,TRADE,LOW,江苏,广州,2025-01-01 00:00:00
100004,成都示例客户004有限公司,ORGANIZATION,TAX00000004,MFG,LOW,四川,杭州,2025-01-01 00:00:00
100005,北京示例客户005有限公司,ORGANIZATION,TAX00000005,TECH,HIGH,江苏,杭州,2025-01-01 00:00:00
100006,成都示例客户006有限公司,ORGANIZATION,TAX00000006,TECH,LOW,江苏,成都,2025-01-01 00:00:00
100007,广州示例客户007有限公司,ORGANIZATION,TAX00000007,MED,HIGH,北京,广州,2025-01-01 00:00:00
100008,广州示例客户008有限公司,ORGANIZATION,TAX00000008,TRADE,HIGH,浙江,杭州,2025-01-01 00:00:00
100009,深圳示例客户009有限公司,ORGANIZATION,TAX00000009,MFG,MEDIUM,上海,杭州,2025-01-01 00:00:00
100010,上海示例客户010有限公司,ORGANIZATION,TAX00000010,TRADE,LOW,北京,深圳,2025-01-01 00:00:00
100011,深圳示例客户011有限公司,ORGANIZATION,TAX00000011,MED,MEDIUM,浙江,上海,2025-01-01 00:00:00
100012,上海示例客户012有限公司,ORGANIZATION,TAX00000012,MED,HIGH,北京,深圳,2025-01-01 00:00:00
100013,广州示例客户013有限公司,ORGANIZATION,TAX00000013,TECH,MEDIUM,江苏,深圳,2025-01-01 00:00:00
100014,苏州示例客户014有限公司,ORGANIZATION,TAX00000014,TRADE,LOW,四川,杭州,2025-01-01 00:00:00
100015,深圳示例客户015有限公司,ORGANIZATION,TAX00000015,MED,HIGH,广东,杭州,2025-01-01 00:00:00
100016,深圳示例客户016有限公司,ORGANIZATION,TAX00000016,TRADE,LOW,北京,深圳,2025-01-01 00:00:00
100017,苏州示例客户017有限公司,ORGANIZATION,TAX00000017,MFG,MEDIUM,北京,成都,2025-01-01 00:00:00
100018,北京示例客户018有限公司,ORGANIZATION,TAX00000018,MFG,MEDIUM,广东,上海,2025-01-01 00:00:00
100019,苏州示例客户019有限公司,ORGANIZATION,TAX00000019,MED,HIGH,上海,上海,2025-01-01 00:00:00
100020,上海示例客户020有限公司,ORGANIZATION,TAX00000020,MED,MEDIUM,江苏,上海,2025-01-01 00:00:00
100021,杭州示例客户021有限公司,ORGANIZATION,TAX00000021,MED,LOW,四川,北京,2025-01-01 00:00:00
100022,深圳示例客户022有限公司,ORGANIZATION,TAX00000022,TRADE,LOW,广东,成都,2025-01-01 00:00:00
100023,广州示例客户023有限公司,ORGANIZATION,TAX00000023,MED,LOW,广东,北京,2025-01-01 00:00:00
100024,上海示例客户024有限公司,ORGANIZATION,TAX00000024,TECH,LOW,四川,广州,2025-01-01 00:00:00
100025,成都示例客户025有限公司,ORGANIZATION,TAX00000025,TRADE,MEDIUM,北京,上海,2025-01-01 00:00:00
100026,苏州示例客户026有限公司,ORGANIZATION,TAX00000026,MFG,MEDIUM,江苏,深圳,2025-01-01 00:00:00
100027,深圳示例客户027有限公司,ORGANIZATION,TAX00000027,TECH,MEDIUM,江苏,上海,2025-01-01 00:00:00
100028,广州示例客户028有限公司,ORGANIZATION,TAX00000028,MED,LOW,四川,上海,2025-01-01 00:00:00
100029,杭州示例客户029有限公司,ORGANIZATION,TAX00000029,TECH,LOW,浙江,广州,2025-01-01 00:00:00
100030,北京示例客户030有限公司,ORGANIZATION,TAX00000030,MED,LOW,江苏,上海,2025-01-01 00:00:00
100031,苏州示例客户031有限公司,ORGANIZATION,TAX00000031,MED,MEDIUM,广东,深圳,2025-01-01 00:00:00
100032,苏州示例客户032有限公司,ORGANIZATION,TAX00000032,MFG,MEDIUM,四川,杭州,2025-01-01 00:00:00
100033,深圳示例客户033有限公司,ORGANIZATION,TAX00000033,MED,MEDIUM,四川,北京,2025-01-01 00:00:00
100034,成都示例客户034有限公司,ORGANIZATION,TAX00000034,MED,HIGH,北京,深圳,2025-01-01 00:00:00
100035,成都示例客户035有限公司,ORGANIZATION,TAX00000035,MED,HIGH,北京,成都,2025-01-01 00:00:00
100036,杭州示例客户036有限公司,ORGANIZATION,TAX00000036,TECH,MEDIUM,四川,北京,2025-01-01 00:00:00
100037,深圳示例客户037有限公司,ORGANIZATION,TAX00000037,TRADE,MEDIUM,广东,上海,2025-01-01 00:00:00
100038,广州示例客户038有限公司,ORGANIZATION,TAX00000038,TRADE,MEDIUM,四川,杭州,2025-01-01 00:00:00
100039,苏州示例客户039有限公司,ORGANIZATION,TAX00000039,MFG,MEDIUM,四川,深圳,2025-01-01 00:00:00
100040,杭州示例客户040有限公司,ORGANIZATION,TAX00000040,MFG,HIGH,江苏,上海,2025-01-01 00:00:00
100041,广州示例客户041有限公司,ORGANIZATION,TAX00000041,TRADE,MEDIUM,广东,苏州,2025-01-01 00:00:00
100042,广州示例客户042有限公司,ORGANIZATION,TAX00000042,MFG,MEDIUM,江苏,成都,2025-01-01 00:00:00
100043,北京示例客户043有限公司,ORGANIZATION,TAX00000043,TRADE,LOW,北京,杭州,2025-01-01 00:00:00
100044,苏州示例客户044有限公司,ORGANIZATION,TAX00000044,TRADE,HIGH,浙江,杭州,2025-01-01 00:00:00
100045,北京示例客户045有限公司,ORGANIZATION,TAX00000045,TRADE,MEDIUM,上海,广州,2025-01-01 00:00:00
100046,成都示例客户046有限公司,ORGANIZATION,TAX00000046,TRADE,LOW,上海,深圳,2025-01-01 00:00:00
100047,广州示例客户047有限公司,ORGANIZATION,TAX00000047,MFG,LOW,江苏,北京,2025-01-01 00:00:00
100048,北京示例客户048有限公司,ORGANIZATION,TAX00000048,MFG,LOW,广东,北京,2025-01-01 00:00:00
100049,杭州示例客户049有限公司,ORGANIZATION,TAX00000049,TRADE,HIGH,江苏,杭州,2025-01-01 00:00:00
100050,北京示例客户050有限公司,ORGANIZATION,TAX00000050,MFG,MEDIUM,四川,深圳,2025-01-01 00:00:00
100051,成都示例客户051有限公司,ORGANIZATION,TAX00000051,MED,MEDIUM,上海,广州,2025-01-01 00:00:00
100052,上海示例客户052有限公司,ORGANIZATION,TAX00000052,TRADE,LOW,北京,深圳,2025-01-01 00:00:00
100053,深圳示例客户053有限公司,ORGANIZATION,TAX00000053,TECH,LOW,江苏,北京,2025-01-01 00:00:00
100054,上海示例客户054有限公司,ORGANIZATION,TAX00000054,MED,HIGH,广东,广州,2025-01-01 00:00:00
100055,成都示例客户055有限公司,ORGANIZATION,TAX00000055,MED,HIGH,江苏,广州,2025-01-01 00:00:00
100056,广州示例客户056有限公司,ORGANIZATION,TAX00000056,MED,LOW,四川,广州,2025-01-01 00:00:00
100057,苏州示例客户057有限公司,ORGANIZATION,TAX00000057,MFG,MEDIUM,上海,深圳,2025-01-01 00:00:00
100058,苏州示例客户058有限公司,ORGANIZATION,TAX00000058,TRADE,LOW,广东,杭州,2025-01-01 00:00:00
100059,北京示例客户059有限公司,ORGANIZATION,TAX00000059,TECH,MEDIUM,江苏,苏州,2025-01-01 00:00:00
100060,成都示例客户060有限公司,ORGANIZATION,TAX00000060,MED,MEDIUM,广东,广州,2025-01-01 00:00:00
100061,苏州示例客户061有限公司,ORGANIZATION,TAX00000061,MFG,HIGH,北京,苏州,2025-01-01 00:00:00
100062,杭州示例客户062有限公司,ORGANIZATION,TAX00000062,MED,LOW,广东,苏州,2025-01-01 00:00:00
100063,苏州示例客户063有限公司,ORGANIZATION,TAX00000063,TRADE,LOW,江苏,深圳,2025-01-01 00:00:00
100064,杭州示例客户064有限公司,ORGANIZATION,TAX00000064,MFG,MEDIUM,上海,成都,2025-01-01 00:00:00
100065,上海示例客户065有限公司,ORGANIZATION,TAX00000065,TECH,HIGH,浙江,杭州,2025-01-01 00:00:00
100066,杭州示例客户066有限公司,ORGANIZATION,TAX00000066,TECH,MEDIUM,四川,杭州,2025-01-01 00:00:00
100067,深圳示例客户067有限公司,ORGANIZATION,TAX00000067,TECH,LOW,江苏,北京,2025-01-01 00:00:00
100068,成都示例客户068有限公司,ORGANIZATION,TAX00000068,MFG,LOW,广东,苏州,2025-01-01 00:00:00
100069,深圳示例客户069有限公司,ORGANIZATION,TAX00000069,MFG,HIGH,广东,北京,2025-01-01 00:00:00
100070,深圳示例客户070有限公司,ORGANIZATION,TAX00000070,MFG,HIGH,浙江,北京,2025-01-01 00:00:00
100071,杭州示例客户071有限公司,ORGANIZATION,TAX00000071,MED,HIGH,四川,苏州,2025-01-01 00:00:00
100072,上海示例客户072有限公司,ORGANIZATION,TAX00000072,TECH,MEDIUM,上海,深圳,2025-01-01 00:00:00
100073,上海示例客户073有限公司,ORGANIZATION,TAX00000073,MFG,LOW,北京,苏州,2025-01-01 00:00:00
100074,深圳示例客户074有限公司,ORGANIZATION,TAX00000074,MED,HIGH,广东,杭州,2025-01-01 00:00:00
100075,上海示例客户075有限公司,ORGANIZATION,TAX00000075,TECH,HIGH,浙江,北京,2025-01-01 00:00:00
100076,北京示例客户076有限公司,ORGANIZATION,TAX00000076,TRADE,HIGH,北京,北京,2025-01-01 00:00:00
100077,成都示例客户077有限公司,ORGANIZATION,TAX00000077,MED,HIGH,广东,北京,2025-01-01 00:00:00
100078,苏州示例客户078有限公司,ORGANIZATION,TAX00000078,TECH,HIGH,上海,成都,2025-01-01 00:00:00
100079,北京示例客户079有限公司,ORGANIZATION,TAX00000079,TECH,MEDIUM,广东,广州,2025-01-01 00:00:00
100080,北京示例客户080有限公司,ORGANIZATION,TAX00000080,TRADE,MEDIUM,江苏,成都,2025-01-01 00:00:00
100081,杭州示例客户081有限公司,ORGANIZATION,TAX00000081,MED,HIGH,江苏,杭州,2025-01-01 00:00:00
100082,苏州示例客户082有限公司,ORGANIZATION,TAX00000082,TRADE,LOW,上海,成都,2025-01-01 00:00:00
100083,北京示例客户083有限公司,ORGANIZATION,TAX00000083,TECH,LOW,江苏,杭州,2025-01-01 00:00:00
100084,苏州示例客户084有限公司,ORGANIZATION,TAX00000084,TECH,MEDIUM,浙江,成都,2025-01-01 00:00:00
100085,杭州示例客户085有限公司,ORGANIZATION,TAX00000085,MFG,LOW,江苏,深圳,2025-01-01 00:00:00
100086,杭州示例客户086有限公司,ORGANIZATION,TAX00000086,MFG,HIGH,北京,广州,2025-01-01 00:00:00
100087,深圳示例客户087有限公司,ORGANIZATION,TAX00000087,TRADE,HIGH,浙江,上海,2025-01-01 00:00:00
100088,成都示例客户088有限公司,ORGANIZATION,TAX00000088,MED,LOW,北京,成都,2025-01-01 00:00:00
100089,上海示例客户089有限公司,ORGANIZATION,TAX00000089,TRADE,LOW,四川,杭州,2025-01-01 00:00:00
100090,苏州示例客户090有限公司,ORGANIZATION,TAX00000090,TECH,LOW,浙江,深圳,2025-01-01 00:00:00
100091,北京示例客户091有限公司,ORGANIZATION,TAX00000091,TRADE,MEDIUM,上海,广州,2025-01-01 00:00:00
100092,苏州示例客户092有限公司,ORGANIZATION,TAX00000092,MED,MEDIUM,四川,杭州,2025-01-01 00:00:00
100093,苏州示例客户093有限公司,ORGANIZATION,TAX00000093,MED,LOW,四川,苏州,2025-01-01 00:00:00
100094,成都示例客户094有限公司,ORGANIZATION,TAX00000094,MED,HIGH,北京,杭州,2025-01-01 00:00:00
100095,上海示例客户095有限公司,ORGANIZATION,TAX00000095,TECH,MEDIUM,北京,成都,2025-01-01 00:00:00
100096,苏州示例客户096有限公司,ORGANIZATION,TAX00000096,TRADE,MEDIUM,江苏,苏州,2025-01-01 00:00:00
100097,杭州示例客户097有限公司,ORGANIZATION,TAX00000097,MED,LOW,广东,成都,2025-01-01 00:00:00
100098,北京示例客户098有限公司,ORGANIZATION,TAX00000098,MED,LOW,广东,广州,2025-01-01 00:00:00
100099,广州示例客户099有限公司,ORGANIZATION,TAX00000099,TRADE,HIGH,上海,苏州,2025-01-01 00:00:00
100100,苏州示例客户100有限公司,ORGANIZATION,TAX00000100,TECH,HIGH,江苏,广州,2025-01-01 00:00:00
