inventory_item_id,organization_id,item_number,item_description,item_type,uom_code,list_price,active_flag
1,2,ITEM00001,商品00001,SERVICE,EA,1698.82,Y
2,2,ITEM00002,商品00002,RM,EA,331.83,Y
3,1,ITEM00003,商品00003,FG,EA,1352.39,Y
4,1,ITEM00004,商品00004,FG,EA,483.5,Y
5,3,ITEM00005,商品00005,RM,EA,1781.57,Y
6,1,ITEM00006,商品00006,FG,EA,167.13,Y
7,4,ITEM00007,商品00007,RM,EA,105.77,Y
8,3,ITEM00008,商品00008,FG,EA,1733.07,Y
9,5,ITEM00009,商品00009,FG,EA,933.86,Y
10,4,ITEM00010,商品00010,RM,EA,522.98,Y
11,3,ITEM00011,商品00011,RM,EA,1170.5,Y
12,5,ITEM00012,商品00012,RM,EA,1798.29,Y
13,5,ITEM00013,商品00013,RM,EA,1785.89,Y
14,3,ITEM00014,商品00014,SERVICE,EA,1243.71,Y
15,4,ITEM00015,商品00015,SERVICE,EA,594.76,Y
16,2,ITEM00016,商品00016,SERVICE,EA,1516.59,Y
17,5,ITEM00017,商品00017,FG,EA,56.41,Y
18,3,ITEM00018,商品00018,RM,EA,930.28,Y
19,4,ITEM00019,商品00019,FG,EA,1663.83,Y
20,3,ITEM00020,商品00020,RM,EA,1162.85,Y
21,2,ITEM00021,商品00021,FG,EA,993.49,Y
22,4,ITEM00022,商品00022,FG,EA,1558.33,Y
23,4,ITEM00023,商品00023,FG,EA,363.83,Y
24,4,ITEM00024,商品00024,RM,EA,1419.35,Y
25,1,ITEM00025,商品00025,SERVICE,EA,1842.19,Y
26,4,ITEM00026,商品00026,SERVICE,EA,68.9,Y
27,5,ITEM00027,商品00027,RM,EA,360.72,Y
28,1,ITEM00028,商品00028,SERVICE,EA,284.49,Y
29,1,ITEM00029,商品00029,SERVICE,EA,595.8,Y
30,3,ITEM00030,商品00030,RM,EA,1228.43,Y
31,2,ITEM00031,商品00031,RM,EA,260.82,Y
32,3,ITEM00032,商品00032,RM,EA,1232.71,Y
33,1,ITEM00033,商品00033,FG,EA,207.82,Y
34,2,ITEM00034,商品00034,FG,EA,1679.14,Y
35,3,ITEM00035,商品00035,FG,EA,1199.1,Y
36,3,ITEM00036,商品00036,FG,EA,1013.93,Y
37,1,ITEM00037,商品00037,SERVICE,EA,1536.82,Y
38,5,ITEM00038,商品00038,RM,EA,1335.46,Y
39,4,ITEM00039,商品00039,SERVICE,EA,402.15,Y
40,4,ITEM00040,商品00040,FG,EA,1932.78,Y
41,4,ITEM00041,商品00041,SERVICE,EA,1754.2,Y
42,1,ITEM00042,商品00042,SERVICE,EA,1506.04,Y
43,5,ITEM00043,商品00043,RM,EA,1879.47,Y
44,1,ITEM00044,商品00044,FG,EA,91.69,Y
45,4,ITEM00045,商品00045,SERVICE,EA,584.58,Y
46,4,ITEM00046,商品00046,RM,EA,609.7,Y
47,5,ITEM00047,商品00047,RM,EA,397.32,Y
48,4,ITEM00048,商品00048,SERVICE,EA,1957.78,Y
49,1,ITEM00049,商品00049,SERVICE,EA,1041.68,Y
50,5,ITEM00050,商品00050,FG,EA,771.88,Y
51,1,ITEM00051,商品00051,RM,EA,622.89,Y
52,2,ITEM00052,商品00052,RM,EA,1838.66,Y
53,5,ITEM00053,商品00053,RM,EA,668.56,Y
54,1,ITEM00054,商品00054,SERVICE,EA,1168.34,Y
55,5,ITEM00055,商品00055,FG,EA,697.22,Y
56,3,ITEM00056,商品00056,SERVICE,EA,615.37,Y
57,3,ITEM00057,商品00057,FG,EA,1121.91,Y
58,2,ITEM00058,商品00058,SERVICE,EA,633.31,Y
59,1,ITEM00059,商品00059,RM,EA,1749.04,Y
60,3,ITEM00060,商品00060,FG,EA,1390.26,Y
61,2,ITEM00061,商品00061,FG,EA,1338.26,Y
62,1,ITEM00062,商品00062,FG,EA,953.61,Y
63,4,ITEM00063,商品00063,SERVICE,EA,588.8,Y
64,3,ITEM00064,商品00064,RM,EA,148.35,Y
65,4,ITEM00065,商品00065,FG,EA,649.18,Y
66,1,ITEM00066,商品00066,SERVICE,EA,1584.1,Y
67,1,ITEM00067,商品00067,RM,EA,1127.91,Y
68,2,ITEM00068,商品00068,FG,EA,1542.67,Y
69,2,ITEM00069,商品00069,SERVICE,EA,1911.3,Y
70,1,ITEM00070,商品00070,FG,EA,397.07,Y
71,2,ITEM00071,商品00071,FG,EA,1948.07,Y
72,1,ITEM00072,商品00072,RM,EA,1575.99,Y
73,4,ITEM00073,商品00073,FG,EA,1731.17,Y
74,2,ITEM00074,商品00074,SERVICE,EA,986.05,Y
75,1,ITEM00075,商品00075,RM,EA,1478.66,Y
76,3,ITEM00076,商品00076,RM,EA,1930.78,Y
77,1,ITEM00077,商品00077,RM,EA,387.2,Y
78,2,ITEM00078,商品00078,FG,EA,1512.35,Y
79,2,ITEM00079,商品00079,SERVICE,EA,1395.31,Y
80,2,ITEM00080,商品00080,FG,EA,172.04,Y
81,1,ITEM00081,商品00081,FG,EA,1212.86,Y
82,2,ITEM00082,商品00082,RM,EA,1548.48,Y
83,4,ITEM00083,商品00083,RM,EA,1654.88,Y
84,5,ITEM00084,商品00084,FG,EA,1127.31,Y
85,3,ITEM00085,商品00085,RM,EA,1553.92,Y
86,4,ITEM00086,商品00086,FG,EA,1800.47,Y
87,2,ITEM00087,商品00087,SERVICE,EA,409.91,Y
88,4,ITEM00088,商品00088,RM,EA,1422.85,Y
89,5,ITEM00089,商品00089,FG,EA,1950.5,Y
90,2,ITEM00090,商品00090,FG,EA,1110.9,Y
91,1,ITEM00091,商品00091,FG,EA,109.25,Y
92,2,ITEM00092,商品00092,SERVICE,EA,670.32,Y
93,5,ITEM00093,商品00093,RM,EA,1449.85,Y
94,2,ITEM00094,商品00094,RM,EA,1572.91,Y
95,2,ITEM00095,商品00095,RM,EA,676.94,Y
96,1,ITEM00096,商品00096,FG,EA,187.28,Y
97,4,ITEM00097,商品00097,RM,EA,1211.45,Y
98,2,ITEM00098,商品00098,FG,EA,913.26,Y
99,2,ITEM00099,商品00099,FG,EA,1513.99,Y
100,3,ITEM00100,商品00100,SERVICE,EA,1560.7,Y
101,4,ITEM00101,商品00101,FG,EA,1735.83,Y
102,1,ITEM00102,商品00102,FG,EA,307.58,Y
103,1,ITEM00103,商品00103,RM,EA,1025.21,Y
104,5,ITEM00104,商品00104,RM,EA,210.41,Y
105,4,ITEM00105,商品00105,RM,EA,1326.1,Y
106,5,ITEM00106,商品00106,FG,EA,685.42,Y
