hold_id,header_id,line_id,hold_type_code,hold_reason,released_flag,hold_date,release_date
4,4,,CREDIT_HOLD,信用额度校验,N,2025-11-09 10:00:00,
14,14,,CREDIT_HOLD,信用额度校验,N,2025-04-24 10:00:00,
30,30,,CREDIT_HOLD,信用额度校验,Y,2025-10-21 10:00:00,
32,32,,CREDIT_HOLD,信用额度校验,N,2025-02-14 10:00:00,
36,36,,CREDIT_HOLD,信用额度校验,N,2025-05-19 10:00:00,
49,49,,CREDIT_HOLD,信用额度校验,Y,2025-05-17 10:00:00,
62,62,,CREDIT_HOLD,信用额度校验,N,2025-06-24 10:00:00,
81,81,,CREDIT_HOLD,信用额度校验,Y,2025-08-04 10:00:00,
87,87,,CREDIT_HOLD,信用额度校验,Y,2025-06-07 10:00:00,
90,90,,CREDIT_HOLD,信用额度校验,Y,2025-09-24 10:00:00,
96,96,,CREDIT_HOLD,信用额度校验,Y,2025-06-14 10:00:00,
110,110,,CREDIT_HOLD,信用额度校验,N,2025-08-22 10:00:00,
112,112,,CREDIT_HOLD,信用额度校验,Y,2025-09-11 10:00:00,
115,115,,CREDIT_HOLD,信用额度校验,Y,2025-06-21 10:00:00,
117,117,,CREDIT_HOLD,信用额度校验,N,2025-05-10 10:00:00,
130,130,,CREDIT_HOLD,信用额度校验,Y,2025-09-14 10:00:00,
135,135,,CREDIT_HOLD,信用额度校验,N,2025-01-08 10:00:00,
145,145,,CREDIT_HOLD,信用额度校验,N,2025-04-18 10:00:00,
149,149,,CREDIT_HOLD,信用额度校验,N,2025-03-01 10:00:00,
173,173,,CREDIT_HOLD,信用额度校验,N,2025-03-19 10:00:00,
174,174,,CREDIT_HOLD,信用额度校验,N,2025-09-08 10:00:00,
178,178,,CREDIT_HOLD,信用额度校验,Y,2025-06-07 10:00:00,
191,191,,CREDIT_HOLD,信用额度校验,N,2025-05-16 10:00:00,
