line_id,header_id,line_number,inventory_item_id,inventory_org_id,ordered_quantity,unit_selling_price,line_amount,discount_percent,request_date,promise_date,flow_status_code
1,1,1,186,3,15,1778.44,25342.77,5,2025-12-15,2025-12-18,AWAITING_SHIPPING
2,1,2,108,1,2,460.52,828.94,10,2025-12-15,2025-12-18,AWAITING_SHIPPING
3,2,1,96,1,3,187.28,505.66,10,2025-10-16,2025-10-19,AWAITING_SHIPPING
4,2,2,70,1,1,397.07,297.8,25,2025-10-16,2025-10-19,AWAITING_SHIPPING
5,3,1,164,5,12,1886.24,16976.16,25,2025-10-15,2025-10-18,AWAITING_SHIPPING
6,4,1,166,3,18,1459.3,22327.29,15,2025-11-09,2025-11-12,AWAITING_SHIPPING
7,5,1,131,2,11,988.06,9781.79,10,2025-05-06,2025-05-09,AWAITING_SHIPPING
8,5,2,7,4,18,105.77,1808.67,5,2025-05-06,2025-05-09,AWAITING_SHIPPING
9,6,1,147,1,19,447.75,7656.53,10,2025-09-24,2025-09-27,AWAITING_SHIPPING
10,7,1,78,2,1,1512.35,1361.12,10,2025-08-06,2025-08-09,AWAITING_SHIPPING
11,7,2,133,5,2,1026.92,1848.46,10,2025-08-06,2025-08-09,AWAITING_SHIPPING
12,8,1,141,3,13,79.57,982.69,5,2025-07-16,2025-07-19,AWAITING_SHIPPING
13,9,1,107,2,3,1338.86,3815.75,5,2025-04-04,2025-04-07,AWAITING_SHIPPING
14,9,2,62,1,7,953.61,6007.74,10,2025-04-04,2025-04-07,AWAITING_SHIPPING
15,9,3,13,5,3,1785.89,5357.67,0,2025-04-04,2025-04-07,AWAITING_SHIPPING
16,10,1,181,5,2,1971.79,3746.4,5,2025-12-09,2025-12-12,AWAITING_SHIPPING
17,10,2,81,1,10,1212.86,10915.74,10,2025-12-09,2025-12-12,AWAITING_SHIPPING
18,11,1,52,2,12,1838.66,16547.94,25,2025-01-20,2025-01-23,AWAITING_SHIPPING
19,11,2,39,4,12,402.15,4825.8,0,2025-01-20,2025-01-23,AWAITING_SHIPPING
20,12,1,67,1,19,1127.91,18215.75,15,2025-06-01,2025-06-04,AWAITING_SHIPPING
21,13,1,96,1,7,187.28,1245.41,5,2025-04-07,2025-04-10,AWAITING_SHIPPING
22,14,1,41,4,12,1754.2,21050.4,0,2025-04-24,2025-04-27,AWAITING_SHIPPING
23,14,2,174,4,13,222.7,2750.34,5,2025-04-24,2025-04-27,AWAITING_SHIPPING
24,15,1,111,5,11,1428.67,13358.06,15,2025-09-07,2025-09-10,AWAITING_SHIPPING
25,15,2,87,2,16,409.91,6230.63,5,2025-09-07,2025-09-10,AWAITING_SHIPPING
26,15,3,129,5,12,1945.37,21010.0,10,2025-09-07,2025-09-10,AWAITING_SHIPPING
27,16,1,121,2,15,85.94,1095.73,15,2025-12-02,2025-12-05,AWAITING_SHIPPING
28,16,2,166,3,8,1459.3,8755.8,25,2025-12-02,2025-12-05,AWAITING_SHIPPING
29,16,3,122,3,8,146.66,1173.28,0,2025-12-02,2025-12-05,AWAITING_SHIPPING
30,17,1,26,4,15,68.9,981.82,5,2025-02-08,2025-02-11,AWAITING_SHIPPING
31,17,2,124,2,17,495.43,8001.19,5,2025-02-08,2025-02-11,AWAITING_SHIPPING
32,18,1,53,5,11,668.56,6251.04,15,2025-07-14,2025-07-17,AWAITING_SHIPPING
33,18,2,103,1,4,1025.21,4100.84,0,2025-07-14,2025-07-17,AWAITING_SHIPPING
34,19,1,115,1,14,136.77,1914.78,0,2025-12-06,2025-12-09,AWAITING_SHIPPING
35,19,2,60,3,5,1390.26,6951.3,0,2025-12-06,2025-12-09,AWAITING_SHIPPING
36,19,3,23,4,3,363.83,1036.92,5,2025-12-06,2025-12-09,AWAITING_SHIPPING
37,20,1,51,1,9,622.89,4765.11,15,2025-05-23,2025-05-26,AWAITING_SHIPPING
38,20,2,66,1,2,1584.1,2851.38,10,2025-05-23,2025-05-26,AWAITING_SHIPPING
39,21,1,199,5,9,571.7,3858.98,25,2025-10-02,2025-10-05,AWAITING_SHIPPING
