customer_trx_id,trx_number,trx_date,sold_to_customer_id,bill_to_customer_id,batch_source_id,cust_trx_type_id,org_id,currency_code,trx_amount,status
1,INV000001,2025-12-19 10:00:00,300027,300027,1,1,5,CNY,25342.77,OPEN
2,INV000002,2025-12-19 10:00:00,300027,300027,1,1,3,CNY,828.94,OPEN
3,INV000003,2025-10-20 10:00:00,300080,300080,1,1,1,CNY,505.66,OPEN
4,INV000004,2025-10-20 10:00:00,300080,300080,1,1,5,CNY,297.8,OPEN
5,INV000005,2025-10-19 10:00:00,300054,300054,1,1,3,CNY,16976.16,OPEN
6,INV000006,2025-11-13 10:00:00,300005,300005,1,1,1,CNY,22327.29,OPEN
7,INV000007,2025-05-10 10:00:00,300013,300013,1,1,2,CNY,9781.79,OPEN
8,INV000008,2025-05-10 10:00:00,300013,300013,1,1,1,CNY,1808.67,OPEN
9,INV000009,2025-09-28 10:00:00,300051,300051,1,1,2,CNY,7656.53,OPEN
10,INV000010,2025-08-10 10:00:00,300064,300064,1,1,2,CNY,1361.12,OPEN
11,INV000011,2025-08-10 10:00:00,300064,300064,1,1,5,CNY,1848.46,OPEN
12,INV000012,2025-07-20 10:00:00,300059,300059,1,1,5,CNY,982.69,OPEN
13,INV000013,2025-04-08 10:00:00,300092,300092,1,1,1,CNY,3815.75,OPEN
14,INV000014,2025-04-08 10:00:00,300092,300092,1,1,1,CNY,6007.74,OPEN
15,INV000015,2025-04-08 10:00:00,300092,300092,1,1,1,CNY,5357.67,OPEN
16,INV000016,2025-12-13 10:00:00,300049,300049,1,1,1,CNY,3746.4,OPEN
17,INV000017,2025-12-13 10:00:00,300049,300049,1,1,3,CNY,10915.74,OPEN
18,INV000018,2025-01-24 10:00:00,300078,300078,1,1,1,CNY,16547.94,OPEN
19,INV000019,2025-01-24 10:00:00,300078,300078,1,1,5,CNY,4825.8,OPEN
20,INV000020,2025-06-05 10:00:00,300063,300063,1,1,1,CNY,18215.75,OPEN
21,INV000021,2025-04-11 10:00:00,300094,300094,1,1,1,CNY,1245.41,OPEN
22,INV000022,2025-04-28 10:00:00,300016,300016,1,1,3,CNY,21050.4,OPEN
23,INV000023,2025-04-28 10:00:00,300016,300016,1,1,3,CNY,2750.34,OPEN
24,INV000024,2025-09-11 10:00:00,300089,300089,1,1,2,CNY,13358.06,OPEN
25,INV000025,2025-09-11 10:00:00,300089,300089,1,1,5,CNY,6230.63,OPEN
26,INV000026,2025-09-11 10:00:00,300089,300089,1,1,4,CNY,21010.0,OPEN
27,INV000027,2025-12-06 10:00:00,300014,300014,1,1,2,CNY,1095.73,OPEN
28,INV000028,2025-12-06 10:00:00,300014,300014,1,1,4,CNY,8755.8,OPEN
29,INV000029,2025-12-06 10:00:00,300014,300014,1,1,4,CNY,1173.28,OPEN
30,INV000030,2025-02-12 10:00:00,300092,300092,1,1,1,CNY,981.82,OPEN
31,INV000031,2025-02-12 10:00:00,300092,300092,1,1,1,CNY,8001.19,OPEN
32,INV000032,2025-07-18 10:00:00,300019,300019,1,1,2,CNY,6251.04,OPEN
33,INV000033,2025-07-18 10:00:00,300019,300019,1,1,1,CNY,4100.84,OPEN
34,INV000034,2025-12-10 10:00:00,300048,300048,1,1,3,CNY,1914.78,OPEN
35,INV000035,2025-12-10 10:00:00,300048,300048,1,1,2,CNY,6951.3,OPEN
36,INV000036,2025-12-10 10:00:00,300048,300048,1,1,2,CNY,1036.92,OPEN
37,INV000037,2025-05-27 10:00:00,300006,300006,1,1,5,CNY,4765.11,OPEN
38,INV000038,2025-05-27 10:00:00,300006,300006,1,1,5,CNY,2851.38,OPEN
39,INV000039,2025-10-06 10:00:00,300005,300005,1,1,1,CNY,3858.98,OPEN
40,INV000040,2025-05-10 10:00:00,300058,300058,1,1,4,CNY,22506.37,OPEN
41,INV000041,2025-05-10 10:00:00,300058,300058,1,1,3,CNY,15257.98,OPEN
42,INV000042,2025-07-20 10:00:00,300095,300095,1,1,3,CNY,26476.73,OPEN
43,INV000043,2025-07-20 10:00:00,300095,300095,1,1,2,CNY,4468.18,OPEN
44,INV000044,2025-07-20 10:00:00,300095,300095,1,1,3,CNY,13131.25,OPEN
45,INV000045,2025-06-10 10:00:00,300084,300084,1,1,4,CNY,2962.44,OPEN
46,INV000046,2025-07-18 10:00:00,300022,300022,1,1,2,CNY,1482.16,OPEN
47,INV000047,2025-07-18 10:00:00,300022,300022,1,1,1,CNY,15445.99,OPEN
48,INV000048,2025-07-18 10:00:00,300022,300022,1,1,5,CNY,19791.92,OPEN
49,INV000049,2025-03-12 10:00:00,300057,300057,1,1,1,CNY,4797.94,OPEN
50,INV000050,2025-03-12 10:00:00,300057,300057,1,1,2,CNY,12023.76,OPEN
51,INV000051,2025-04-18 10:00:00,300012,300012,1,1,4,CNY,2783.3,OPEN
52,INV000052,2025-04-18 10:00:00,300012,300012,1,1,4,CNY,13132.17,OPEN
53,INV000053,2025-04-18 10:00:00,300012,300012,1,1,1,CNY,3046.23,OPEN
54,INV000054,2025-03-11 10:00:00,300030,300030,1,1,4,CNY,3277.73,OPEN
55,INV000055,2025-03-11 10:00:00,300030,300030,1,1,4,CNY,4184.52,OPEN
56,INV000056,2025-05-25 10:00:00,300060,300060,1,1,3,CNY,3569.02,OPEN
57,INV000057,2025-10-25 10:00:00,300038,300038,1,1,2,CNY,8372.52,OPEN
58,INV000058,2025-10-25 10:00:00,300038,300038,1,1,3,CNY,17611.09,OPEN
59,INV000059,2025-10-13 10:00:00,300018,300018,1,1,4,CNY,7543.28,OPEN
60,INV000060,2025-02-18 10:00:00,300060,300060,1,1,1,CNY,5914.64,OPEN
61,INV000061,2025-02-18 10:00:00,300060,300060,1,1,1,CNY,6001.95,OPEN
62,INV000062,2025-06-19 10:00:00,300078,300078,1,1,1,CNY,12250.74,OPEN
63,INV000063,2025-06-19 10:00:00,300078,300078,1,1,2,CNY,886.79,OPEN
64,INV000064,2025-04-18 10:00:00,300017,300017,1,1,4,CNY,1769.7,OPEN
65,INV000065,2025-04-18 10:00:00,300017,300017,1,1,2,CNY,7612.29,OPEN
66,INV000066,2025-09-20 10:00:00,300085,300085,1,1,5,CNY,6176.48,OPEN
67,INV000067,2025-09-20 10:00:00,300085,300085,1,1,1,CNY,2805.57,OPEN
68,INV000068,2025-09-20 10:00:00,300085,300085,1,1,5,CNY,6849.45,OPEN
69,INV000069,2025-05-23 10:00:00,300030,300030,1,1,1,CNY,9017.48,OPEN
70,INV000070,2025-05-23 10:00:00,300030,300030,1,1,2,CNY,11064.47,OPEN
71,INV000071,2025-12-14 10:00:00,300013,300013,1,1,2,CNY,2884.47,OPEN
72,INV000072,2025-12-14 10:00:00,300013,300013,1,1,2,CNY,19824.45,OPEN
73,INV000073,2025-09-09 10:00:00,300039,300039,1,1,2,CNY,13422.13,OPEN
74,INV000074,2025-09-09 10:00:00,300039,300039,1,1,4,CNY,17512.68,OPEN
75,INV000075,2025-09-09 10:00:00,300039,300039,1,1,4,CNY,4511.64,OPEN
76,INV000076,2025-08-16 10:00:00,300072,300072,1,1,2,CNY,2362.85,OPEN
77,INV000077,2025-08-16 10:00:00,300072,300072,1,1,4,CNY,9415.16,OPEN
78,INV000078,2025-08-16 10:00:00,300072,300072,1,1,1,CNY,2840.53,OPEN
79,INV000079,2025-08-14 10:00:00,300008,300008,1,1,3,CNY,944.27,OPEN
80,INV000080,2025-08-14 10:00:00,300008,300008,1,1,2,CNY,7356.8,OPEN
81,INV000081,2025-08-14 10:00:00,300008,300008,1,1,2,CNY,7879.3,OPEN
82,INV000082,2025-12-22 10:00:00,300036,300036,1,1,3,CNY,11012.65,OPEN
83,INV000083,2025-09-17 10:00:00,300072,300072,1,1,1,CNY,13765.82,OPEN
84,INV000084,2025-09-17 10:00:00,300072,300072,1,1,3,CNY,363.83,OPEN
85,INV000085,2025-01-19 10:00:00,300072,300072,1,1,3,CNY,23161.0,OPEN
86,INV000086,2025-01-19 10:00:00,300072,300072,1,1,2,CNY,14689.44,OPEN
87,INV000087,2025-02-16 10:00:00,300050,300050,1,1,5,CNY,4620.19,OPEN
88,INV000088,2025-02-16 10:00:00,300050,300050,1,1,1,CNY,9580.61,OPEN
89,INV000089,2025-02-12 10:00:00,300071,300071,1,1,4,CNY,4693.5,OPEN
90,INV000090,2025-02-12 10:00:00,300071,300071,1,1,3,CNY,1213.02,OPEN
91,INV000091,2025-02-12 10:00:00,300071,300071,1,1,4,CNY,26839.26,OPEN
92,INV000092,2025-06-29 10:00:00,300085,300085,1,1,1,CNY,11163.36,OPEN
93,INV000093,2025-06-29 10:00:00,300085,300085,1,1,4,CNY,21163.44,OPEN
94,INV000094,2025-06-29 10:00:00,300085,300085,1,1,4,CNY,13398.56,OPEN
95,INV000095,2025-03-08 10:00:00,300094,300094,1,1,5,CNY,2941.28,OPEN
96,INV000096,2025-03-08 10:00:00,300094,300094,1,1,2,CNY,33596.28,OPEN
97,INV000097,2025-03-08 10:00:00,300094,300094,1,1,2,CNY,3316.76,OPEN
98,INV000098,2025-09-06 10:00:00,300100,300100,1,1,2,CNY,3484.08,OPEN
99,INV000099,2025-09-06 10:00:00,300100,300100,1,1,4,CNY,545.75,OPEN
100,INV000100,2025-05-21 10:00:00,300023,300023,1,1,1,CNY,7370.58,OPEN
101,INV000101,2025-05-21 10:00:00,300023,300023,1,1,1,CNY,2400.78,OPEN
102,INV000102,2025-09-06 10:00:00,300044,300044,1,1,1,CNY,1146.13,OPEN
103,INV000103,2025-09-06 10:00:00,300044,300044,1,1,1,CNY,7029.01,OPEN
104,INV000104,2025-09-06 10:00:00,300044,300044,1,1,1,CNY,24397.85,OPEN
105,INV000105,2025-05-22 10:00:00,300001,300001,1,1,5,CNY,439.98,OPEN
106,INV000106,2025-09-09 10:00:00,300066,300066,1,1,1,CNY,10537.39,OPEN
107,INV000107,2025-03-21 10:00:00,300063,300063,1,1,3,CNY,5359.43,OPEN
108,INV000108,2025-03-21 10:00:00,300063,300063,1,1,2,CNY,3467.62,OPEN
109,INV000109,2025-03-21 10:00:00,300063,300063,1,1,1,CNY,9979.83,OPEN
110,INV000110,2025-06-10 10:00:00,300054,300054,1,1,4,CNY,3549.22,OPEN
111,INV000111,2025-06-10 10:00:00,300054,300054,1,1,3,CNY,1800.58,OPEN
112,INV000112,2025-12-09 10:00:00,300077,300077,1,1,1,CNY,23833.58,OPEN
113,INV000113,2025-12-09 10:00:00,300077,300077,1,1,5,CNY,618.51,OPEN
114,INV000114,2025-04-28 10:00:00,300053,300053,1,1,1,CNY,675.02,OPEN
115,INV000115,2025-04-28 10:00:00,300053,300053,1,1,2,CNY,1586.55,OPEN
116,INV000116,2025-01-26 10:00:00,300029,300029,1,1,3,CNY,19564.92,OPEN
117,INV000117,2025-08-12 10:00:00,300008,300008,1,1,2,CNY,16417.12,OPEN
118,INV000118,2025-08-12 10:00:00,300008,300008,1,1,3,CNY,16515.56,OPEN
119,INV000119,2025-11-16 10:00:00,300076,300076,1,1,3,CNY,14599.79,OPEN
