salesrep_id,employee_id,salesrep_number,salesrep_name,org_id,status
1,1,SR001,销售001,2,ACTIVE
2,2,SR002,销售002,1,ACTIVE
3,3,SR003,销售003,5,ACTIVE
4,4,SR004,销售004,2,ACTIVE
5,5,SR005,销售005,5,ACTIVE
6,6,SR006,销售006,5,ACTIVE
7,7,SR007,销售007,4,ACTIVE
8,8,SR008,销售008,4,ACTIVE
9,9,SR009,销售009,1,ACTIVE
10,10,SR010,销售010,5,ACTIVE
11,11,SR011,销售011,2,ACTIVE
12,12,SR012,销售012,2,ACTIVE
13,13,SR013,销售013,2,ACTIVE
14,14,SR014,销售014,1,ACTIVE
15,15,SR015,销售015,3,ACTIVE
16,16,SR016,销售016,3,ACTIVE
17,17,SR017,销售017,2,ACTIVE
18,18,SR018,销售018,4,ACTIVE
19,19,SR019,销售019,4,ACTIVE
20,20,SR020,销售020,5,ACTIVE
21,21,SR021,销售021,5,ACTIVE
22,22,SR022,销售022,1,ACTIVE
23,23,SR023,销售023,3,ACTIVE
24,24,SR024,销售024,5,ACTIVE
25,25,SR025,销售025,2,ACTIVE
26,26,SR026,销售026,3,ACTIVE
27,27,SR027,销售027,1,ACTIVE
28,28,SR028,销售028,2,ACTIVE
29,29,SR029,销售029,2,ACTIVE
30,30,SR030,销售030,2,ACTIVE
