assignment_id,delivery_id,delivery_detail_id,assigned_date
1,2,2,2025-12-16 10:00:00
2,2,3,2025-12-16 10:00:00
3,3,4,2025-10-17 10:00:00
4,3,5,2025-10-17 10:00:00
5,4,6,2025-10-16 10:00:00
6,5,7,2025-11-10 10:00:00
7,6,8,2025-05-07 10:00:00
8,6,9,2025-05-07 10:00:00
9,7,10,2025-09-25 10:00:00
10,8,11,2025-08-07 10:00:00
11,8,12,2025-08-07 10:00:00
12,9,13,2025-07-17 10:00:00
13,10,14,2025-04-05 10:00:00
14,10,15,2025-04-05 10:00:00
15,10,16,2025-04-05 10:00:00
16,11,17,2025-12-10 10:00:00
17,11,18,2025-12-10 10:00:00
18,12,19,2025-01-21 10:00:00
19,12,20,2025-01-21 10:00:00
20,13,21,2025-06-02 10:00:00
21,14,22,2025-04-08 10:00:00
22,15,23,2025-04-25 10:00:00
23,15,24,2025-04-25 10:00:00
24,16,25,2025-09-08 10:00:00
25,16,26,2025-09-08 10:00:00
26,16,27,2025-09-08 10:00:00
27,17,28,2025-12-03 10:00:00
28,17,29,2025-12-03 10:00:00
29,17,30,2025-12-03 10:00:00
30,18,31,2025-02-09 10:00:00
31,18,32,2025-02-09 10:00:00
32,19,33,2025-07-15 10:00:00
33,19,34,2025-07-15 10:00:00
34,20,35,2025-12-07 10:00:00
35,20,36,2025-12-07 10:00:00
36,20,37,2025-12-07 10:00:00
37,21,38,2025-05-24 10:00:00
38,21,39,2025-05-24 10:00:00
39,22,40,2025-10-03 10:00:00
40,23,41,2025-05-07 10:00:00
41,23,42,2025-05-07 10:00:00
42,24,43,2025-07-17 10:00:00
43,24,44,2025-07-17 10:00:00
44,24,45,2025-07-17 10:00:00
45,25,46,2025-06-07 10:00:00
46,26,47,2025-07-15 10:00:00
47,26,48,2025-07-15 10:00:00
48,26,49,2025-07-15 10:00:00
49,27,50,2025-03-09 10:00:00
50,27,51,2025-03-09 10:00:00
51,28,52,2025-04-15 10:00:00
52,28,53,2025-04-15 10:00:00
53,28,54,2025-04-15 10:00:00
54,29,55,2025-03-08 10:00:00
55,29,56,2025-03-08 10:00:00
56,30,57,2025-05-22 10:00:00
57,31,58,2025-10-22 10:00:00
58,31,59,2025-10-22 10:00:00
59,32,60,2025-10-10 10:00:00
60,33,61,2025-02-15 10:00:00
61,33,62,2025-02-15 10:00:00
62,34,63,2025-06-16 10:00:00
63,34,64,2025-06-16 10:00:00
64,35,65,2025-04-15 10:00:00
65,35,66,2025-04-15 10:00:00
66,36,67,2025-09-17 10:00:00
67,36,68,2025-09-17 10:00:00
68,36,69,2025-09-17 10:00:00
69,37,70,2025-05-20 10:00:00
70,37,71,2025-05-20 10:00:00
71,38,72,2025-12-11 10:00:00
72,38,73,2025-12-11 10:00:00
73,39,74,2025-09-06 10:00:00
74,39,75,2025-09-06 10:00:00
75,39,76,2025-09-06 10:00:00
76,40,77,2025-08-13 10:00:00
77,40,78,2025-08-13 10:00:00
78,40,79,2025-08-13 10:00:00
79,41,80,2025-08-11 10:00:00
80,41,81,2025-08-11 10:00:00
81,41,82,2025-08-11 10:00:00
82,42,83,2025-12-19 10:00:00
83,43,84,2025-09-14 10:00:00
84,43,85,2025-09-14 10:00:00
85,44,86,2025-01-16 10:00:00
86,44,87,2025-01-16 10:00:00
87,45,88,2025-02-13 10:00:00
88,45,89,2025-02-13 10:00:00
89,46,90,2025-02-09 10:00:00
90,46,91,2025-02-09 10:00:00
91,46,92,2025-02-09 10:00:00
92,47,93,2025-06-26 10:00:00
93,47,94,2025-06-26 10:00:00
94,47,95,2025-06-26 10:00:00
95,48,96,2025-03-05 10:00:00
96,48,97,2025-03-05 10:00:00
97,48,98,2025-03-05 10:00:00
98,49,99,2025-09-03 10:00:00
99,49,100,2025-09-03 10:00:00
100,50,101,2025-05-18 10:00:00
101,50,102,2025-05-18 10:00:00
102,51,103,2025-09-03 10:00:00
103,51,104,2025-09-03 10:00:00
104,51,105,2025-09-03 10:00:00
105,52,106,2025-05-19 10:00:00
106,53,107,2025-09-06 10:00:00
107,54,108,2025-03-18 10:00:00
108,54,109,2025-03-18 10:00:00
109,54,110,2025-03-18 10:00:00
110,55,111,2025-06-07 10:00:00
111,55,112,2025-06-07 10:00:00
112,56,113,2025-12-06 10:00:00
113,56,114,2025-12-06 10:00:00
114,57,115,2025-04-25 10:00:00
115,57,116,2025-04-25 10:00:00
116,58,117,2025-01-23 10:00:00
117,59,118,2025-08-09 10:00:00
118,59,119,2025-08-09 10:00:00
119,60,120,2025-11-13 10:00:00
120,60,121,2025-11-13 10:00:00
121,61,122,2025-09-23 10:00:00
122,61,123,2025-09-23 10:00:00
123,61,124,2025-09-23 10:00:00
124,62,125,2025-03-09 10:00:00
125,62,126,2025-03-09 10:00:00
126,63,127,2025-06-25 10:00:00
127,63,128,2025-06-25 10:00:00
128,64,129,2025-05-18 10:00:00
129,64,130,2025-05-18 10:00:00
130,64,131,2025-05-18 10:00:00
131,65,132,2025-10-18 10:00:00
132,65,133,2025-10-18 10:00:00
133,65,134,2025-10-18 10:00:00
134,66,135,2025-02-02 10:00:00
135,66,136,2025-02-02 10:00:00
136,66,137,2025-02-02 10:00:00
137,67,138,2025-02-09 10:00:00
138,68,139,2025-01-10 10:00:00
139,69,140,2025-06-19 10:00:00
140,69,141,2025-06-19 10:00:00
141,69,142,2025-06-19 10:00:00
142,70,143,2025-11-05 10:00:00
143,70,144,2025-11-05 10:00:00
