credit_profile_id,cust_account_id,credit_limit,currency_code,payment_terms,risk_level,risk_score,credit_hold_flag,status
700000001,300000001,671412.55,CNY,NET60,LOW,84.52,N,ACTIVE
700000002,300000002,18281776.22,CNY,NET60,LOW,59.89,N,ACTIVE
700000003,300000003,3136559.51,CNY,NET60,MEDIUM,53.46,N,ACTIVE
700000004,300000004,8699412.62,CNY,NET30,LOW,70.88,N,ACTIVE
700000005,300000005,179116.96,CNY,NET30,LOW,40.63,N,ACTIVE
700000006,300000006,106087.08,CNY,PREPAID,LOW,48.89,N,ACTIVE
700000007,300000007,192027.30,CNY,PREPAID,LOW,49.08,N,ACTIVE
700000008,300000008,887708.32,CNY,NET30,LOW,43.90,N,ACTIVE
700000009,300000009,17008887.66,CNY,PREPAID,LOW,46.01,N,ACTIVE
700000010,300000010,19779632.66,CNY,NET30,LOW,54.59,N,ACTIVE
700000011,300000011,151281.88,CNY,PREPAID,LOW,52.94,N,ACTIVE
700000012,300000012,5139731.85,CNY,NET30,LOW,74.16,N,ACTIVE
700000013,300000013,190839.50,CNY,NET60,LOW,47.39,N,ACTIVE
700000014,300000014,132752.06,CNY,NET30,LOW,63.52,N,ACTIVE
700000015,300000015,188864.57,CNY,NET30,LOW,53.02,N,ACTIVE
700000016,300000016,10976989.68,CNY,NET30,MEDIUM,55.32,N,ACTIVE
700000017,300000017,1760315.10,CNY,NET30,LOW,42.44,N,ACTIVE
700000018,300000018,692411.93,CNY,NET30,LOW,56.55,N,ACTIVE
700000019,300000019,150919.35,CNY,NET30,MEDIUM,52.36,N,ACTIVE
700000020,300000020,16676306.10,CNY,NET30,MEDIUM,52.04,N,ACTIVE
700000021,300000021,871890.31,CNY,NET60,LOW,55.25,N,ACTIVE
700000022,300000022,249812.57,CNY,NET30,MEDIUM,85.81,N,ACTIVE
700000023,300000023,15033104.31,CNY,NET30,LOW,83.90,N,ACTIVE
700000024,300000024,8784072.98,CNY,NET30,LOW,44.50,N,ACTIVE
700000025,300000025,75168.37,CNY,NET60,MEDIUM,73.40,N,ACTIVE
700000026,300000026,4130541.39,CNY,PREPAID,LOW,59.10,N,ACTIVE
700000027,300000027,2073582.15,CNY,NET60,MEDIUM,86.84,N,ACTIVE
700000028,300000028,4792250.31,CNY,NET30,LOW,44.71,N,ACTIVE
700000029,300000029,2083665.71,CNY,NET30,MEDIUM,53.83,N,ACTIVE
700000030,300000030,133003.85,CNY,NET60,LOW,78.36,N,ACTIVE
700000031,300000031,19236884.64,CNY,NET30,LOW,44.68,N,ACTIVE
700000032,300000032,641593.80,CNY,NET60,LOW,48.61,N,ACTIVE
700000033,300000033,6071147.55,CNY,NET30,LOW,49.13,N,ACTIVE
700000034,300000034,19428666.53,CNY,NET60,LOW,85.98,N,ACTIVE
700000035,300000035,2152871.18,CNY,NET30,LOW,91.99,N,ACTIVE
700000036,300000036,18915091.41,CNY,NET60,HIGH,31.91,N,ACTIVE
700000037,300000037,1578567.87,CNY,NET30,LOW,50.48,N,ACTIVE
700000038,300000038,501768.04,CNY,NET30,LOW,91.31,N,ACTIVE
700000039,300000039,18045504.70,CNY,PREPAID,MEDIUM,88.08,N,ACTIVE
700000040,300000040,4489532.07,CNY,PREPAID,MEDIUM,41.97,N,ACTIVE
700000041,300000041,3727201.49,CNY,NET30,HIGH,19.00,N,ACTIVE
700000042,300000042,752250.81,CNY,NET30,HIGH,32.84,N,ACTIVE
700000043,300000043,8285068.08,CNY,NET90,LOW,50.46,N,ACTIVE
700000044,300000044,864378.10,CNY,NET30,MEDIUM,54.13,N,ACTIVE
700000045,300000045,137684.01,CNY,NET30,HIGH,51.12,N,ACTIVE
700000046,300000046,64578.80,CNY,NET30,MEDIUM,88.80,N,ACTIVE
700000047,300000047,635572.69,CNY,NET30,MEDIUM,93.78,N,ACTIVE
700000048,300000048,99283.93,CNY,NET90,LOW,48.12,N,ACTIVE
700000049,300000049,2904983.86,CNY,NET30,MEDIUM,82.79,N,ACTIVE
700000050,300000050,14124461.35,CNY,NET60,LOW,43.61,N,ACTIVE
700000051,300000051,10980952.76,CNY,NET30,HIGH,46.48,N,ACTIVE
700000052,300000052,4472368.60,CNY,NET60,LOW,79.66,N,ACTIVE
700000053,300000053,5393807.47,CNY,NET90,LOW,91.10,N,ACTIVE
700000054,300000054,16652534.30,CNY,NET30,LOW,71.22,N,ACTIVE
700000055,300000055,1181669.45,CNY,NET60,LOW,61.74,N,ACTIVE
700000056,300000056,4684649.74,CNY,NET30,MEDIUM,87.42,N,ACTIVE
700000057,300000057,16187072.40,CNY,NET60,LOW,52.19,N,ACTIVE
700000058,300000058,807901.72,CNY,PREPAID,LOW,64.69,N,ACTIVE
700000059,300000059,14669997.04,CNY,NET30,LOW,93.76,N,ACTIVE
700000060,300000060,55871.32,CNY,NET90,LOW,78.92,N,ACTIVE
700000061,300000061,180991.95,CNY,NET60,HIGH,26.67,N,ACTIVE
700000062,300000062,10125985.18,CNY,NET60,LOW,82.14,N,ACTIVE
700000063,300000063,776946.40,CNY,NET30,MEDIUM,42.40,N,ACTIVE
700000064,300000064,17253368.59,CNY,NET90,LOW,84.07,N,ACTIVE
700000065,300000065,11223453.59,CNY,NET30,HIGH,29.82,N,ACTIVE
700000066,300000066,17524446.49,CNY,NET30,LOW,70.18,N,ACTIVE
700000067,300000067,533254.08,CNY,NET30,LOW,76.54,N,ACTIVE
700000068,300000068,306727.67,CNY,NET60,MEDIUM,59.38,N,ACTIVE
700000069,300000069,9291663.43,CNY,PREPAID,MEDIUM,87.42,N,ACTIVE
700000070,300000070,4980392.66,CNY,NET90,LOW,49.93,N,ACTIVE
700000071,300000071,2453244.52,CNY,NET60,LOW,84.06,N,ACTIVE
700000072,300000072,2592136.18,CNY,NET30,LOW,75.73,N,ACTIVE
700000073,300000073,19958936.06,CNY,NET30,LOW,84.58,N,ACTIVE
700000074,300000074,1519084.92,CNY,NET60,MEDIUM,88.63,N,ACTIVE
700000075,300000075,865112.65,CNY,NET90,MEDIUM,68.50,N,ACTIVE
700000076,300000076,776506.21,CNY,NET60,MEDIUM,73.28,N,ACTIVE
700000077,300000077,3754454.29,CNY,NET30,LOW,48.69,N,ACTIVE
700000078,300000078,240484.23,CNY,NET30,MEDIUM,92.00,N,ACTIVE
700000079,300000079,678015.02,CNY,NET30,MEDIUM,86.36,N,ACTIVE
700000080,300000080,152059.80,CNY,NET30,MEDIUM,46.53,N,ACTIVE
700000081,300000081,454824.03,CNY,NET60,LOW,61.61,N,ACTIVE
700000082,300000082,4868282.78,CNY,NET90,MEDIUM,83.06,N,ACTIVE
700000083,300000083,528301.93,CNY,NET30,LOW,82.62,N,ACTIVE
700000084,300000084,19122283.19,CNY,NET30,LOW,94.02,N,ACTIVE
700000085,300000085,724777.64,CNY,NET30,LOW,81.10,N,ACTIVE
700000086,300000086,5077721.70,CNY,NET30,LOW,70.27,N,ACTIVE
700000087,300000087,949287.00,CNY,PREPAID,LOW,92.92,N,ACTIVE
700000088,300000088,3946471.58,CNY,NET30,LOW,83.49,N,ACTIVE
