customer_trx_id,trx_number,trx_date,sold_to_customer_id,cust_trx_type,trx_amount,tax_amount,status
1200000001,INV20241231000001,2024-12-31 04:32:00,300000900,INVOICE,168775.09,19416.60,OPEN
1200000002,INV20241231000002,2024-12-31 04:32:00,300000900,INVOICE,121463.93,13973.73,CLOSED
1200000003,INV20250104000003,2025-01-04 04:32:00,300000900,INVOICE,6973.65,802.28,CLOSED
1200000004,INV20250108000004,2025-01-08 04:32:00,300000900,INVOICE,25924.35,2982.45,CLOSED
1200000005,INV20240724000005,2024-07-24 20:33:00,300000955,INVOICE,5372.26,618.05,OPEN
1200000006,INV20250816000006,2025-08-16 15:49:00,300000938,INVOICE,27518.18,3165.81,CLOSED
1200000007,INV20250801000007,2025-08-01 15:49:00,300000938,INVOICE,68935.11,7930.59,CLOSED
1200000008,INV20250813000008,2025-08-13 15:49:00,300000938,INVOICE,4025.50,463.11,CLOSED
1200000009,INV20241001000009,2024-10-01 14:00:00,300000950,INVOICE,69572.04,8003.86,OPEN
1200000010,INV20241007000010,2024-10-07 14:00:00,300000950,INVOICE,44716.16,5144.34,OPEN
1200000011,INV20240921000011,2024-09-21 14:00:00,300000950,INVOICE,22463.35,2584.28,OPEN
1200000012,INV20250125000012,2025-01-25 08:26:00,300000235,INVOICE,11577.66,1331.94,OPEN
1200000013,INV20250115000013,2025-01-15 08:26:00,300000235,INVOICE,90772.19,10442.82,CLOSED
1200000014,INV20240504000014,2024-05-04 23:17:00,300000932,INVOICE,17871.80,2056.05,OPEN
1200000015,INV20240511000015,2024-05-11 23:17:00,300000932,INVOICE,2604.36,299.62,OPEN
1200000016,INV20240505000016,2024-05-05 23:17:00,300000932,INVOICE,43379.93,4990.61,CLOSED
1200000017,INV20250304000017,2025-03-04 14:11:00,300000513,INVOICE,25645.88,2950.41,CLOSED
1200000018,INV20250221000018,2025-02-21 21:39:00,300000365,INVOICE,105542.25,12142.03,CLOSED
1200000019,INV20250301000019,2025-03-01 21:39:00,300000365,INVOICE,157554.53,18125.74,CLOSED
1200000020,INV20250221000020,2025-02-21 21:39:00,300000365,INVOICE,49531.96,5698.37,OPEN
1200000021,INV20250225000021,2025-02-25 21:39:00,300000365,INVOICE,31102.63,3578.18,CLOSED
1200000022,INV20250225000022,2025-02-25 21:39:00,300000365,INVOICE,15402.63,1771.98,OPEN
1200000023,INV20240930000023,2024-09-30 01:59:00,300000494,INVOICE,20397.30,2346.59,CLOSED
1200000024,INV20240924000024,2024-09-24 01:59:00,300000494,INVOICE,19856.07,2284.33,OPEN
1200000025,INV20240926000025,2024-09-26 01:59:00,300000494,INVOICE,36005.57,4142.23,CLOSED
1200000026,INV20250821000026,2025-08-21 15:43:00,300000232,INVOICE,87483.92,10064.52,OPEN
1200000027,INV20250813000027,2025-08-13 15:43:00,300000232,INVOICE,49757.08,5724.27,CLOSED
1200000028,INV20250817000028,2025-08-17 15:43:00,300000232,INVOICE,19320.08,2222.66,OPEN
1200000029,INV20250814000029,2025-08-14 15:43:00,300000232,INVOICE,90207.37,10377.84,OPEN
1200000030,INV20260108000030,2026-01-08 05:17:00,300000723,INVOICE,23153.88,2663.72,OPEN
1200000031,INV20251226000031,2025-12-26 05:17:00,300000723,INVOICE,8275.91,952.10,OPEN
1200000032,INV20260102000032,2026-01-02 05:17:00,300000723,INVOICE,29285.10,3369.08,CLOSED
1200000033,INV20240822000033,2024-08-22 03:16:00,300000109,INVOICE,41386.71,4761.30,OPEN
1200000034,INV20240819000034,2024-08-19 03:16:00,300000109,INVOICE,69219.52,7963.31,OPEN
1200000035,INV20250218000035,2025-02-18 06:22:00,300000422,INVOICE,71518.03,8227.74,OPEN
1200000036,INV20251109000036,2025-11-09 07:48:00,300000335,INVOICE,1109.73,127.67,CLOSED
1200000037,INV20251029000037,2025-10-29 07:48:00,300000335,INVOICE,9149.16,1052.56,CLOSED
1200000038,INV20250518000038,2025-05-18 16:41:00,300000730,INVOICE,92899.06,10687.50,OPEN
1200000039,INV20240917000039,2024-09-17 03:15:00,300000510,INVOICE,17017.47,1957.76,OPEN
1200000040,INV20240923000040,2024-09-23 03:15:00,300000510,INVOICE,58589.88,6740.43,OPEN
1200000041,INV20240910000041,2024-09-10 03:15:00,300000510,INVOICE,182800.08,21030.10,CLOSED
1200000042,INV20240918000042,2024-09-18 03:15:00,300000510,INVOICE,41235.53,4743.91,OPEN
1200000043,INV20241228000043,2024-12-28 01:52:00,300000082,INVOICE,86354.25,9934.56,OPEN
1200000044,INV20250110000044,2025-01-10 01:52:00,300000082,INVOICE,113633.83,13072.92,CLOSED
1200000045,INV20250101000045,2025-01-01 01:52:00,300000082,INVOICE,3789.47,435.96,OPEN
1200000046,INV20250226000046,2025-02-26 11:22:00,300000922,INVOICE,87466.55,10062.52,CLOSED
1200000047,INV20250223000047,2025-02-23 11:22:00,300000922,INVOICE,33735.28,3881.05,OPEN
1200000048,INV20250228000048,2025-02-28 11:22:00,300000922,INVOICE,8877.74,1021.33,CLOSED
1200000049,INV20250221000049,2025-02-21 11:22:00,300000922,INVOICE,13242.85,1523.51,OPEN
1200000050,INV20240416000050,2024-04-16 20:02:00,300000630,INVOICE,144152.66,16583.93,CLOSED
1200000051,INV20240430000051,2024-04-30 20:02:00,300000630,INVOICE,86367.00,9936.03,OPEN
1200000052,INV20251125000052,2025-11-25 11:08:00,300000074,INVOICE,18279.93,2103.00,CLOSED
1200000053,INV20251120000053,2025-11-20 11:08:00,300000074,INVOICE,49433.95,5687.09,OPEN
1200000054,INV20260311000054,2026-03-11 11:09:00,300000684,INVOICE,22458.00,2583.66,OPEN
1200000055,INV20260309000055,2026-03-09 11:09:00,300000684,INVOICE,27284.20,3138.89,OPEN
1200000056,INV20260314000056,2026-03-14 11:09:00,300000684,INVOICE,95951.63,11038.68,CLOSED
1200000057,INV20250417000057,2025-04-17 08:14:00,300000294,INVOICE,58737.66,6757.43,OPEN
1200000058,INV20250425000058,2025-04-25 08:14:00,300000294,INVOICE,11291.76,1299.05,OPEN
1200000059,INV20250505000059,2025-05-05 08:14:00,300000294,INVOICE,27678.11,3184.21,CLOSED
1200000060,INV20250501000060,2025-05-01 08:14:00,300000294,INVOICE,44616.20,5132.84,OPEN
1200000061,INV20240902000061,2024-09-02 01:07:00,300000287,INVOICE,110875.29,12755.56,CLOSED
1200000062,INV20240911000062,2024-09-11 01:07:00,300000287,INVOICE,23862.12,2745.20,OPEN
1200000063,INV20240911000063,2024-09-11 01:07:00,300000287,INVOICE,113588.05,13067.65,CLOSED
1200000064,INV20240911000064,2024-09-11 01:07:00,300000287,INVOICE,102679.91,11812.73,OPEN
1200000065,INV20250317000065,2025-03-17 10:09:00,300000529,INVOICE,68014.80,7824.71,CLOSED
1200000066,INV20250128000066,2025-01-28 13:32:00,300000357,INVOICE,15991.69,1839.75,CLOSED
1200000067,INV20260330000067,2026-03-30 19:10:00,300000208,INVOICE,33847.84,3894.00,OPEN
1200000068,INV20241022000068,2024-10-22 05:01:00,300000008,INVOICE,111734.64,12854.43,CLOSED
1200000069,INV20241025000069,2024-10-25 05:01:00,300000008,INVOICE,198513.32,22837.82,OPEN
1200000070,INV20241008000070,2024-10-08 05:01:00,300000008,INVOICE,70026.03,8056.09,CLOSED
1200000071,INV20241011000071,2024-10-11 05:01:00,300000008,INVOICE,22588.96,2598.73,CLOSED
1200000072,INV20240425000072,2024-04-25 18:52:00,300000206,INVOICE,138378.83,15919.69,CLOSED
1200000073,INV20250302000073,2025-03-02 01:07:00,300000071,INVOICE,14001.76,1610.82,OPEN
1200000074,INV20251229000074,2025-12-29 15:36:00,300000584,INVOICE,49587.99,5704.81,OPEN
1200000075,INV20251230000075,2025-12-30 15:36:00,300000584,INVOICE,117958.37,13570.43,OPEN
1200000076,INV20260107000076,2026-01-07 15:36:00,300000584,INVOICE,32478.65,3736.48,OPEN
1200000077,INV20240812000077,2024-08-12 05:45:00,300000539,INVOICE,11378.92,1309.08,CLOSED
1200000078,INV20250304000078,2025-03-04 18:26:00,300000428,INVOICE,135901.44,15634.68,OPEN
1200000079,INV20250228000079,2025-02-28 18:26:00,300000428,INVOICE,73086.08,8408.13,CLOSED
1200000080,INV20250308000080,2025-03-08 18:26:00,300000428,INVOICE,17617.55,2026.80,OPEN
1200000081,INV20240525000081,2024-05-25 02:38:00,300000539,INVOICE,100716.67,11586.87,OPEN
1200000082,INV20240529000082,2024-05-29 02:38:00,300000539,INVOICE,46771.97,5380.85,OPEN
