customer_trx_line_id,customer_trx_id,line_number,line_type,inventory_item_id,quantity_invoiced,unit_selling_price,extended_amount,tax_amount
1300000001,1200000001,1,LINE,48262,19.50,7659.41,149358.49,19416.60
1300000002,1200000002,1,LINE,66003,19.55,5498.22,107490.20,13973.73
1300000003,1200000003,1,LINE,38656,1.41,4376.86,6171.37,802.28
1300000004,1200000004,1,LINE,69376,10.61,2162.29,22941.90,2982.45
1300000005,1200000005,1,LINE,82327,4.07,1168.11,4754.21,618.05
1300000006,1200000006,1,LINE,37362,3.54,6879.20,24352.37,3165.81
1300000007,1200000007,1,LINE,72174,7.77,7851.29,61004.52,7930.59
1300000008,1200000008,1,LINE,45959,2.37,1503.12,3562.39,463.11
1300000009,1200000009,1,LINE,62341,6.62,9300.33,61568.18,8003.86
1300000010,1200000010,1,LINE,71449,4.43,8932.69,39571.82,5144.34
1300000011,1200000011,1,LINE,99998,2.26,8796.05,19879.07,2584.28
1300000012,1200000012,1,LINE,15942,1.28,8004.47,10245.72,1331.94
1300000013,1200000013,1,LINE,53341,13.76,5837.89,80329.37,10442.82
1300000014,1200000014,1,LINE,72966,15.08,1048.79,15815.75,2056.05
1300000015,1200000015,1,LINE,22510,2.96,778.63,2304.74,299.62
1300000016,1200000016,1,LINE,46421,17.96,2137.49,38389.32,4990.61
1300000017,1200000017,1,LINE,32789,4.29,5290.32,22695.47,2950.41
1300000018,1200000018,1,LINE,30670,16.47,5670.93,93400.22,12142.03
1300000019,1200000019,1,LINE,49340,15.96,8736.14,139428.79,18125.74
1300000020,1200000020,1,LINE,86232,6.07,7221.35,43833.59,5698.37
1300000021,1200000021,1,LINE,51652,6.48,4247.60,27524.45,3578.18
1300000022,1200000022,1,LINE,42747,2.59,5262.80,13630.65,1771.98
1300000023,1200000023,1,LINE,49039,1.94,9304.49,18050.71,2346.59
1300000024,1200000024,1,LINE,48867,2.72,6460.20,17571.74,2284.33
1300000025,1200000025,1,LINE,28178,15.26,2088.03,31863.34,4142.23
1300000026,1200000026,1,LINE,15975,10.16,7620.02,77419.40,10064.52
1300000027,1200000027,1,LINE,88708,16.15,2726.49,44032.81,5724.27
1300000028,1200000028,1,LINE,47083,1.72,9940.36,17097.42,2222.66
1300000029,1200000029,1,LINE,96003,13.43,5944.12,79829.53,10377.84
1300000030,1200000030,1,LINE,82829,3.57,5739.54,20490.16,2663.72
1300000031,1200000031,1,LINE,73514,6.50,1126.74,7323.81,952.10
1300000032,1200000032,1,LINE,59881,13.03,1988.95,25916.02,3369.08
1300000033,1200000033,1,LINE,34147,18.42,1988.35,36625.41,4761.30
1300000034,1200000034,1,LINE,57398,14.76,4150.15,61256.21,7963.31
1300000035,1200000035,1,LINE,32085,12.89,4910.03,63290.29,8227.74
1300000036,1200000036,1,LINE,58893,1.02,962.80,982.06,127.67
1300000037,1200000037,1,LINE,68064,3.19,2538.12,8096.60,1052.56
1300000038,1200000038,1,LINE,82832,15.95,5154.33,82211.56,10687.50
1300000039,1200000039,1,LINE,91338,12.12,1242.55,15059.71,1957.76
1300000040,1200000040,1,LINE,53507,5.76,9001.64,51849.45,6740.43
1300000041,1200000041,1,LINE,12733,19.20,8425.52,161769.98,21030.10
1300000042,1200000042,1,LINE,93575,6.29,5801.53,36491.62,4743.91
1300000043,1200000043,1,LINE,70101,18.90,4043.37,76419.69,9934.56
1300000044,1200000044,1,LINE,83806,17.07,5891.09,100560.91,13072.92
1300000045,1200000045,1,LINE,37904,1.28,2619.93,3353.51,435.96
1300000046,1200000046,1,LINE,40228,8.53,9074.33,77404.03,10062.52
1300000047,1200000047,1,LINE,15909,10.50,2843.26,29854.23,3881.05
1300000048,1200000048,1,LINE,91132,13.76,570.96,7856.41,1021.33
1300000049,1200000049,1,LINE,12841,12.48,939.05,11719.34,1523.51
1300000050,1200000050,1,LINE,96354,19.41,6572.32,127568.73,16583.93
1300000051,1200000051,1,LINE,21343,18.03,4239.10,76430.97,9936.03
1300000052,1200000052,1,LINE,12827,18.32,883.02,16176.93,2103.00
1300000053,1200000053,1,LINE,19587,18.84,2322.02,43746.86,5687.09
1300000054,1200000054,1,LINE,73943,4.50,4416.52,19874.34,2583.66
1300000055,1200000055,1,LINE,61413,7.00,3449.33,24145.31,3138.89
1300000056,1200000056,1,LINE,48470,15.28,5557.13,84912.95,11038.68
1300000057,1200000057,1,LINE,40169,17.42,2983.94,51980.23,6757.43
1300000058,1200000058,1,LINE,35305,11.06,903.50,9992.71,1299.05
1300000059,1200000059,1,LINE,18392,14.89,1644.99,24493.90,3184.21
1300000060,1200000060,1,LINE,63345,5.84,6760.85,39483.36,5132.84
1300000061,1200000061,1,LINE,16542,12.81,7659.62,98119.73,12755.56
1300000062,1200000062,1,LINE,55217,2.47,8549.36,21116.92,2745.20
1300000063,1200000063,1,LINE,78671,14.13,7113.97,100520.40,13067.65
1300000064,1200000064,1,LINE,18930,11.96,7597.59,90867.18,11812.73
1300000065,1200000065,1,LINE,36110,16.71,3602.04,60190.09,7824.71
1300000066,1200000066,1,LINE,62452,5.55,2549.90,14151.94,1839.75
1300000067,1200000067,1,LINE,51504,4.40,6807.69,29953.84,3894.00
1300000068,1200000068,1,LINE,72274,13.14,7525.13,98880.21,12854.43
1300000069,1200000069,1,LINE,51817,18.48,9506.25,175675.50,22837.82
1300000070,1200000070,1,LINE,18058,14.17,4373.32,61969.94,8056.09
1300000071,1200000071,1,LINE,35357,12.90,1549.63,19990.23,2598.73
1300000072,1200000072,1,LINE,47291,19.70,6216.20,122459.14,15919.69
1300000073,1200000073,1,LINE,88364,3.56,3480.60,12390.94,1610.82
1300000074,1200000074,1,LINE,37219,11.74,3737.92,43883.18,5704.81
1300000075,1200000075,1,LINE,77953,14.16,7372.03,104387.94,13570.43
1300000076,1200000076,1,LINE,10342,8.46,3397.42,28742.17,3736.48
1300000077,1200000077,1,LINE,46527,1.07,9411.07,10069.84,1309.08
1300000078,1200000078,1,LINE,84983,19.72,6098.72,120266.76,15634.68
1300000079,1200000079,1,LINE,38873,9.72,6654.11,64677.95,8408.13
1300000080,1200000080,1,LINE,42048,17.40,896.02,15590.75,2026.80
1300000081,1200000081,1,LINE,30829,15.74,5662.63,89129.80,11586.87
1300000082,1200000082,1,LINE,94355,9.21,4494.15,41391.12,5380.85
1300000083,1200000083,1,LINE,78889,8.53,7070.08,60307.78,7840.01
1300000084,1200000084,1,LINE,45359,2.07,6549.73,13557.94,1762.53
1300000085,1200000085,1,LINE,45083,6.33,5928.87,37529.75,4878.87
1300000086,1200000086,1,LINE,66442,5.15,7892.88,40648.33,5284.28
1300000087,1200000087,1,LINE,92429,15.03,8352.83,125543.03,16320.59
1300000088,1200000088,1,LINE,56027,9.98,344.63,3439.41,447.12
1300000089,1200000089,1,LINE,70387,11.95,2820.24,33701.87,4381.24
1300000090,1200000090,1,LINE,22290,19.56,8002.04,156519.90,20347.59
1300000091,1200000091,1,LINE,31860,17.03,7796.06,132766.90,17259.70
1300000092,1200000092,1,LINE,50732,18.54,6017.36,111561.85,14503.04
1300000093,1200000093,1,LINE,29956,11.08,442.46,4902.46,637.32
1300000094,1200000094,1,LINE,99066,8.02,7359.76,59025.28,7673.29
1300000095,1200000095,1,LINE,71784,4.34,7251.28,31470.56,4091.17
1300000096,1200000096,1,LINE,17022,17.29,4627.27,80005.50,10400.72
1300000097,1200000097,1,LINE,35755,1.02,5952.72,6071.77,789.33
1300000098,1200000098,1,LINE,19898,11.19,7118.38,79654.67,10355.11
1300000099,1200000099,1,LINE,93515,11.73,7428.30,87133.96,11327.41
1300000100,1200000100,1,LINE,72768,3.80,8258.31,34698.52,4510.81
1300000101,1200000101,1,LINE,34141,8.23,213.79,1759.49,228.73
1300000102,1200000102,1,LINE,86631,14.00,1126.49,15770.86,2050.21
1300000103,1200000103,1,LINE,61246,15.47,2662.23,41184.70,5354.01
1300000104,1200000104,1,LINE,24476,10.39,2084.91,21662.21,2816.09
1300000105,1200000105,1,LINE,99861,12.37,2873.58,35546.18,4621.00
1300000106,1200000106,1,LINE,30562,12.00,802.00,9624.00,1251.12
1300000107,1200000107,1,LINE,86465,3.36,2006.54,6741.97,876.46
1300000108,1200000108,1,LINE,90323,13.39,7475.62,100098.55,13012.81
1300000109,1200000109,1,LINE,16207,13.32,8881.89,118306.77,15379.88
1300000110,1200000110,1,LINE,74717,15.51,6465.72,100283.32,13036.83
1300000111,1200000111,1,LINE,35489,4.58,6864.35,31438.72,4087.03
1300000112,1200000112,1,LINE,79059,18.50,7882.21,145820.89,18956.72
1300000113,1200000113,1,LINE,82726,11.86,2550.84,30252.96,3932.88
1300000114,1200000114,1,LINE,71642,4.86,3143.96,15279.65,1986.35
1300000115,1200000115,1,LINE,27836,9.94,8227.67,81783.04,10631.80
1300000116,1200000116,1,LINE,46636,15.45,5293.58,81785.81,10632.16
1300000117,1200000117,1,LINE,21909,16.90,3554.68,60074.09,7809.63
1300000118,1200000118,1,LINE,72951,4.44,5821.28,25846.48,3360.04
1300000119,1200000119,1,LINE,92696,16.07,7463.27,119934.75,15591.52
1300000120,1200000120,1,LINE,63754,1.04,4303.93,4476.09,581.89
1300000121,1200000121,1,LINE,45648,7.46,7677.72,57275.79,7445.85
1300000122,1200000122,1,LINE,90022,12.19,2474.82,30168.06,3921.85
1300000123,1200000123,1,LINE,71817,16.67,7143.01,119073.98,15479.62
1300000124,1200000124,1,LINE,60510,8.88,2887.54,25641.36,3333.38
1300000125,1200000125,1,LINE,60763,10.30,3210.97,33072.99,4299.49
1300000126,1200000126,1,LINE,99129,3.79,8513.11,32264.69,4194.41
1300000127,1200000127,1,LINE,80414,12.95,2390.25,30953.74,4023.99
1300000128,1200000128,1,LINE,72492,19.30,1878.77,36260.26,4713.83
1300000129,1200000129,1,LINE,71759,12.34,3393.64,41877.52,5444.08
1300000130,1200000130,1,LINE,46406,15.76,688.01,10843.04,1409.60
1300000131,1200000131,1,LINE,20531,13.65,8262.27,112779.99,14661.40
1300000132,1200000132,1,LINE,12273,14.87,5785.09,86024.29,11183.16
1300000133,1200000133,1,LINE,44229,11.48,7976.47,91569.88,11904.08
1300000134,1200000134,1,LINE,44400,17.43,8293.38,144553.61,18791.97
1300000135,1200000135,1,LINE,82139,19.07,8614.03,164269.55,21355.04
1300000136,1200000136,1,LINE,98790,7.53,6263.92,47167.32,6131.75
1300000137,1200000137,1,LINE,24496,18.42,8742.73,161041.09,20935.34
1300000138,1200000138,1,LINE,18227,5.74,3118.96,17902.83,2327.37
1300000139,1200000139,1,LINE,67796,1.74,648.82,1128.95,146.76
1300000140,1200000140,1,LINE,90466,13.76,1088.10,14972.26,1946.39
1300000141,1200000141,1,LINE,13994,7.76,6416.56,49792.51,6473.03
1300000142,1200000142,1,LINE,55829,3.45,7101.70,24500.87,3185.11
1300000143,1200000143,1,LINE,89559,17.10,8431.68,144181.73,18743.62
1300000144,1200000144,1,LINE,87539,5.52,2139.44,11809.71,1535.26
1300000145,1200000145,1,LINE,70240,14.65,2969.50,43503.18,5655.41
1300000146,1200000146,1,LINE,59807,17.43,6853.93,119464.00,15530.32
1300000147,1200000147,1,LINE,93773,10.77,4111.82,44284.30,5756.96
1300000148,1200000148,1,LINE,21401,7.27,5563.56,40447.08,5258.12
1300000149,1200000149,1,LINE,79387,15.79,4414.72,69708.43,9062.10
1300000150,1200000150,1,LINE,93069,1.93,6005.38,11590.38,1506.75
1300000151,1200000151,1,LINE,55340,15.21,3428.83,52152.50,6779.82
1300000152,1200000152,1,LINE,60630,10.45,2496.83,26091.87,3391.94
1300000153,1200000153,1,LINE,89169,8.12,739.44,6004.25,780.55
1300000154,1200000154,1,LINE,98206,4.91,1038.42,5098.64,662.82
1300000155,1200000155,1,LINE,53650,12.28,4719.55,57956.07,7534.29
1300000156,1200000156,1,LINE,41167,17.64,3727.45,65752.22,8547.79
1300000157,1200000157,1,LINE,12391,8.80,2336.55,20561.64,2673.01
1300000158,1200000158,1,LINE,74579,3.65,7117.40,25978.51,3377.21
1300000159,1200000159,1,LINE,30459,14.31,1714.12,24529.06,3188.78
1300000160,1200000160,1,LINE,21190,10.29,4599.10,47324.74,6152.22
1300000161,1200000161,1,LINE,45665,5.38,3519.52,18935.02,2461.55
1300000162,1200000162,1,LINE,13301,16.29,6987.94,113833.54,14798.36
1300000163,1200000163,1,LINE,44657,19.51,3143.50,61329.69,7972.86
1300000164,1200000164,1,LINE,24336,4.44,6344.10,28167.80,3661.81
1300000165,1200000165,1,LINE,69001,7.25,6354.04,46066.79,5988.68
1300000166,1200000166,1,LINE,80393,2.91,5255.19,15292.60,1988.04
