payment_schedule_id,customer_trx_id,due_date,amount_due_original,amount_due_remaining,amount_applied,overdue_days,aging_bucket,status
1500000001,1200000001,2025-01-30 04:32:00,168775.09,30355.11,138419.98,424,GT_90,OPEN
1500000002,1200000002,2025-01-30 04:32:00,121463.93,92646.52,28817.41,424,GT_90,OPEN
1500000003,1200000003,2025-02-03 04:32:00,6973.65,2579.57,4394.08,420,GT_90,OPEN
1500000004,1200000004,2025-02-07 04:32:00,25924.35,24094.62,1829.73,416,GT_90,OPEN
1500000005,1200000005,2024-08-23 20:33:00,5372.26,1770.86,3601.40,584,GT_90,OPEN
1500000006,1200000006,2025-10-15 15:49:00,27518.18,6221.89,21296.29,166,GT_90,OPEN
1500000007,1200000007,2025-09-30 15:49:00,68935.11,46776.70,22158.41,181,GT_90,OPEN
1500000008,1200000008,2025-10-12 15:49:00,4025.50,1484.47,2541.03,169,GT_90,OPEN
1500000009,1200000009,2024-11-30 14:00:00,69572.04,0.00,69572.04,485,GT_90,CLOSED
1500000010,1200000010,2024-12-06 14:00:00,44716.16,6554.98,38161.18,479,GT_90,OPEN
1500000011,1200000011,2024-11-20 14:00:00,22463.35,8808.22,13655.13,495,GT_90,OPEN
1500000012,1200000012,2025-03-26 08:26:00,11577.66,0.00,11577.66,369,GT_90,CLOSED
1500000013,1200000013,2025-03-16 08:26:00,90772.19,88877.42,1894.77,379,GT_90,OPEN
1500000014,1200000014,2024-05-04 23:17:00,17871.80,0.00,17871.80,695,GT_90,CLOSED
1500000015,1200000015,2024-05-11 23:17:00,2604.36,711.51,1892.85,688,GT_90,OPEN
1500000016,1200000016,2024-05-05 23:17:00,43379.93,17348.97,26030.96,694,GT_90,OPEN
1500000017,1200000017,2025-03-04 14:11:00,25645.88,0.00,25645.88,391,GT_90,CLOSED
1500000018,1200000018,2025-03-23 21:39:00,105542.25,76840.87,28701.38,372,GT_90,OPEN
1500000019,1200000019,2025-03-31 21:39:00,157554.53,76610.78,80943.75,364,GT_90,OPEN
1500000020,1200000020,2025-03-23 21:39:00,49531.96,38478.69,11053.27,372,GT_90,OPEN
1500000021,1200000021,2025-03-27 21:39:00,31102.63,17533.86,13568.77,368,GT_90,OPEN
1500000022,1200000022,2025-03-27 21:39:00,15402.63,5336.75,10065.88,368,GT_90,OPEN
1500000023,1200000023,2024-10-30 01:59:00,20397.30,9075.59,11321.71,516,GT_90,OPEN
1500000024,1200000024,2024-10-24 01:59:00,19856.07,2572.86,17283.21,522,GT_90,OPEN
1500000025,1200000025,2024-10-26 01:59:00,36005.57,4698.68,31306.89,520,GT_90,OPEN
1500000026,1200000026,2025-09-20 15:43:00,87483.92,14445.20,73038.72,191,GT_90,OPEN
1500000027,1200000027,2025-09-12 15:43:00,49757.08,0.00,49757.08,199,GT_90,CLOSED
1500000028,1200000028,2025-09-16 15:43:00,19320.08,18263.08,1057.00,195,GT_90,OPEN
1500000029,1200000029,2025-09-13 15:43:00,90207.37,18438.88,71768.49,198,GT_90,OPEN
1500000030,1200000030,2026-02-07 05:17:00,23153.88,10212.15,12941.73,51,31_60,OPEN
1500000031,1200000031,2026-01-25 05:17:00,8275.91,0.00,8275.91,64,61_90,CLOSED
1500000032,1200000032,2026-02-01 05:17:00,29285.10,0.00,29285.10,57,31_60,CLOSED
1500000033,1200000033,2024-11-20 03:16:00,41386.71,4328.40,37058.31,495,GT_90,OPEN
1500000034,1200000034,2024-11-17 03:16:00,69219.52,7135.66,62083.86,498,GT_90,OPEN
1500000035,1200000035,2025-03-20 06:22:00,71518.03,0.00,71518.03,375,GT_90,CLOSED
1500000036,1200000036,2025-11-09 07:48:00,1109.73,666.81,442.92,141,GT_90,OPEN
1500000037,1200000037,2025-10-29 07:48:00,9149.16,0.00,9149.16,152,GT_90,CLOSED
1500000038,1200000038,2025-07-17 16:41:00,92899.06,0.00,92899.06,256,GT_90,CLOSED
1500000039,1200000039,2024-11-16 03:15:00,17017.47,0.00,17017.47,499,GT_90,CLOSED
1500000040,1200000040,2024-11-22 03:15:00,58589.88,0.00,58589.88,493,GT_90,CLOSED
1500000041,1200000041,2024-11-09 03:15:00,182800.08,0.00,182800.08,506,GT_90,CLOSED
1500000042,1200000042,2024-11-17 03:15:00,41235.53,0.00,41235.53,498,GT_90,CLOSED
1500000043,1200000043,2025-03-28 01:52:00,86354.25,26227.84,60126.41,367,GT_90,OPEN
1500000044,1200000044,2025-04-10 01:52:00,113633.83,0.00,113633.83,354,GT_90,CLOSED
1500000045,1200000045,2025-04-01 01:52:00,3789.47,1603.95,2185.52,363,GT_90,OPEN
1500000046,1200000046,2025-04-27 11:22:00,87466.55,0.00,87466.55,337,GT_90,CLOSED
1500000047,1200000047,2025-04-24 11:22:00,33735.28,0.00,33735.28,340,GT_90,CLOSED
1500000048,1200000048,2025-04-29 11:22:00,8877.74,7134.65,1743.09,335,GT_90,OPEN
1500000049,1200000049,2025-04-22 11:22:00,13242.85,12587.10,655.75,342,GT_90,OPEN
1500000050,1200000050,2024-04-16 20:02:00,144152.66,85393.88,58758.78,713,GT_90,OPEN
1500000051,1200000051,2024-04-30 20:02:00,86367.00,18205.63,68161.37,699,GT_90,OPEN
1500000052,1200000052,2026-01-24 11:08:00,18279.93,10635.91,7644.02,65,61_90,OPEN
1500000053,1200000053,2026-01-19 11:08:00,49433.95,0.00,49433.95,70,61_90,CLOSED
1500000054,1200000054,2026-05-10 11:09:00,22458.00,0.00,22458.00,0,CURRENT,CLOSED
1500000055,1200000055,2026-05-08 11:09:00,27284.20,21536.08,5748.12,0,CURRENT,OPEN
1500000056,1200000056,2026-05-13 11:09:00,95951.63,28205.92,67745.71,0,CURRENT,OPEN
1500000057,1200000057,2025-05-17 08:14:00,58737.66,43937.96,14799.70,317,GT_90,OPEN
1500000058,1200000058,2025-05-25 08:14:00,11291.76,0.00,11291.76,309,GT_90,CLOSED
1500000059,1200000059,2025-06-04 08:14:00,27678.11,18664.01,9014.10,299,GT_90,OPEN
