header_id,order_number,sold_to_org_id,order_date,booked_date,order_amount,discount_amount,tax_amount,flow_status_code,salesrep_id
900000001,SO20241224000001,300000900,2024-12-24 04:32:00,2024-12-24 04:32:00,323137.02,13518.42,37175.06,CLOSED,800000112
900000002,SO20240714000002,300000955,2024-07-14 20:33:00,2024-07-14 20:33:00,5372.26,2324.70,618.05,CLOSED,800000057
900000003,SO20241225000003,300000499,2024-12-25 14:59:00,2024-12-26 14:59:00,139230.08,10751.46,16017.62,CANCELLED,800000076
900000004,SO20250727000004,300000938,2025-07-27 15:49:00,2025-07-27 15:49:00,133748.63,13018.13,15387.01,CLOSED,800000018
900000005,SO20240916000005,300000950,2024-09-16 14:00:00,2024-09-17 14:00:00,223138.61,9117.89,25670.82,CLOSED,800000096
900000006,SO20250111000006,300000235,2025-01-11 08:26:00,2025-01-14 08:26:00,102349.85,6985.13,11774.76,BOOKED,800000022
900000007,SO20240417000007,300000932,2024-04-17 23:17:00,2024-04-19 23:17:00,63856.09,200.42,7346.28,ENTERED,800000118
900000008,SO20250214000008,300000513,2025-02-14 14:11:00,2025-02-16 14:11:00,25645.88,2521.70,2950.41,CLOSED,800000079
900000009,SO20250209000009,300000365,2025-02-09 21:39:00,2025-02-10 21:39:00,373228.31,8160.63,42937.77,BOOKED,800000050
900000010,SO20240909000010,300000494,2024-09-09 01:59:00,2024-09-10 01:59:00,102848.29,2236.89,11832.10,CLOSED,800000050
900000011,SO20250805000011,300000232,2025-08-05 15:43:00,2025-08-06 15:43:00,246768.45,4074.67,28389.29,CLOSED,800000061
900000012,SO20251220000012,300000723,2025-12-20 05:17:00,2025-12-22 05:17:00,73368.40,17017.69,8440.62,CLOSED,800000119
900000013,SO20241107000013,300000672,2024-11-07 00:41:00,2024-11-07 00:41:00,82544.55,9961.16,9496.28,CLOSED,800000001
900000014,SO20240802000014,300000109,2024-08-02 03:16:00,2024-08-04 03:16:00,110606.23,9991.10,12724.61,ENTERED,800000056
900000015,SO20250205000015,300000422,2025-02-05 06:22:00,2025-02-05 06:22:00,85610.79,0.00,9849.03,CLOSED,800000087
900000016,SO20251022000016,300000335,2025-10-22 07:48:00,2025-10-24 07:48:00,10258.89,51.68,1180.23,BOOKED,800000078
900000017,SO20250427000017,300000730,2025-04-27 16:41:00,2025-04-27 16:41:00,92899.06,0.00,10687.50,CLOSED,800000079
900000018,SO20240904000018,300000510,2024-09-04 03:15:00,2024-09-04 03:15:00,357908.82,15125.05,41175.35,CLOSED,800000087
900000019,SO20241220000019,300000082,2024-12-20 01:52:00,2024-12-22 01:52:00,203777.55,291.61,23443.44,BOOKED,800000015
900000020,SO20250208000020,300000922,2025-02-08 11:22:00,2025-02-09 11:22:00,143322.42,9487.09,16488.41,CLOSED,800000061
900000021,SO20240413000021,300000630,2024-04-13 20:02:00,2024-04-13 20:02:00,230519.66,11093.01,26519.96,CLOSED,800000086
900000022,SO20251109000022,300000074,2025-11-09 11:08:00,2025-11-11 11:08:00,67713.88,4655.49,7790.09,CLOSED,800000083
900000023,SO20260227000023,300000684,2026-02-27 11:09:00,2026-03-01 11:09:00,145693.83,10333.10,16761.23,BOOKED,800000021
900000024,SO20251109000024,300000888,2025-11-09 21:52:00,2025-11-09 21:52:00,1303.25,0.00,149.93,CANCELLED,800000039
