line_id,header_id,line_number,inventory_item_id,ordered_quantity,unit_selling_price,list_price,discount_percent,line_amount,line_status_code
1000000001,900000001,1,48262,19.50,7659.41,8062.54,5.00,149358.49,INVOICED
1000000002,900000001,2,66003,19.55,5498.22,5787.60,5.00,107490.20,SHIPPED
1000000003,900000001,3,38656,1.41,4376.86,4376.86,0.00,6171.37,SHIPPED
1000000004,900000001,4,69376,10.61,2162.29,2162.29,0.00,22941.90,SHIPPED
1000000005,900000002,1,82327,4.07,1168.11,1739.29,32.84,4754.21,INVOICED
1000000006,900000003,1,65673,11.18,2898.14,2957.29,2.00,32401.21,AWAITING_SHIPPING
1000000007,900000003,2,34721,15.23,5214.48,5793.87,10.00,79416.53,INVOICED
1000000008,900000003,3,20218,9.60,1186.95,1318.83,10.00,11394.72,SHIPPED
1000000009,900000004,1,37362,3.54,6879.20,7019.59,2.00,24352.37,AWAITING_SHIPPING
1000000010,900000004,2,72174,11.52,7851.29,8921.92,12.00,90446.86,AWAITING_SHIPPING
1000000011,900000004,3,45959,2.37,1503.12,1582.23,5.00,3562.39,AWAITING_SHIPPING
1000000012,900000005,1,62341,14.84,9300.33,9789.82,5.00,138016.90,INVOICED
1000000013,900000005,2,71449,4.43,8932.69,9114.99,2.00,39571.82,SHIPPED
1000000014,900000005,3,99998,2.26,8796.05,9259.00,5.00,19879.07,SHIPPED
1000000015,900000006,1,15942,1.28,8004.47,8004.47,0.00,10245.72,AWAITING_SHIPPING
1000000016,900000006,2,53341,13.76,5837.89,6345.53,8.00,80329.37,AWAITING_SHIPPING
1000000017,900000007,1,72966,15.08,1048.79,1048.79,0.00,15815.75,SHIPPED
1000000018,900000007,2,22510,2.96,778.63,846.34,8.00,2304.74,AWAITING_SHIPPING
1000000019,900000007,3,46421,17.96,2137.49,2137.49,0.00,38389.32,AWAITING_SHIPPING
1000000020,900000008,1,32789,4.29,5290.32,5878.13,10.00,22695.47,SHIPPED
1000000021,900000009,1,30670,16.47,5670.93,5670.93,0.00,93400.22,SHIPPED
1000000022,900000009,2,49340,15.96,8736.14,8736.14,0.00,139428.79,SHIPPED
1000000023,900000009,3,86232,6.07,7221.35,7849.29,8.00,43833.59,SHIPPED
1000000024,900000009,4,51652,6.48,4247.60,4471.16,5.00,27524.45,INVOICED
1000000025,900000009,5,42747,4.96,5262.80,5847.55,10.00,26103.49,INVOICED
1000000026,900000010,1,49039,3.24,9304.49,9794.20,5.00,30146.55,INVOICED
1000000027,900000010,2,48867,4.49,6460.20,6460.20,0.00,29006.30,SHIPPED
1000000028,900000010,3,28178,15.26,2088.03,2130.64,2.00,31863.34,SHIPPED
1000000029,900000011,1,15975,10.16,7620.02,8021.07,5.00,77419.40,SHIPPED
1000000030,900000011,2,88708,16.15,2726.49,2726.49,0.00,44032.81,SHIPPED
1000000031,900000011,3,47083,1.72,9940.36,9940.36,0.00,17097.42,AWAITING_SHIPPING
1000000032,900000011,4,96003,13.43,5944.12,5944.12,0.00,79829.53,SHIPPED
1000000033,900000012,1,82829,3.57,5739.54,9071.50,36.73,20490.16,INVOICED
1000000034,900000012,2,73514,6.50,1126.74,1280.39,12.00,7323.81,AWAITING_SHIPPING
1000000035,900000012,3,59881,18.66,1988.95,2209.95,10.00,37113.81,SHIPPED
1000000036,900000013,1,78906,10.24,7133.62,8106.39,12.00,73048.27,INVOICED
1000000037,900000014,1,34147,18.42,1988.35,2161.25,8.00,36625.41,AWAITING_SHIPPING
1000000038,900000014,2,57398,14.76,4150.15,4611.28,10.00,61256.21,INVOICED
1000000039,900000015,1,32085,15.43,4910.03,4910.03,0.00,75761.76,SHIPPED
1000000040,900000016,1,58893,1.02,962.80,1013.47,5.00,982.06,AWAITING_SHIPPING
1000000041,900000016,2,68064,3.19,2538.12,2538.12,0.00,8096.60,SHIPPED
1000000042,900000017,1,82832,15.95,5154.33,5154.33,0.00,82211.56,SHIPPED
1000000043,900000018,1,91338,12.12,1242.55,1242.55,0.00,15059.71,INVOICED
1000000044,900000018,2,53507,5.76,9001.64,9185.35,2.00,51849.45,SHIPPED
1000000045,900000018,3,12733,19.20,8425.52,9158.17,8.00,161769.98,INVOICED
1000000046,900000018,4,93575,6.29,5801.53,5801.53,0.00,36491.62,INVOICED
1000000047,900000018,5,59448,14.10,3656.93,3656.93,0.00,51562.71,AWAITING_SHIPPING
1000000048,900000019,1,70101,18.90,4043.37,4043.37,0.00,76419.69,SHIPPED
1000000049,900000019,2,83806,17.07,5891.09,5891.09,0.00,100560.91,SHIPPED
1000000050,900000019,3,37904,1.28,2619.93,2847.75,8.00,3353.51,AWAITING_SHIPPING
1000000051,900000020,1,40228,8.53,9074.33,9863.40,8.00,77404.03,AWAITING_SHIPPING
1000000052,900000020,2,15909,10.50,2843.26,3090.50,8.00,29854.23,AWAITING_SHIPPING
1000000053,900000020,3,91132,13.76,570.96,582.61,2.00,7856.41,SHIPPED
1000000054,900000020,4,12841,12.48,939.05,939.05,0.00,11719.34,INVOICED
1000000055,900000021,1,96354,19.41,6572.32,7143.83,8.00,127568.73,AWAITING_SHIPPING
1000000056,900000021,2,21343,18.03,4239.10,4239.10,0.00,76430.97,INVOICED
1000000057,900000022,1,12827,18.32,883.02,929.50,5.00,16176.93,AWAITING_SHIPPING
1000000058,900000022,2,19587,18.84,2322.02,2523.93,8.00,43746.86,AWAITING_SHIPPING
1000000059,900000023,1,73943,4.50,4416.52,4506.65,2.00,19874.34,AWAITING_SHIPPING
1000000060,900000023,2,61413,7.00,3449.33,3519.72,2.00,24145.31,INVOICED
1000000061,900000023,3,48470,15.28,5557.13,6174.59,10.00,84912.95,INVOICED
1000000062,900000024,1,70485,8.05,143.27,143.27,0.00,1153.32,SHIPPED
1000000063,900000025,1,40169,17.42,2983.94,2983.94,0.00,51980.23,AWAITING_SHIPPING
1000000064,900000025,2,35305,11.06,903.50,1026.71,12.00,9992.71,AWAITING_SHIPPING
1000000065,900000025,3,18392,14.89,1644.99,1644.99,0.00,24493.90,SHIPPED
1000000066,900000025,4,63345,10.28,6760.85,7682.78,12.00,69501.54,AWAITING_SHIPPING
1000000067,900000026,1,16542,12.81,7659.62,7659.62,0.00,98119.73,SHIPPED
1000000068,900000026,2,55217,2.47,8549.36,8999.33,5.00,21116.92,SHIPPED
1000000069,900000026,3,78671,14.13,7113.97,7113.97,0.00,100520.40,AWAITING_SHIPPING
1000000070,900000026,4,18930,11.96,7597.59,7597.59,0.00,90867.18,INVOICED
1000000071,900000027,1,36110,16.71,3602.04,3915.26,8.00,60190.09,INVOICED
1000000072,900000028,1,62452,5.55,2549.90,2549.90,0.00,14151.94,SHIPPED
1000000073,900000029,1,51504,4.40,6807.69,7564.10,10.00,29953.84,SHIPPED
1000000074,900000030,1,72274,13.14,7525.13,7678.70,2.00,98880.21,SHIPPED
1000000075,900000030,2,51817,18.48,9506.25,9506.25,0.00,175675.50,AWAITING_SHIPPING
1000000076,900000030,3,18058,14.17,4373.32,4859.24,10.00,61969.94,INVOICED
1000000077,900000030,4,35357,18.24,1549.63,1549.63,0.00,28265.25,AWAITING_SHIPPING
1000000078,900000031,1,47291,19.70,6216.20,7063.86,12.00,122459.14,INVOICED
1000000079,900000032,1,88364,3.56,3480.60,3551.63,2.00,12390.94,SHIPPED
1000000080,900000033,1,37219,19.71,3737.92,3934.65,5.00,73674.40,AWAITING_SHIPPING
1000000081,900000033,2,77953,14.16,7372.03,8191.14,10.00,104387.94,AWAITING_SHIPPING
1000000082,900000033,3,10342,8.46,3397.42,3397.42,0.00,28742.17,SHIPPED
1000000083,900000034,1,46527,1.07,9411.07,9411.07,0.00,10069.84,SHIPPED
1000000084,900000035,1,84983,19.72,6098.72,6776.35,10.00,120266.76,SHIPPED
1000000085,900000035,2,38873,9.72,6654.11,7004.33,5.00,64677.95,SHIPPED
1000000086,900000035,3,42048,17.40,896.02,973.94,8.00,15590.75,INVOICED
1000000087,900000036,1,30829,15.74,5662.63,6434.81,12.00,89129.80,INVOICED
1000000088,900000036,2,94355,9.21,4494.15,4494.15,0.00,41391.12,SHIPPED
1000000089,900000036,3,93994,2.63,3691.24,4012.22,8.00,9707.96,INVOICED
1000000090,900000037,1,87362,7.26,5448.04,5559.22,2.00,39552.77,AWAITING_SHIPPING
1000000091,900000037,2,78889,8.53,7070.08,8034.18,12.00,60307.78,SHIPPED
1000000092,900000037,3,45359,2.07,6549.73,6549.73,0.00,13557.94,SHIPPED
1000000093,900000037,4,93814,14.38,1664.41,1891.38,12.00,23934.22,SHIPPED
