src,dst
800000115,900000002
800000010,900000012
800000078,900000085
800000112,900000230
800000082,900000281
800000114,900000286
800000046,900000333
800000083,900000333
800000098,900000342
800000085,900000373
800000053,900000422
800000017,900000429
800000058,900000444
800000010,900000444
800000115,900000462
800000106,900000531
800000027,900000534
800000034,900000545
800000065,900000582
800000077,900000618
800000119,900000637
800000096,900000707
800000108,900000748
800000029,900000799
800000064,900000911
800000068,900000933
800000050,900000945
800000025,900000960
800000031,900001043
800000035,900001217
800000069,900001271
800000028,900001302
800000097,900001359
800000011,900001360
800000105,900001427
800000032,900001445
800000026,900001445
800000054,900001559
800000055,900001603
800000058,900001685
800000068,900001915
800000084,900001988
800000103,900002049
800000062,900002053
800000005,900002054
800000078,900002124
800000109,900002238
800000106,900002266
800000047,900002369
800000051,900002411
800000072,900002475
800000080,900002489
800000084,900002515
800000066,900002615
800000057,900002704
800000115,900002704
800000049,900002761
800000001,900002820
800000046,900002865
800000120,900002909
800000056,900002932
