src,dst
1300000001,1100000001
1300000002,1100000002
1300000003,1100000003
1300000004,1100000004
1300000005,1100000005
1300000006,1100000006
1300000007,1100000007
1300000008,1100000008
1300000009,1100000009
1300000010,1100000010
1300000011,1100000011
1300000012,1100000012
1300000013,1100000013
1300000014,1100000014
1300000015,1100000015
1300000016,1100000016
1300000017,1100000017
1300000018,1100000018
1300000019,1100000019
1300000020,1100000020
1300000021,1100000021
1300000022,1100000022
1300000023,1100000023
1300000024,1100000024
1300000025,1100000025
1300000026,1100000026
1300000027,1100000027
1300000028,1100000028
1300000029,1100000029
1300000030,1100000030
1300000031,1100000031
1300000032,1100000032
1300000033,1100000034
1300000034,1100000035
1300000035,1100000036
1300000036,1100000037
1300000037,1100000038
1300000038,1100000039
1300000039,1100000040
1300000040,1100000041
1300000041,1100000042
1300000042,1100000043
1300000043,1100000045
1300000044,1100000046
1300000045,1100000047
1300000046,1100000048
1300000047,1100000049
1300000048,1100000050
1300000049,1100000051
1300000050,1100000052
1300000051,1100000053
1300000052,1100000054
1300000053,1100000055
1300000054,1100000056
1300000055,1100000057
1300000056,1100000058
1300000057,1100000059
1300000058,1100000060
1300000059,1100000061
1300000060,1100000062
1300000061,1100000063
1300000062,1100000064
1300000063,1100000065
1300000064,1100000066
1300000065,1100000067
1300000066,1100000068
1300000067,1100000069
1300000068,1100000070
1300000069,1100000071
1300000070,1100000072
1300000071,1100000073
1300000072,1100000074
1300000073,1100000075
1300000074,1100000076
1300000075,1100000077
1300000076,1100000078
1300000077,1100000079
1300000078,1100000080
1300000079,1100000081
1300000080,1100000082
1300000081,1100000083
1300000082,1100000084
1300000083,1100000087
1300000084,1100000088
1300000085,1100000090
1300000086,1100000092
1300000087,1100000093
1300000088,1100000094
1300000089,1100000095
1300000090,1100000096
1300000091,1100000097
1300000092,1100000098
1300000093,1100000099
1300000094,1100000100
1300000095,1100000101
1300000096,1100000102
1300000097,1100000103
1300000098,1100000105
1300000099,1100000106
1300000100,1100000107
1300000101,1100000108
1300000102,1100000109
1300000103,1100000110
1300000104,1100000111
1300000105,1100000112
1300000106,1100000113
1300000107,1100000114
1300000108,1100000115
1300000109,1100000116
1300000110,1100000117
1300000111,1100000118
1300000112,1100000119
1300000113,1100000120
1300000114,1100000121
1300000115,1100000122
1300000116,1100000124
1300000117,1100000125
1300000118,1100000126
1300000119,1100000127
1300000120,1100000128
1300000121,1100000129
1300000122,1100000130
1300000123,1100000132
1300000124,1100000133
1300000125,1100000134
1300000126,1100000135
1300000127,1100000136
1300000128,1100000137
1300000129,1100000138
1300000130,1100000139
1300000131,1100000140
1300000132,1100000142
1300000133,1100000143
1300000134,1100000144
1300000135,1100000145
1300000136,1100000146
1300000137,1100000147
1300000138,1100000148
1300000139,1100000149
1300000140,1100000150
1300000141,1100000152
1300000142,1100000153
1300000143,1100000154
1300000144,1100000156
1300000145,1100000157
1300000146,1100000158
1300000147,1100000159
1300000148,1100000160
1300000149,1100000161
1300000150,1100000163
1300000151,1100000165
1300000152,1100000166
1300000153,1100000167
1300000154,1100000168
1300000155,1100000170
1300000156,1100000171
1300000157,1100000172
1300000158,1100000173
1300000159,1100000174
1300000160,1100000175
1300000161,1100000176
1300000162,1100000177
1300000163,1100000178
1300000164,1100000179
1300000165,1100000180
1300000166,1100000182
1300000167,1100000183
1300000168,1100000184
1300000169,1100000185
1300000170,1100000186
1300000171,1100000187
1300000172,1100000188
1300000173,1100000189
1300000174,1100000191
1300000175,1100000192
1300000176,1100000193
1300000177,1100000194
1300000178,1100000195
1300000179,1100000196
1300000180,1100000197
1300000181,1100000198
1300000182,1100000199
1300000183,1100000200
1300000184,1100000201
1300000185,1100000202
1300000186,1100000203
1300000187,1100000204
1300000188,1100000205
1300000189,1100000206
1300000190,1100000207
1300000191,1100000208
1300000192,1100000209
1300000193,1100000210
1300000194,1100000211
1300000195,1100000213
1300000196,1100000215
1300000197,1100000216
1300000198,1100000217
1300000199,1100000219
1300000200,1100000220
1300000201,1100000221
1300000202,1100000222
1300000203,1100000223
1300000204,1100000224
1300000205,1100000225
1300000206,1100000226
1300000207,1100000228
1300000208,1100000229
1300000209,1100000231
1300000210,1100000234
1300000211,1100000235
1300000212,1100000236
1300000213,1100000237
1300000214,1100000238
1300000215,1100000239
1300000216,1100000240
1300000217,1100000241
1300000218,1100000242
1300000219,1100000243
1300000220,1100000244
1300000221,1100000247
1300000222,1100000248
1300000223,1100000249
1300000224,1100000250
1300000225,1100000251
1300000226,1100000252
1300000227,1100000253
1300000228,1100000254
1300000229,1100000255
1300000230,1100000256
1300000231,1100000257
1300000232,1100000258
1300000233,1100000259
1300000234,1100000260
1300000235,1100000261
1300000236,1100000262
1300000237,1100000263
1300000238,1100000264
1300000239,1100000265
1300000240,1100000266
1300000241,1100000267
1300000242,1100000268
1300000243,1100000269
1300000244,1100000270
1300000245,1100000271
1300000246,1100000272
1300000247,1100000273
1300000248,1100000274
1300000249,1100000275
1300000250,1100000276
1300000251,1100000277
1300000252,1100000278
1300000253,1100000279
1300000254,1100000280
1300000255,1100000281
1300000256,1100000282
1300000257,1100000284
1300000258,1100000285
1300000259,1100000286
1300000260,1100000287
1300000261,1100000288
1300000262,1100000289
1300000263,1100000290
1300000264,1100000291
1300000265,1100000292
1300000266,1100000293
1300000267,1100000294
1300000268,1100000296
1300000269,1100000297
1300000270,1100000298
1300000271,1100000299
1300000272,1100000300
1300000273,1100000302
1300000274,1100000303
1300000275,1100000304
1300000276,1100000305
1300000277,1100000306
1300000278,1100000307
1300000279,1100000308
1300000280,1100000309
1300000281,1100000310
1300000282,1100000311
1300000283,1100000312
1300000284,1100000314
1300000285,1100000315
1300000286,1100000316
1300000287,1100000317
1300000288,1100000318
1300000289,1100000319
1300000290,1100000320
1300000291,1100000321
1300000292,1100000322
1300000293,1100000323
1300000294,1100000324
1300000295,1100000325
1300000296,1100000326
1300000297,1100000328
1300000298,1100000329
1300000299,1100000331
1300000300,1100000332
1300000301,1100000333
1300000302,1100000334
1300000303,1100000335
1300000304,1100000336
1300000305,1100000337
