src,dst
1300000001,1000000001
1300000002,1000000002
1300000003,1000000003
1300000004,1000000004
1300000005,1000000005
1300000006,1000000009
1300000007,1000000010
1300000008,1000000011
1300000009,1000000012
1300000010,1000000013
1300000011,1000000014
1300000012,1000000015
1300000013,1000000016
1300000014,1000000017
1300000015,1000000018
1300000016,1000000019
1300000017,1000000020
1300000018,1000000021
1300000019,1000000022
1300000020,1000000023
1300000021,1000000024
1300000022,1000000025
1300000023,1000000026
1300000024,1000000027
1300000025,1000000028
1300000026,1000000029
1300000027,1000000030
1300000028,1000000031
1300000029,1000000032
1300000030,1000000033
1300000031,1000000034
1300000032,1000000035
1300000033,1000000037
1300000034,1000000038
1300000035,1000000039
1300000036,1000000040
1300000037,1000000041
1300000038,1000000042
1300000039,1000000043
1300000040,1000000044
1300000041,1000000045
1300000042,1000000046
1300000043,1000000048
1300000044,1000000049
1300000045,1000000050
1300000046,1000000051
1300000047,1000000052
1300000048,1000000053
1300000049,1000000054
1300000050,1000000055
1300000051,1000000056
1300000052,1000000057
1300000053,1000000058
1300000054,1000000059
1300000055,1000000060
1300000056,1000000061
1300000057,1000000063
1300000058,1000000064
1300000059,1000000065
1300000060,1000000066
1300000061,1000000067
1300000062,1000000068
1300000063,1000000069
1300000064,1000000070
1300000065,1000000071
1300000066,1000000072
1300000067,1000000073
1300000068,1000000074
1300000069,1000000075
1300000070,1000000076
1300000071,1000000077
1300000072,1000000078
1300000073,1000000079
1300000074,1000000080
1300000075,1000000081
1300000076,1000000082
1300000077,1000000083
1300000078,1000000084
1300000079,1000000085
1300000080,1000000086
1300000081,1000000087
1300000082,1000000088
1300000083,1000000091
1300000084,1000000092
1300000085,1000000097
1300000086,1000000099
1300000087,1000000100
1300000088,1000000101
1300000089,1000000102
1300000090,1000000103
1300000091,1000000104
1300000092,1000000105
1300000093,1000000106
1300000094,1000000107
1300000095,1000000108
1300000096,1000000109
1300000097,1000000110
1300000098,1000000112
1300000099,1000000113
1300000100,1000000114
1300000101,1000000115
1300000102,1000000116
1300000103,1000000117
1300000104,1000000118
1300000105,1000000120
1300000106,1000000121
1300000107,1000000122
1300000108,1000000123
1300000109,1000000124
1300000110,1000000125
1300000111,1000000126
1300000112,1000000127
1300000113,1000000128
1300000114,1000000129
1300000115,1000000130
1300000116,1000000132
1300000117,1000000133
1300000118,1000000134
1300000119,1000000135
1300000120,1000000136
1300000121,1000000137
1300000122,1000000138
1300000123,1000000142
1300000124,1000000143
1300000125,1000000144
1300000126,1000000145
