src,dst
300000001,700000001
300000002,700000002
300000003,700000003
300000004,700000004
300000005,700000005
300000006,700000006
300000007,700000007
300000008,700000008
300000009,700000009
300000010,700000010
300000011,700000011
300000012,700000012
300000013,700000013
300000014,700000014
300000015,700000015
300000016,700000016
300000017,700000017
300000018,700000018
300000019,700000019
300000020,700000020
300000021,700000021
300000022,700000022
300000023,700000023
300000024,700000024
300000025,700000025
300000026,700000026
300000027,700000027
300000028,700000028
300000029,700000029
300000030,700000030
300000031,700000031
300000032,700000032
300000033,700000033
300000034,700000034
300000035,700000035
300000036,700000036
300000037,700000037
300000038,700000038
300000039,700000039
300000040,700000040
300000041,700000041
300000042,700000042
300000043,700000043
300000044,700000044
300000045,700000045
300000046,700000046
300000047,700000047
300000048,700000048
300000049,700000049
300000050,700000050
300000051,700000051
300000052,700000052
300000053,700000053
300000054,700000054
300000055,700000055
300000056,700000056
300000057,700000057
300000058,700000058
300000059,700000059
300000060,700000060
300000061,700000061
300000062,700000062
300000063,700000063
300000064,700000064
300000065,700000065
300000066,700000066
300000067,700000067
300000068,700000068
300000069,700000069
300000070,700000070
300000071,700000071
300000072,700000072
300000073,700000073
300000074,700000074
300000075,700000075
300000076,700000076
300000077,700000077
300000078,700000078
300000079,700000079
300000080,700000080
300000081,700000081
300000082,700000082
300000083,700000083
300000084,700000084
300000085,700000085
300000086,700000086
300000087,700000087
300000088,700000088
300000089,700000089
300000090,700000090
300000091,700000091
300000092,700000092
300000093,700000093
300000094,700000094
300000095,700000095
300000096,700000096
300000097,700000097
300000098,700000098
300000099,700000099
300000100,700000100
300000101,700000101
300000102,700000102
300000103,700000103
300000104,700000104
300000105,700000105
300000106,700000106
300000107,700000107
300000108,700000108
300000109,700000109
300000110,700000110
300000111,700000111
300000112,700000112
300000113,700000113
300000114,700000114
300000115,700000115
300000116,700000116
300000117,700000117
300000118,700000118
300000119,700000119
300000120,700000120
300000121,700000121
300000122,700000122
300000123,700000123
300000124,700000124
300000125,700000125
300000126,700000126
300000127,700000127
300000128,700000128
300000129,700000129
300000130,700000130
300000131,700000131
300000132,700000132
300000133,700000133
300000134,700000134
300000135,700000135
300000136,700000136
300000137,700000137
300000138,700000138
300000139,700000139
300000140,700000140
300000141,700000141
300000142,700000142
300000143,700000143
300000144,700000144
300000145,700000145
300000146,700000146
300000147,700000147
300000148,700000148
300000149,700000149
300000150,700000150
300000151,700000151
300000152,700000152
300000153,700000153
300000154,700000154
300000155,700000155
300000156,700000156
300000157,700000157
300000158,700000158
300000159,700000159
300000160,700000160
300000161,700000161
300000162,700000162
300000163,700000163
300000164,700000164
300000165,700000165
300000166,700000166
300000167,700000167
300000168,700000168
300000169,700000169
300000170,700000170
300000171,700000171
300000172,700000172
300000173,700000173
300000174,700000174
300000175,700000175
300000176,700000176
300000177,700000177
300000178,700000178
300000179,700000179
300000180,700000180
300000181,700000181
300000182,700000182
300000183,700000183
300000184,700000184
300000185,700000185
300000186,700000186
300000187,700000187
300000188,700000188
300000189,700000189
300000190,700000190
300000191,700000191
300000192,700000192
300000193,700000193
300000194,700000194
300000195,700000195
300000196,700000196
300000197,700000197
300000198,700000198
300000199,700000199
300000200,700000200
300000201,700000201
300000202,700000202
300000203,700000203
300000204,700000204
300000205,700000205
300000206,700000206
300000207,700000207
300000208,700000208
300000209,700000209
300000210,700000210
300000211,700000211
300000212,700000212
300000213,700000213
300000214,700000214
300000215,700000215
300000216,700000216
300000217,700000217
300000218,700000218
300000219,700000219
300000220,700000220
300000221,700000221
300000222,700000222
300000223,700000223
300000224,700000224
300000225,700000225
300000226,700000226
300000227,700000227
300000228,700000228
300000229,700000229
300000230,700000230
300000231,700000231
300000232,700000232
300000233,700000233
300000234,700000234
300000235,700000235
300000236,700000236
300000237,700000237
300000238,700000238
300000239,700000239
300000240,700000240
300000241,700000241
300000242,700000242
300000243,700000243
300000244,700000244
300000245,700000245
300000246,700000246
300000247,700000247
300000248,700000248
300000249,700000249
300000250,700000250
300000251,700000251
300000252,700000252
300000253,700000253
300000254,700000254
300000255,700000255
300000256,700000256
300000257,700000257
300000258,700000258
300000259,700000259
300000260,700000260
300000261,700000261
300000262,700000262
300000263,700000263
300000264,700000264
300000265,700000265
300000266,700000266
300000267,700000267
300000268,700000268
300000269,700000269
300000270,700000270
300000271,700000271
300000272,700000272
300000273,700000273
300000274,700000274
300000275,700000275
300000276,700000276
300000277,700000277
300000278,700000278
300000279,700000279
300000280,700000280
300000281,700000281
300000282,700000282
300000283,700000283
300000284,700000284
300000285,700000285
300000286,700000286
300000287,700000287
300000288,700000288
300000289,700000289
300000290,700000290
