src,dst
1200000001,1300000001
1200000002,1300000002
1200000003,1300000003
1200000004,1300000004
1200000005,1300000005
1200000006,1300000006
1200000007,1300000007
1200000008,1300000008
1200000009,1300000009
1200000010,1300000010
1200000011,1300000011
1200000012,1300000012
1200000013,1300000013
1200000014,1300000014
1200000015,1300000015
1200000016,1300000016
1200000017,1300000017
1200000018,1300000018
1200000019,1300000019
1200000020,1300000020
1200000021,1300000021
1200000022,1300000022
1200000023,1300000023
1200000024,1300000024
1200000025,1300000025
1200000026,1300000026
1200000027,1300000027
1200000028,1300000028
1200000029,1300000029
1200000030,1300000030
1200000031,1300000031
1200000032,1300000032
1200000033,1300000033
1200000034,1300000034
1200000035,1300000035
1200000036,1300000036
1200000037,1300000037
1200000038,1300000038
1200000039,1300000039
1200000040,1300000040
1200000041,1300000041
1200000042,1300000042
1200000043,1300000043
1200000044,1300000044
1200000045,1300000045
1200000046,1300000046
1200000047,1300000047
1200000048,1300000048
1200000049,1300000049
1200000050,1300000050
1200000051,1300000051
1200000052,1300000052
1200000053,1300000053
1200000054,1300000054
1200000055,1300000055
1200000056,1300000056
1200000057,1300000057
1200000058,1300000058
1200000059,1300000059
1200000060,1300000060
1200000061,1300000061
1200000062,1300000062
1200000063,1300000063
1200000064,1300000064
1200000065,1300000065
1200000066,1300000066
1200000067,1300000067
1200000068,1300000068
1200000069,1300000069
1200000070,1300000070
1200000071,1300000071
1200000072,1300000072
1200000073,1300000073
1200000074,1300000074
1200000075,1300000075
1200000076,1300000076
1200000077,1300000077
1200000078,1300000078
1200000079,1300000079
1200000080,1300000080
1200000081,1300000081
1200000082,1300000082
1200000083,1300000083
1200000084,1300000084
1200000085,1300000085
1200000086,1300000086
1200000087,1300000087
1200000088,1300000088
1200000089,1300000089
1200000090,1300000090
1200000091,1300000091
1200000092,1300000092
1200000093,1300000093
1200000094,1300000094
1200000095,1300000095
1200000096,1300000096
1200000097,1300000097
1200000098,1300000098
1200000099,1300000099
1200000100,1300000100
1200000101,1300000101
1200000102,1300000102
1200000103,1300000103
1200000104,1300000104
1200000105,1300000105
1200000106,1300000106
1200000107,1300000107
1200000108,1300000108
1200000109,1300000109
1200000110,1300000110
1200000111,1300000111
1200000112,1300000112
1200000113,1300000113
1200000114,1300000114
1200000115,1300000115
1200000116,1300000116
1200000117,1300000117
1200000118,1300000118
1200000119,1300000119
1200000120,1300000120
1200000121,1300000121
1200000122,1300000122
1200000123,1300000123
1200000124,1300000124
1200000125,1300000125
1200000126,1300000126
1200000127,1300000127
1200000128,1300000128
1200000129,1300000129
1200000130,1300000130
1200000131,1300000131
1200000132,1300000132
1200000133,1300000133
1200000134,1300000134
1200000135,1300000135
1200000136,1300000136
1200000137,1300000137
1200000138,1300000138
1200000139,1300000139
1200000140,1300000140
1200000141,1300000141
1200000142,1300000142
1200000143,1300000143
1200000144,1300000144
1200000145,1300000145
1200000146,1300000146
1200000147,1300000147
1200000148,1300000148
1200000149,1300000149
1200000150,1300000150
1200000151,1300000151
1200000152,1300000152
1200000153,1300000153
1200000154,1300000154
1200000155,1300000155
1200000156,1300000156
1200000157,1300000157
1200000158,1300000158
1200000159,1300000159
1200000160,1300000160
1200000161,1300000161
1200000162,1300000162
1200000163,1300000163
1200000164,1300000164
1200000165,1300000165
1200000166,1300000166
1200000167,1300000167
1200000168,1300000168
1200000169,1300000169
1200000170,1300000170
1200000171,1300000171
