src,dst
300000001,200000001
300000002,200000002
300000003,200000003
300000004,200000004
300000005,200000005
300000006,200000006
300000007,200000007
300000008,200000008
300000009,200000009
300000010,200000010
300000011,200000011
300000012,200000012
300000013,200000013
300000014,200000014
300000015,200000015
300000016,200000016
300000017,200000017
300000018,200000018
300000019,200000019
300000020,200000020
300000021,200000021
300000022,200000022
300000023,200000023
300000024,200000024
300000025,200000025
300000026,200000026
300000027,200000027
300000028,200000028
300000029,200000029
300000030,200000030
300000031,200000031
300000032,200000032
300000033,200000033
300000034,200000034
300000035,200000035
300000036,200000036
300000037,200000037
300000038,200000038
300000039,200000039
300000040,200000040
300000041,200000041
300000042,200000042
300000043,200000043
300000044,200000044
300000045,200000045
300000046,200000046
300000047,200000047
300000048,200000048
300000049,200000049
300000050,200000050
300000051,200000051
300000052,200000052
300000053,200000053
300000054,200000054
300000055,200000055
300000056,200000056
300000057,200000057
300000058,200000058
300000059,200000059
300000060,200000060
300000061,200000061
300000062,200000062
300000063,200000063
300000064,200000064
300000065,200000065
300000066,200000066
300000067,200000067
300000068,200000068
300000069,200000069
300000070,200000070
300000071,200000071
300000072,200000072
300000073,200000073
300000074,200000074
300000075,200000075
300000076,200000076
300000077,200000077
300000078,200000078
300000079,200000079
300000080,200000080
300000081,200000081
300000082,200000082
300000083,200000083
300000084,200000084
300000085,200000085
300000086,200000086
300000087,200000087
300000088,200000088
300000089,200000089
300000090,200000090
300000091,200000091
300000092,200000092
300000093,200000093
300000094,200000094
300000095,200000095
300000096,200000096
300000097,200000097
300000098,200000098
300000099,200000099
300000100,200000100
300000101,200000101
300000102,200000102
300000103,200000103
300000104,200000104
300000105,200000105
300000106,200000106
300000107,200000107
300000108,200000108
300000109,200000109
300000110,200000110
300000111,200000111
300000112,200000112
300000113,200000113
300000114,200000114
300000115,200000115
300000116,200000116
300000117,200000117
300000118,200000118
300000119,200000119
300000120,200000120
300000121,200000121
300000122,200000122
300000123,200000123
300000124,200000124
300000125,200000125
300000126,200000126
300000127,200000127
300000128,200000128
300000129,200000129
300000130,200000130
300000131,200000131
300000132,200000132
300000133,200000133
300000134,200000134
300000135,200000135
300000136,200000136
300000137,200000137
300000138,200000138
300000139,200000139
300000140,200000140
300000141,200000141
300000142,200000142
