src,dst
300000001,1600003733
300000001,1600004646
300000001,1600004745
300000002,1600002128
300000002,1600003219
300000003,1600001881
300000003,1600001882
300000004,1600000782
300000004,1600003597
300000004,1600003598
300000004,1600003599
300000004,1600004470
300000004,1600004505
300000004,1600004506
300000004,1600004635
300000004,1600004636
300000004,1600004637
300000004,1600004638
300000005,1600000552
300000005,1600002824
300000005,1600002825
300000005,1600002826
300000005,1600002827
300000005,1600004311
300000005,1600004367
300000005,1600004368
300000005,1600004369
300000005,1600004370
300000006,1600000982
300000006,1600000983
300000006,1600001022
300000006,1600001226
300000006,1600004342
300000006,1600004343
300000007,1600004363
300000007,1600004364
300000007,1600004365
300000008,1600000068
300000008,1600000069
300000008,1600000070
300000008,1600000071
300000008,1600003006
300000008,1600003418
300000008,1600003946
300000008,1600003947
300000008,1600003948
300000008,1600003949
300000008,1600004770
300000008,1600004771
300000008,1600004772
300000009,1600004766
300000010,1600001976
300000010,1600002075
300000010,1600002242
300000010,1600002904
300000010,1600002905
300000010,1600002906
300000010,1600002907
300000010,1600003964
300000010,1600003965
300000011,1600003595
300000011,1600003596
300000011,1600003945
300000011,1600004696
300000012,1600003894
300000012,1600003895
300000013,1600002201
300000013,1600002202
300000013,1600003444
300000013,1600003445
300000014,1600000776
300000014,1600000777
300000014,1600002258
300000014,1600002259
300000014,1600002303
300000014,1600002304
300000014,1600003167
300000014,1600003168
300000014,1600003612
300000014,1600003613
300000015,1600000308
300000015,1600000328
300000015,1600000329
300000015,1600000330
300000015,1600000806
300000015,1600000807
300000016,1600003365
300000016,1600003366
300000016,1600003367
300000016,1600003368
300000016,1600003649
300000016,1600003650
300000016,1600003812
300000017,1600002510
300000017,1600002511
300000017,1600002512
300000018,1600001432
300000018,1600002616
300000018,1600002617
300000018,1600002618
300000019,1600001157
300000019,1600001158
300000019,1600001159
300000019,1600004220
300000020,1600001007
300000020,1600001008
300000020,1600002040
300000020,1600002041
300000020,1600003309
300000020,1600003310
300000020,1600004373
300000021,1600001973
300000021,1600001974
300000021,1600001975
300000021,1600003507
300000022,1600003745
300000022,1600003746
300000022,1600003747
300000023,1600001301
300000023,1600001302
300000023,1600001303
300000023,1600001304
300000023,1600002861
300000023,1600002917
300000023,1600004064
300000023,1600004065
300000023,1600004066
300000023,1600004067
300000024,1600000809
300000024,1600001742
300000024,1600001766
300000024,1600001767
300000024,1600003301
300000024,1600003302
300000026,1600004036
300000026,1600004037
300000026,1600004394
300000026,1600004395
300000026,1600004396
300000027,1600001758
300000027,1600001759
300000027,1600003768
300000028,1600002583
300000028,1600002584
300000028,1600004089
300000028,1600004902
300000029,1600000937
300000029,1600001420
300000029,1600003190
300000029,1600003191
300000029,1600004432
300000029,1600004433
300000029,1600004434
300000029,1600004435
300000030,1600002653
300000030,1600002654
