src,dst
300000001,900001354
300000001,900001609
300000001,900002283
300000001,900002821
300000001,900002879
300000002,900001270
300000002,900001970
300000003,900000296
300000003,900001117
300000004,900000460
300000004,900002202
300000004,900002721
300000004,900002739
300000004,900002815
300000005,900000329
300000005,900001721
300000005,900002425
300000005,900002635
300000005,900002667
300000006,900000582
300000006,900000604
300000006,900000719
300000006,900002652
300000007,900000545
300000007,900002665
300000008,900000030
300000008,900001837
300000008,900002078
300000008,900002402
300000008,900002894
300000009,900001918
300000009,900002891
300000010,900000790
300000010,900000965
300000010,900001171
300000010,900001240
300000010,900001350
300000010,900001780
300000010,900002410
300000011,900002201
300000011,900002401
300000011,900002850
300000012,900002374
300000013,900001054
300000013,900001328
300000013,900002096
300000014,900000456
300000014,900001361
300000014,900001391
300000014,900001935
300000014,900002211
300000015,900000189
300000015,900000206
300000015,900000478
300000016,900000129
300000016,900002046
300000016,900002232
300000016,900002329
300000017,900001520
300000018,900000840
300000018,900001586
300000018,900002390
300000019,900000680
300000019,900002581
300000020,900000597
300000020,900001218
300000020,900002014
300000020,900002669
300000021,900001170
300000021,900002143
300000022,900002288
300000023,900000765
300000023,900001742
300000023,900001786
300000023,900002484
300000024,900000480
300000024,900001040
300000024,900001055
300000024,900002009
300000024,900002102
300000025,900000145
300000025,900002419
300000026,900002467
300000026,900002683
300000027,900001049
300000027,900002302
300000028,900000123
300000028,900001568
300000028,900002496
300000028,900002969
300000029,900000559
300000029,900000831
300000029,900001953
300000029,900002700
300000030,900000786
300000030,900001612
300000030,900002446
300000030,900002498
300000030,900002831
300000031,900000536
300000031,900000864
300000031,900002115
300000031,900002750
300000032,900000410
300000032,900001631
300000032,900001743
300000033,900001108
300000033,900001149
300000033,900002023
300000033,900002060
300000033,900002823
300000034,900000176
300000034,900001296
300000034,900002563
300000035,900002980
300000036,900000813
300000036,900000977
300000036,900001292
300000036,900002198
300000036,900002205
300000036,900002623
300000037,900000090
300000038,900000371
300000038,900000447
300000038,900001281
300000038,900001491
300000038,900002557
300000039,900002530
300000040,900001079
300000040,900002197
300000040,900002404
300000041,900001028
300000041,900001688
300000041,900002364
300000042,900000457
300000043,900001585
300000043,900002091
300000044,900000368
300000045,900002006
300000045,900002794
300000046,900000691
300000046,900000895
300000046,900001345
300000046,900002555
300000047,900001320
300000047,900002734
300000047,900002754
300000048,900000847
300000048,900001359
300000049,900001089
300000049,900001387
300000049,900001422
300000050,900000959
300000051,900000882
300000052,900000389
300000052,900002522
300000052,900002603
300000053,900001039
300000053,900001201
300000053,900001263
300000053,900001771
300000054,900000743
300000054,900001195
300000054,900001490
300000054,900001802
300000054,900002399
300000055,900000177
300000055,900001398
300000055,900002334
300000056,900000438
300000056,900001351
300000056,900002458
300000056,900002596
300000057,900001302
300000057,900002640
300000058,900001303
300000058,900001636
300000058,900001773
300000058,900002965
300000059,900001064
300000059,900001309
300000059,900001857
300000059,900002324
300000060,900000309
300000060,900001895
300000060,900002059
300000060,900002200
300000060,900002731
300000061,900000108
300000061,900000258
300000061,900001548
