id,name,status,region_code
300001,杭州示例客户001有限公司,ACTIVE,深圳
300002,苏州示例客户002有限公司,ACTIVE,苏州
300003,广州示例客户003有限公司,ACTIVE,深圳
300004,苏州示例客户004有限公司,ACTIVE,广州
300005,苏州示例客户005有限公司,ACTIVE,上海
300006,广州示例客户006有限公司,ACTIVE,上海
300007,北京示例客户007有限公司,ACTIVE,成都
300008,苏州示例客户008有限公司,ACTIVE,上海
300009,上海示例客户009有限公司,ACTIVE,广州
300010,广州示例客户010有限公司,ACTIVE,成都
300011,北京示例客户011有限公司,ACTIVE,成都
300012,广州示例客户012有限公司,ACTIVE,杭州
300013,苏州示例客户013有限公司,ACTIVE,成都
300014,杭州示例客户014有限公司,ACTIVE,苏州
300015,深圳示例客户015有限公司,ACTIVE,成都
300016,杭州示例客户016有限公司,ACTIVE,上海
300017,上海示例客户017有限公司,ACTIVE,杭州
300018,成都示例客户018有限公司,ACTIVE,上海
300019,北京示例客户019有限公司,ACTIVE,北京
300020,深圳示例客户020有限公司,ACTIVE,深圳
300021,苏州示例客户021有限公司,ACTIVE,广州
300022,苏州示例客户022有限公司,ACTIVE,深圳
300023,苏州示例客户023有限公司,ACTIVE,深圳
300024,苏州示例客户024有限公司,ACTIVE,成都
300025,广州示例客户025有限公司,ACTIVE,成都
300026,成都示例客户026有限公司,ACTIVE,上海
300027,成都示例客户027有限公司,ACTIVE,北京
300028,深圳示例客户028有限公司,ACTIVE,上海
300029,上海示例客户029有限公司,ACTIVE,深圳
300030,广州示例客户030有限公司,ACTIVE,苏州
300031,深圳示例客户031有限公司,ACTIVE,杭州
300032,上海示例客户032有限公司,ACTIVE,苏州
300033,上海示例客户033有限公司,ACTIVE,杭州
300034,杭州示例客户034有限公司,ACTIVE,上海
300035,深圳示例客户035有限公司,ACTIVE,苏州
300036,广州示例客户036有限公司,ACTIVE,深圳
300037,北京示例客户037有限公司,ACTIVE,北京
300038,杭州示例客户038有限公司,ACTIVE,杭州
300039,上海示例客户039有限公司,ACTIVE,杭州
300040,苏州示例客户040有限公司,ACTIVE,杭州
300041,深圳示例客户041有限公司,ACTIVE,成都
300042,成都示例客户042有限公司,ACTIVE,北京
300043,深圳示例客户043有限公司,ACTIVE,广州
300044,杭州示例客户044有限公司,ACTIVE,苏州
300045,广州示例客户045有限公司,ACTIVE,成都
300046,深圳示例客户046有限公司,ACTIVE,苏州
300047,杭州示例客户047有限公司,ACTIVE,广州
300048,苏州示例客户048有限公司,ACTIVE,广州
300049,上海示例客户049有限公司,ACTIVE,苏州
300050,广州示例客户050有限公司,ACTIVE,上海
300051,深圳示例客户051有限公司,ACTIVE,广州
300052,杭州示例客户052有限公司,ACTIVE,北京
300053,上海示例客户053有限公司,ACTIVE,深圳
300054,广州示例客户054有限公司,ACTIVE,杭州
300055,上海示例客户055有限公司,ACTIVE,广州
300056,杭州示例客户056有限公司,ACTIVE,上海
300057,苏州示例客户057有限公司,ACTIVE,上海
300058,广州示例客户058有限公司,ACTIVE,上海
300059,杭州示例客户059有限公司,ACTIVE,深圳
300060,成都示例客户060有限公司,ACTIVE,杭州
300061,成都示例客户061有限公司,ACTIVE,杭州
300062,上海示例客户062有限公司,ACTIVE,深圳
300063,北京示例客户063有限公司,ACTIVE,广州
300064,北京示例客户064有限公司,ACTIVE,上海
300065,苏州示例客户065有限公司,ACTIVE,杭州
300066,上海示例客户066有限公司,ACTIVE,苏州
300067,苏州示例客户067有限公司,ACTIVE,广州
300068,深圳示例客户068有限公司,ACTIVE,上海
300069,上海示例客户069有限公司,ACTIVE,上海
300070,成都示例客户070有限公司,ACTIVE,北京
300071,北京示例客户071有限公司,ACTIVE,深圳
300072,深圳示例客户072有限公司,ACTIVE,成都
300073,杭州示例客户073有限公司,ACTIVE,上海
300074,北京示例客户074有限公司,ACTIVE,深圳
300075,广州示例客户075有限公司,ACTIVE,北京
300076,成都示例客户076有限公司,ACTIVE,上海
300077,广州示例客户077有限公司,ACTIVE,广州
300078,广州示例客户078有限公司,ACTIVE,上海
300079,北京示例客户079有限公司,ACTIVE,北京
300080,北京示例客户080有限公司,ACTIVE,上海
300081,深圳示例客户081有限公司,ACTIVE,北京
300082,杭州示例客户082有限公司,ACTIVE,杭州
300083,上海示例客户083有限公司,ACTIVE,杭州
300084,北京示例客户084有限公司,ACTIVE,苏州
300085,广州示例客户085有限公司,ACTIVE,北京
300086,杭州示例客户086有限公司,ACTIVE,北京
300087,成都示例客户087有限公司,ACTIVE,成都
300088,苏州示例客户088有限公司,ACTIVE,苏州
300089,杭州示例客户089有限公司,ACTIVE,杭州
300090,苏州示例客户090有限公司,ACTIVE,成都
300091,深圳示例客户091有限公司,ACTIVE,北京
300092,深圳示例客户092有限公司,ACTIVE,北京
300093,广州示例客户093有限公司,ACTIVE,成都
300094,杭州示例客户094有限公司,ACTIVE,成都
300095,广州示例客户095有限公司,ACTIVE,苏州
300096,广州示例客户096有限公司,ACTIVE,杭州
300097,杭州示例客户097有限公司,ACTIVE,北京
300098,北京示例客户098有限公司,ACTIVE,成都
300099,苏州示例客户099有限公司,ACTIVE,深圳
300100,北京示例客户100有限公司,ACTIVE,杭州
