id,je_source_name,je_category_name,period_name,total_dr,total_cr
2,Receivables,Sales,2025-12,28637.33,28637.33
3,Receivables,Sales,2025-12,936.70,936.70
4,Receivables,Sales,2025-10,571.40,571.40
5,Receivables,Sales,2025-10,336.51,336.51
6,Receivables,Sales,2025-10,19183.06,19183.06
7,Receivables,Sales,2025-11,25229.84,25229.84
8,Receivables,Sales,2025-05,11053.42,11053.42
9,Receivables,Sales,2025-05,2043.80,2043.80
10,Receivables,Sales,2025-09,8651.88,8651.88
11,Receivables,Sales,2025-08,1538.07,1538.07
12,Receivables,Sales,2025-08,2088.76,2088.76
13,Receivables,Sales,2025-07,1110.44,1110.44
14,Receivables,Sales,2025-04,4311.80,4311.80
15,Receivables,Sales,2025-04,6788.75,6788.75
16,Receivables,Sales,2025-04,6054.17,6054.17
17,Receivables,Sales,2025-12,4233.43,4233.43
18,Receivables,Sales,2025-12,12334.79,12334.79
19,Receivables,Sales,2025-01,18699.17,18699.17
20,Receivables,Sales,2025-01,5453.15,5453.15
21,Receivables,Sales,2025-06,20583.80,20583.80
22,Receivables,Sales,2025-04,1407.31,1407.31
23,Receivables,Sales,2025-04,23786.95,23786.95
24,Receivables,Sales,2025-04,3107.88,3107.88
25,Receivables,Sales,2025-09,15094.61,15094.61
26,Receivables,Sales,2025-09,7040.61,7040.61
27,Receivables,Sales,2025-09,23741.30,23741.30
28,Receivables,Sales,2025-12,1238.17,1238.17
29,Receivables,Sales,2025-12,9894.05,9894.05
30,Receivables,Sales,2025-12,1325.81,1325.81
31,Receivables,Sales,2025-02,1109.46,1109.46
32,Receivables,Sales,2025-02,9041.34,9041.34
33,Receivables,Sales,2025-07,7063.68,7063.68
34,Receivables,Sales,2025-07,4633.95,4633.95
35,Receivables,Sales,2025-12,2163.70,2163.70
36,Receivables,Sales,2025-12,7854.97,7854.97
37,Receivables,Sales,2025-12,1171.72,1171.72
38,Receivables,Sales,2025-05,5384.57,5384.57
39,Receivables,Sales,2025-05,3222.06,3222.06
40,Receivables,Sales,2025-10,4360.65,4360.65
41,Receivables,Sales,2025-05,25432.20,25432.20
42,Receivables,Sales,2025-05,17241.52,17241.52
43,Receivables,Sales,2025-07,29918.70,29918.70
44,Receivables,Sales,2025-07,5049.04,5049.04
45,Receivables,Sales,2025-07,14838.31,14838.31
46,Receivables,Sales,2025-06,3347.56,3347.56
47,Receivables,Sales,2025-07,1674.84,1674.84
48,Receivables,Sales,2025-07,17453.97,17453.97
49,Receivables,Sales,2025-07,22364.87,22364.87
50,Receivables,Sales,2025-03,5421.67,5421.67
51,Receivables,Sales,2025-03,13586.85,13586.85
52,Receivables,Sales,2025-04,3145.13,3145.13
53,Receivables,Sales,2025-04,14839.35,14839.35
54,Receivables,Sales,2025-04,3442.24,3442.24
55,Receivables,Sales,2025-03,3703.83,3703.83
56,Receivables,Sales,2025-03,4728.51,4728.51
