id,receipt_number,receipt_amount,status
1,RCPT000001,28637.33,CLEARED
2,RCPT000002,936.70,CLEARED
3,RCPT000003,571.40,CLEARED
4,RCPT000004,336.51,CLEARED
5,RCPT000005,19183.06,CLEARED
6,RCPT000006,25229.84,CLEARED
7,RCPT000007,11053.42,CLEARED
8,RCPT000008,2043.80,CLEARED
9,RCPT000009,8651.88,CLEARED
10,RCPT000010,1538.07,CLEARED
11,RCPT000011,2088.76,CLEARED
12,RCPT000012,1110.44,CLEARED
13,RCPT000013,4311.80,CLEARED
14,RCPT000014,6788.75,CLEARED
15,RCPT000015,6054.17,CLEARED
16,RCPT000016,4233.43,CLEARED
17,RCPT000017,12334.79,CLEARED
18,RCPT000018,18699.17,CLEARED
19,RCPT000019,5453.15,CLEARED
20,RCPT000020,20583.80,CLEARED
21,RCPT000021,1407.31,CLEARED
22,RCPT000022,23786.95,CLEARED
23,RCPT000023,3107.88,CLEARED
24,RCPT000024,15094.61,CLEARED
25,RCPT000025,7040.61,CLEARED
26,RCPT000026,23741.30,CLEARED
27,RCPT000027,1238.17,CLEARED
28,RCPT000028,9894.05,CLEARED
29,RCPT000029,1325.81,CLEARED
30,RCPT000030,1109.46,CLEARED
31,RCPT000031,9041.34,CLEARED
32,RCPT000032,7063.68,CLEARED
33,RCPT000033,4633.95,CLEARED
34,RCPT000034,2163.70,CLEARED
35,RCPT000035,7854.97,CLEARED
36,RCPT000036,1171.72,CLEARED
37,RCPT000037,5384.57,CLEARED
38,RCPT000038,3222.06,CLEARED
39,RCPT000039,4360.65,CLEARED
40,RCPT000040,25432.20,CLEARED
41,RCPT000041,17241.52,CLEARED
42,RCPT000042,29918.70,CLEARED
43,RCPT000043,5049.04,CLEARED
44,RCPT000044,14838.31,CLEARED
45,RCPT000045,3347.56,CLEARED
46,RCPT000046,1674.84,CLEARED
47,RCPT000047,17453.97,CLEARED
48,RCPT000048,22364.87,CLEARED
49,RCPT000049,5421.67,CLEARED
50,RCPT000050,13586.85,CLEARED
51,RCPT000051,3145.13,CLEARED
52,RCPT000052,14839.35,CLEARED
53,RCPT000053,3442.24,CLEARED
54,RCPT000054,3703.83,CLEARED
55,RCPT000055,4728.51,CLEARED
56,RCPT000056,4032.99,CLEARED
57,RCPT000057,9460.95,CLEARED
58,RCPT000058,19900.53,CLEARED
59,RCPT000059,8523.91,CLEARED
60,RCPT000060,6683.54,CLEARED
61,RCPT000061,6782.20,CLEARED
62,RCPT000062,13843.34,CLEARED
63,RCPT000063,1002.07,CLEARED
64,RCPT000064,1999.76,CLEARED
65,RCPT000065,8601.89,CLEARED
66,RCPT000066,6979.42,CLEARED
67,RCPT000067,3170.29,CLEARED
68,RCPT000068,7739.88,CLEARED
69,RCPT000069,10189.75,CLEARED
70,RCPT000070,12502.85,CLEARED
71,RCPT000071,3259.45,CLEARED
72,RCPT000072,22401.63,CLEARED
73,RCPT000073,15167.01,CLEARED
74,RCPT000074,19789.33,CLEARED
75,RCPT000075,5098.15,CLEARED
76,RCPT000076,2670.02,CLEARED
77,RCPT000077,10639.13,CLEARED
78,RCPT000078,3209.80,CLEARED
79,RCPT000079,1067.03,CLEARED
80,RCPT000080,8313.18,CLEARED
81,RCPT000081,8903.61,CLEARED
82,RCPT000082,12444.29,CLEARED
83,RCPT000083,15555.38,CLEARED
84,RCPT000084,411.13,CLEARED
85,RCPT000085,26171.93,CLEARED
86,RCPT000086,16599.07,CLEARED
87,RCPT000087,5220.81,CLEARED
88,RCPT000088,10826.09,CLEARED
89,RCPT000089,5303.65,CLEARED
90,RCPT000090,1370.71,CLEARED
91,RCPT000091,30328.36,CLEARED
92,RCPT000092,12614.60,CLEARED
93,RCPT000093,23914.69,CLEARED
94,RCPT000094,15140.37,CLEARED
95,RCPT000095,3323.65,CLEARED
96,RCPT000096,37963.80,CLEARED
97,RCPT000097,3747.94,CLEARED
98,RCPT000098,3937.01,CLEARED
99,RCPT000099,616.70,CLEARED
100,RCPT000100,8328.76,CLEARED
101,RCPT000101,2712.88,CLEARED
102,RCPT000102,1295.13,CLEARED
103,RCPT000103,7942.78,CLEARED
104,RCPT000104,27569.57,CLEARED
105,RCPT000105,497.18,CLEARED
106,RCPT000106,11907.25,CLEARED
107,RCPT000107,6056.16,CLEARED
108,RCPT000108,3918.41,CLEARED
109,RCPT000109,11277.21,CLEARED
110,RCPT000110,4010.62,CLEARED
111,RCPT000111,2034.66,CLEARED
112,RCPT000112,26931.95,CLEARED
113,RCPT000113,698.92,CLEARED
114,RCPT000114,762.77,CLEARED
115,RCPT000115,1792.80,CLEARED
116,RCPT000116,22108.36,CLEARED
117,RCPT000117,18551.35,CLEARED
118,RCPT000118,18662.58,CLEARED
119,RCPT000119,16497.76,CLEARED
120,RCPT000120,3552.05,CLEARED
121,RCPT000121,1752.88,CLEARED
122,RCPT000122,1603.84,CLEARED
