source,target
300001,51
300002,110
300003,66
300004,92
300004,146
300004,150
300004,160
300005,4
300005,21
300005,114
300005,124
300006,20
300006,145
300008,40
300008,58
300009,97
300009,158
300011,60
300011,143
300011,153
300012,27
300012,89
300013,5
300013,37
300014,16
300014,63
300014,119
300015,71
300015,77
300015,82
300016,14
300016,69
300016,91
300017,34
300017,183
300018,31
300018,103
300018,148
300018,174
300019,18
300019,102
300019,144
300020,84
300020,132
300022,25
300022,81
300022,113
300023,49
300023,116
300024,93
300024,170
300025,76
300025,79
300025,104
300025,134
300025,141
300026,117
300027,1
300027,88
300027,136
300027,173
300027,186
300028,68
300028,74
300028,99
300029,57
300029,61
300029,73
300030,28
300030,36
300030,165
300031,109
300032,85
300032,180
300034,98
300034,184
300034,192
300036,41
300036,106
300036,175
300037,96
300037,118
300038,30
300038,78
300039,38
300039,191
300040,100
300040,105
300041,95
300041,123
300041,194
300042,83
300043,107
300044,50
300045,190
300047,111
300047,155
300048,19
300049,10
300049,87
300050,44
300051,6
300051,80
300052,129
300053,56
300053,140
300054,3
300054,54
300054,90
300054,164
300054,172
300055,137
300056,151
300057,26
300057,139
300058,22
300058,64
300058,127
300058,179
300059,8
300059,67
300060,29
300060,32
300061,161
300061,168
300062,121
300062,185
300063,12
300063,53
300063,115
300063,171
300064,7
300064,72
300064,157
300064,198
300064,200
300066,52
300066,163
300067,101
300068,133
300068,159
300069,62
300070,70
300071,45
300072,39
300072,42
300072,43
300072,125
300072,126
300073,197
300073,199
300075,177
300076,59
300076,128
300076,195
300077,55
300077,196
300078,11
300078,33
300078,75
300078,112
300078,131
300080,2
300080,108
300080,188
300081,65
300082,189
300084,24
300085,35
300085,46
300085,86
300085,149
300086,152
300086,154
300087,147
300088,156
300088,166
300089,15
300089,120
300090,193
300092,9
300092,17
300092,94
300092,169
300092,176
300092,181
300094,13
300094,47
300095,23
300095,122
300095,138
300095,178
300096,130
300100,48
300100,135
300100,142
300100,162
300100,167
300100,182
300100,187
