source,target
1,1
1,2
2,3
2,4
3,5
4,6
5,7
5,8
6,9
7,10
7,11
8,12
9,13
9,14
9,15
10,16
10,17
11,18
11,19
12,20
13,21
14,22
14,23
15,24
15,25
15,26
16,27
16,28
16,29
17,30
17,31
18,32
18,33
19,34
19,35
19,36
20,37
20,38
21,39
22,40
22,41
23,42
23,43
23,44
24,45
25,46
25,47
25,48
26,49
26,50
27,51
27,52
27,53
28,54
28,55
29,56
30,57
30,58
31,59
32,60
32,61
33,62
33,63
34,64
34,65
35,66
35,67
35,68
36,69
36,70
37,71
37,72
38,73
38,74
38,75
39,76
39,77
39,78
40,79
40,80
40,81
41,82
42,83
42,84
43,85
43,86
44,87
44,88
45,89
45,90
45,91
46,92
46,93
46,94
47,95
47,96
47,97
48,98
48,99
49,100
49,101
50,102
50,103
50,104
51,105
52,106
53,107
53,108
53,109
54,110
54,111
55,112
55,113
56,114
56,115
57,116
58,117
58,118
59,119
59,120
60,121
60,122
60,123
61,124
61,125
62,126
62,127
63,128
63,129
63,130
64,131
64,132
64,133
65,134
65,135
65,136
66,137
67,138
68,139
68,140
68,141
69,142
69,143
69,144
70,145
70,146
71,147
71,148
71,149
72,150
72,151
73,152
73,153
74,154
75,155
75,156
75,157
76,158
76,159
76,160
77,161
78,162
78,163
78,164
79,165
79,166
80,167
80,168
81,169
81,170
82,171
82,172
82,173
83,174
84,175
85,176
85,177
85,178
86,179
87,180
87,181
87,182
88,183
88,184
89,185
89,186
89,187
90,188
90,189
91,190
91,191
91,192
92,193
92,194
92,195
93,196
93,197
93,198
94,199
94,200
94,201
95,202
95,203
96,204
96,205
97,206
97,207
97,208
98,209
98,210
99,211
99,212
99,213
100,214
100,215
100,216
101,217
102,218
102,219
103,220
103,221
104,222
104,223
104,224
105,225
105,226
105,227
106,228
106,229
107,230
108,231
108,232
109,233
109,234
110,235
110,236
110,237
111,238
112,239
112,240
113,241
114,242
115,243
115,244
116,245
117,246
117,247
117,248
118,249
118,250
118,251
119,252
119,253
120,254
120,255
120,256
121,257
121,258
121,259
122,260
123,261
123,262
124,263
124,264
125,265
126,266
126,267
127,268
128,269
129,270
129,271
129,272
130,273
131,274
132,275
133,276
133,277
133,278
134,279
135,280
135,281
136,282
136,283
136,284
137,285
137,286
138,287
138,288
139,289
139,290
140,291
141,292
141,293
141,294
142,295
143,296
143,297
144,298
145,299
146,300
147,301
147,302
147,303
148,304
149,305
150,306
151,307
151,308
151,309
152,310
153,311
153,312
153,313
154,314
154,315
155,316
155,317
155,318
156,319
156,320
156,321
157,322
157,323
158,324
158,325
159,326
159,327
159,328
160,329
161,330
162,331
162,332
162,333
163,334
163,335
164,336
165,337
165,338
165,339
166,340
166,341
167,342
167,343
168,344
169,345
170,346
170,347
170,348
171,349
172,350
172,351
172,352
173,353
174,354
174,355
175,356
175,357
176,358
176,359
176,360
177,361
178,362
179,363
179,364
180,365
181,366
181,367
181,368
182,369
182,370
182,371
183,372
183,373
184,374
184,375
185,376
186,377
186,378
186,379
187,380
187,381
187,382
188,383
188,384
188,385
189,386
190,387
190,388
191,389
191,390
192,391
193,392
193,393
193,394
194,395
194,396
195,397
196,398
197,399
197,400
198,401
198,402
199,403
200,404
