id,order_number,order_amount,flow_status_code
1,SO000001,26171.71,BOOKED
2,SO000002,803.46,BOOKED
3,SO000003,16976.16,BOOKED
4,SO000004,22327.29,BOOKED
5,SO000005,11590.46,BOOKED
6,SO000006,7656.53,BOOKED
7,SO000007,3209.58,BOOKED
8,SO000008,982.69,BOOKED
9,SO000009,15181.16,BOOKED
10,SO000010,14662.14,BOOKED
11,SO000011,21373.74,BOOKED
12,SO000012,18215.75,BOOKED
13,SO000013,1245.41,BOOKED
14,SO000014,23800.74,BOOKED
15,SO000015,40598.69,BOOKED
16,SO000016,11024.81,BOOKED
17,SO000017,8983.01,BOOKED
18,SO000018,10351.88,BOOKED
19,SO000019,9903.00,BOOKED
20,SO000020,7616.49,BOOKED
21,SO000021,3858.98,BOOKED
22,SO000022,37764.35,BOOKED
23,SO000023,44076.16,BOOKED
24,SO000024,2962.44,BOOKED
25,SO000025,36720.07,BOOKED
26,SO000026,16821.70,BOOKED
27,SO000027,18961.70,BOOKED
28,SO000028,7462.25,BOOKED
29,SO000029,3569.02,BOOKED
30,SO000030,25983.61,BOOKED
31,SO000031,7543.28,BOOKED
32,SO000032,11916.59,BOOKED
33,SO000033,13137.53,BOOKED
34,SO000034,9381.99,BOOKED
35,SO000035,15831.50,BOOKED
36,SO000036,20081.95,BOOKED
37,SO000037,22708.92,BOOKED
38,SO000038,35446.45,BOOKED
39,SO000039,14618.54,BOOKED
40,SO000040,16180.37,BOOKED
41,SO000041,11012.65,BOOKED
42,SO000042,14129.65,BOOKED
43,SO000043,37850.44,BOOKED
44,SO000044,14200.80,BOOKED
45,SO000045,32745.78,BOOKED
46,SO000046,45725.36,BOOKED
47,SO000047,39854.32,BOOKED
48,SO000048,4029.83,BOOKED
49,SO000049,9771.36,BOOKED
50,SO000050,32572.99,BOOKED
51,SO000051,439.98,BOOKED
52,SO000052,10537.39,BOOKED
53,SO000053,18806.88,BOOKED
54,SO000054,5349.80,BOOKED
55,SO000055,24452.09,BOOKED
56,SO000056,2261.57,BOOKED
57,SO000057,19564.92,BOOKED
58,SO000058,32932.68,BOOKED
59,SO000059,17743.20,BOOKED
60,SO000060,23537.80,BOOKED
61,SO000061,9574.20,BOOKED
62,SO000062,17685.16,BOOKED
63,SO000063,12775.84,BOOKED
64,SO000064,50482.66,BOOKED
65,SO000065,25239.46,BOOKED
66,SO000066,5559.64,BOOKED
67,SO000067,13650.25,BOOKED
68,SO000068,52934.38,BOOKED
69,SO000069,68293.18,BOOKED
70,SO000070,14104.53,BOOKED
71,SO000071,30304.60,BOOKED
72,SO000072,18698.40,BOOKED
73,SO000073,7056.18,BOOKED
74,SO000074,523.06,BOOKED
75,SO000075,15632.52,BOOKED
76,SO000076,40928.42,BOOKED
77,SO000077,1121.20,BOOKED
78,SO000078,21286.09,BOOKED
79,SO000079,16309.59,BOOKED
80,SO000080,17783.28,BOOKED
81,SO000081,19732.16,BOOKED
82,SO000082,30801.97,BOOKED
83,SO000083,1146.13,BOOKED
84,SO000084,34650.58,BOOKED
85,SO000085,33023.89,BOOKED
86,SO000086,182.37,BOOKED
87,SO000087,30595.22,BOOKED
88,SO000088,30016.11,BOOKED
89,SO000089,11724.07,BOOKED
90,SO000090,29259.99,BOOKED
91,SO000091,12554.95,BOOKED
92,SO000092,54551.03,BOOKED
93,SO000093,22839.37,BOOKED
94,SO000094,37795.90,BOOKED
95,SO000095,21033.24,BOOKED
96,SO000096,23148.38,BOOKED
97,SO000097,7172.78,BOOKED
98,SO000098,5040.30,BOOKED
99,SO000099,60281.25,BOOKED
100,SO000100,52834.26,BOOKED
101,SO000101,21218.71,BOOKED
102,SO000102,11545.88,BOOKED
103,SO000103,8019.94,BOOKED
104,SO000104,23265.18,BOOKED
105,SO000105,31404.31,BOOKED
106,SO000106,24576.87,BOOKED
107,SO000107,10665.81,BOOKED
108,SO000108,28138.35,BOOKED
109,SO000109,34389.39,BOOKED
110,SO000110,12793.42,BOOKED
111,SO000111,5209.19,BOOKED
112,SO000112,23220.25,BOOKED
113,SO000113,15580.53,BOOKED
114,SO000114,1327.27,BOOKED
115,SO000115,9647.94,BOOKED
116,SO000116,3384.70,BOOKED
117,SO000117,25651.75,BOOKED
118,SO000118,26110.11,BOOKED
119,SO000119,11769.36,BOOKED
120,SO000120,20315.14,BOOKED
121,SO000121,41302.57,BOOKED
122,SO000122,1256.86,BOOKED
123,SO000123,42736.22,BOOKED
124,SO000124,17550.65,BOOKED
125,SO000125,6321.68,BOOKED
126,SO000126,18565.37,BOOKED
127,SO000127,15257.56,BOOKED
128,SO000128,594.76,BOOKED
129,SO000129,46917.92,BOOKED
130,SO000130,14997.15,BOOKED
131,SO000131,24038.28,BOOKED
132,SO000132,7968.85,BOOKED
133,SO000133,18491.39,BOOKED
134,SO000134,20504.20,BOOKED
135,SO000135,9948.85,BOOKED
136,SO000136,23155.25,BOOKED
137,SO000137,34044.53,BOOKED
138,SO000138,1005.49,BOOKED
139,SO000139,27171.40,BOOKED
140,SO000140,14820.90,BOOKED
141,SO000141,41934.53,BOOKED
142,SO000142,8778.26,BOOKED
143,SO000143,51167.56,BOOKED
144,SO000144,12971.38,BOOKED
145,SO000145,13060.18,BOOKED
146,SO000146,11010.37,BOOKED
147,SO000147,32829.37,BOOKED
148,SO000148,1742.12,BOOKED
149,SO000149,22894.51,BOOKED
150,SO000150,9482.52,BOOKED
151,SO000151,31396.42,BOOKED
152,SO000152,12206.12,BOOKED
153,SO000153,19404.23,BOOKED
154,SO000154,9889.68,BOOKED
155,SO000155,32031.61,BOOKED
156,SO000156,26969.83,BOOKED
